id,week_ending,hscp,simd_quintile,admission_type,admission_type_qf,number_admissions,average20182019,percent_variation
242,20200112,S37000024,3,All,d,90,76.5,17.6
243,20200112,S37000024,4,All,d,55,63,-12.7
244,20200112,S37000024,5,All,d,78,76.5,2
245,20200112,S37000025,1,All,d,14,17,-17.6
246,20200112,S37000025,2,All,d,59,70,-15.7
247,20200112,S37000025,3,All,d,124,131.5,-5.7
248,20200112,S37000025,4,All,d,77,81.5,-5.5
249,20200112,S37000025,5,All,d,19,20,-5
250,20200112,S37000026,3,All,d,19,26,-26.9
251,20200112,S37000026,4,All,d,22,34.5,-36.2
252,20200112,S37000027,1,All,d,100,80.5,24.2
253,20200112,S37000027,2,All,d,94,106.5,-11.7
254,20200112,S37000027,3,All,d,79,87.5,-9.7
255,20200112,S37000027,4,All,d,48,51.5,-6.8
256,20200112,S37000027,5,All,d,66,69.5,-5
257,20200112,S37000028,1,All,d,245,241.5,1.4
258,20200112,S37000028,2,All,d,226,267.5,-15.5
259,20200112,S37000028,3,All,d,189,199,-5
260,20200112,S37000028,4,All,d,124,145,-14.5
261,20200112,S37000028,5,All,d,100,122.5,-18.4
262,20200112,S37000029,1,All,d,146,138.5,5.4
263,20200112,S37000029,2,All,d,60,90.5,-33.7
264,20200112,S37000029,3,All,d,44,45,-2.2
265,20200112,S37000029,4,All,d,23,20.5,12.2
266,20200112,S37000029,5,All,d,11,13,-15.4
267,20200112,S37000030,1,All,d,103,113,-8.8
268,20200112,S37000030,2,All,d,182,163.5,11.3
269,20200112,S37000030,3,All,d,112,112.5,-0.4
270,20200112,S37000030,4,All,d,91,69.5,30.9
271,20200112,S37000030,5,All,d,48,56,-14.3
272,20200112,S37000031,2,All,d,19,20.5,-7.3
273,20200112,S37000031,3,All,d,94,84,11.9
274,20200112,S37000032,1,All,d,282,271,4.1
275,20200112,S37000032,2,All,d,287,273,5.1
276,20200112,S37000032,3,All,d,216,223,-3.1
277,20200112,S37000032,4,All,d,204,212,-3.8
278,20200112,S37000032,5,All,d,149,148.5,0.3
279,20200112,S37000033,1,All,d,35,33,6.1
280,20200112,S37000033,2,All,d,60,45.5,31.9
281,20200112,S37000033,3,All,d,113,95,18.9
282,20200112,S37000033,4,All,d,170,141,20.6
283,20200112,S37000033,5,All,d,93,80,16.2
284,20200112,S37000034,1,All,d,1046,1067,-2
285,20200112,S37000034,2,All,d,311,303,2.6
286,20200112,S37000034,3,All,d,201,195,3.1
287,20200112,S37000034,4,All,d,163,154.5,5.5
288,20200112,S37000034,5,All,d,118,146,-19.2
289,20200112,S37000035,1,All,d,438,452,-3.1
290,20200112,S37000035,2,All,d,340,333,2.1
291,20200112,S37000035,3,All,d,156,170.5,-8.5
292,20200112,S37000035,4,All,d,150,140,7.1
293,20200112,S37000035,5,All,d,72,75,-4
294,20200119,S37000001,1,All,d,70,81,-13.6
295,20200119,S37000001,2,All,d,135,139,-2.9
296,20200119,S37000001,3,All,d,87,76.5,13.7
297,20200119,S37000001,4,All,d,67,70,-4.3
298,20200119,S37000001,5,All,d,146,145,0.7
299,20200119,S37000002,1,All,d,19,22,-13.6
300,20200119,S37000002,2,All,d,71,67.5,5.2
301,20200119,S37000002,3,All,d,145,136.5,6.2
302,20200119,S37000002,4,All,d,199,218.5,-8.9
303,20200119,S37000002,5,All,d,149,135.5,10
304,20200119,S37000003,1,All,d,24,26,-7.7
305,20200119,S37000003,2,All,d,96,69,39.1
306,20200119,S37000003,3,All,d,92,96.5,-4.7
307,20200119,S37000003,4,All,d,77,100,-23
308,20200119,S37000003,5,All,d,43,40,7.5
309,20200119,S37000004,1,All,d,26,38,-31.6
310,20200119,S37000004,2,All,d,54,49,10.2
311,20200119,S37000004,3,All,d,127,127.5,-0.4
312,20200119,S37000004,4,All,d,47,55,-14.5
313,20200119,S37000004,5,All,d,19,29,-34.5
314,20200119,S37000005,1,All,d,93,141,-34
315,20200119,S37000005,2,All,d,74,128,-42.2
316,20200119,S37000005,3,All,d,71,99,-28.3
317,20200119,S37000005,4,All,d,86,120,-28.3
318,20200119,S37000005,5,All,d,69,112.5,-38.7
319,20200119,S37000006,1,All,d,47,52,-9.6
320,20200119,S37000006,2,All,d,130,144,-9.7
321,20200119,S37000006,3,All,d,150,179.5,-16.4
322,20200119,S37000006,4,All,d,92,64.5,42.6
323,20200119,S37000006,5,All,d,35,34.5,1.4
324,20200119,S37000007,1,All,d,217,209.5,3.6
325,20200119,S37000007,2,All,d,83,94.5,-12.2
326,20200119,S37000007,3,All,d,46,41.5,10.8
327,20200119,S37000007,4,All,d,49,58,-15.5
328,20200119,S37000007,5,All,d,61,72.5,-15.9
329,20200119,S37000008,1,All,d,128,142,-9.9
330,20200119,S37000008,2,All,d,108,109,-0.9
331,20200119,S37000008,3,All,d,48,66.5,-27.8
332,20200119,S37000008,4,All,d,36,47.5,-24.2
333,20200119,S37000008,5,All,d,26,26,0
334,20200119,S37000009,1,All,d,19,12,58.3
335,20200119,S37000009,2,All,d,66,62.5,5.6
336,20200119,S37000009,3,All,d,17,21,-19
337,20200119,S37000009,4,All,d,61,60.5,0.8
338,20200119,S37000009,5,All,d,135,123,9.8
339,20200119,S37000010,1,All,d,10,19,-47.4
340,20200119,S37000010,2,All,d,95,79.5,19.5
341,20200119,S37000010,3,All,d,62,52.5,18.1
342,20200119,S37000010,4,All,d,56,43,30.2
343,20200119,S37000010,5,All,d,34,39,-12.8
344,20200119,S37000011,1,All,d,17,18.5,-8.1
345,20200119,S37000011,2,All,d,35,35,0
346,20200119,S37000011,3,All,d,24,25.5,-5.9
347,20200119,S37000011,4,All,d,46,51,-9.8
348,20200119,S37000011,5,All,d,92,112.5,-18.2
349,20200119,S37000012,1,All,d,210,186,12.9
350,20200119,S37000012,2,All,d,227,167,35.9
351,20200119,S37000012,3,All,d,130,127.5,2
352,20200119,S37000012,4,All,d,198,155.5,27.3
353,20200119,S37000012,5,All,d,383,321.5,19.1
354,20200119,S37000013,1,All,d,98,153,-35.9
355,20200119,S37000013,2,All,d,122,202.5,-39.8
356,20200119,S37000013,3,All,d,113,163.5,-30.9
357,20200119,S37000013,4,All,d,77,110.5,-30.3
358,20200119,S37000013,5,All,d,51,91.5,-44.3
359,20200119,S37000016,1,All,d,74,93,-20.4
360,20200119,S37000016,2,All,d,129,140.5,-8.2
361,20200119,S37000016,3,All,d,211,228,-7.5
362,20200119,S37000016,4,All,d,187,190,-1.6
363,20200119,S37000016,5,All,d,47,44.5,5.6
364,20200119,S37000017,1,All,d,118,144,-18.1
365,20200119,S37000017,2,All,d,28,33,-15.2
366,20200119,S37000017,3,All,d,39,32,21.9
367,20200119,S37000017,4,All,d,22,26.5,-17
368,20200119,S37000017,5,All,d,28,27.5,1.8
369,20200119,S37000018,1,All,d,21,23,-8.7
370,20200119,S37000018,2,All,d,118,82,43.9
371,20200119,S37000018,3,All,d,53,45,17.8
372,20200119,S37000018,4,All,d,39,34.5,13
373,20200119,S37000018,5,All,d,28,17,64.7
374,20200119,S37000019,1,All,d,13,11.5,13
375,20200119,S37000019,2,All,d,47,41,14.6
376,20200119,S37000019,3,All,d,86,82.5,4.2
377,20200119,S37000019,4,All,d,72,78,-7.7
378,20200119,S37000019,5,All,d,24,19.5,23.1
379,20200119,S37000020,1,All,d,183,255,-28.2
380,20200119,S37000020,2,All,d,98,104,-5.8
381,20200119,S37000020,3,All,d,58,64.5,-10.1
382,20200119,S37000020,4,All,d,49,58.5,-16.2
383,20200119,S37000020,5,All,d,31,35.5,-12.7
384,20200119,S37000022,2,All,d,14,13,7.7
385,20200119,S37000022,3,All,d,12,12.5,-4
386,20200119,S37000022,4,All,d,37,35.5,4.2
387,20200119,S37000024,1,All,d,150,153,-2
388,20200119,S37000024,2,All,d,124,133,-6.8
389,20200119,S37000024,3,All,d,77,71.5,7.7
390,20200119,S37000024,4,All,d,79,56,41.1
391,20200119,S37000024,5,All,d,78,81,-3.7
392,20200119,S37000025,1,All,d,16,20,-20
393,20200119,S37000025,2,All,d,45,54.5,-17.4
394,20200119,S37000025,3,All,d,115,123.5,-6.9
395,20200119,S37000025,4,All,d,88,76.5,15
396,20200119,S37000025,5,All,d,19,10.5,81
397,20200119,S37000026,3,All,d,17,24.5,-30.6
398,20200119,S37000026,4,All,d,20,35.5,-43.7
399,20200119,S37000027,1,All,d,81,84.5,-4.1
400,20200119,S37000027,2,All,d,100,107,-6.5
401,20200119,S37000027,3,All,d,78,90,-13.3
402,20200119,S37000027,4,All,d,67,54.5,22.9
403,20200119,S37000027,5,All,d,62,74,-16.2
404,20200119,S37000028,1,All,d,241,233.5,3.2
405,20200119,S37000028,2,All,d,215,263,-18.3
406,20200119,S37000028,3,All,d,198,182.5,8.5
407,20200119,S37000028,4,All,d,149,151,-1.3
408,20200119,S37000028,5,All,d,108,118.5,-8.9
409,20200119,S37000029,1,All,d,123,133,-7.5
410,20200119,S37000029,2,All,d,76,70,8.6
411,20200119,S37000029,3,All,d,46,41,12.2
412,20200119,S37000029,4,All,d,23,19,21.1
413,20200119,S37000029,5,All,d,9,10.5,-14.3
414,20200119,S37000030,1,All,d,101,95,6.3
415,20200119,S37000030,2,All,d,186,142,31
416,20200119,S37000030,3,All,d,111,93.5,18.7
417,20200119,S37000030,4,All,d,77,81,-4.9
418,20200119,S37000030,5,All,d,58,54,7.4
419,20200119,S37000031,2,All,d,9,18,-50
420,20200119,S37000031,3,All,d,86,78,10.3
421,20200119,S37000032,1,All,d,302,273,10.6
422,20200119,S37000032,2,All,d,285,262.5,8.6
423,20200119,S37000032,3,All,d,196,239.5,-18.2
424,20200119,S37000032,4,All,d,211,182.5,15.6
425,20200119,S37000032,5,All,d,165,143,15.4
426,20200119,S37000033,1,All,d,30,35.5,-15.5
427,20200119,S37000033,2,All,d,69,58,19
428,20200119,S37000033,3,All,d,83,94,-11.7
429,20200119,S37000033,4,All,d,139,148.5,-6.4
430,20200119,S37000033,5,All,d,90,83,8.4
431,20200119,S37000034,1,All,d,1092,1023,6.7
432,20200119,S37000034,2,All,d,301,345,-12.8
433,20200119,S37000034,3,All,d,173,212,-18.4
434,20200119,S37000034,4,All,d,149,138,8
435,20200119,S37000034,5,All,d,111,124,-10.5
436,20200119,S37000035,1,All,d,400,448.5,-10.8
437,20200119,S37000035,2,All,d,329,289,13.8
438,20200119,S37000035,3,All,d,150,153,-2
439,20200119,S37000035,4,All,d,147,128.5,14.4
440,20200119,S37000035,5,All,d,78,71,9.9
441,20200126,S37000001,1,All,d,70,77.5,-9.7
442,20200126,S37000001,2,All,d,146,150,-2.7
443,20200126,S37000001,3,All,d,83,74,12.2
444,20200126,S37000001,4,All,d,63,77.5,-18.7
445,20200126,S37000001,5,All,d,157,144.5,8.7
446,20200126,S37000002,1,All,d,27,22.5,20
447,20200126,S37000002,2,All,d,63,79,-20.3
448,20200126,S37000002,3,All,d,133,133,0
449,20200126,S37000002,4,All,d,213,208.5,2.2
450,20200126,S37000002,5,All,d,134,142.5,-6
451,20200126,S37000003,1,All,d,29,28.5,1.8
452,20200126,S37000003,2,All,d,93,80,16.2
453,20200126,S37000003,3,All,d,90,90.5,-0.6
454,20200126,S37000003,4,All,d,82,79,3.8
455,20200126,S37000003,5,All,d,29,38,-23.7
456,20200126,S37000004,1,All,d,38,32,18.8
457,20200126,S37000004,2,All,d,44,53.5,-17.8
458,20200126,S37000004,3,All,d,119,107.5,10.7
459,20200126,S37000004,4,All,d,57,60.5,-5.8
460,20200126,S37000004,5,All,d,23,16.5,39.4
461,20200126,S37000005,1,All,d,82,173,-52.6
462,20200126,S37000005,2,All,d,71,119,-40.3
463,20200126,S37000005,3,All,d,71,88,-19.3
464,20200126,S37000005,4,All,d,62,121,-48.8
465,20200126,S37000005,5,All,d,65,101,-35.6
466,20200126,S37000006,1,All,d,37,58.5,-36.8
467,20200126,S37000006,2,All,d,154,132,16.7
468,20200126,S37000006,3,All,d,169,178,-5.1
469,20200126,S37000006,4,All,d,64,67,-4.5
470,20200126,S37000006,5,All,d,35,38,-7.9
471,20200126,S37000007,1,All,d,212,207,2.4
472,20200126,S37000007,2,All,d,81,93,-12.9
473,20200126,S37000007,3,All,d,44,43.5,1.1
474,20200126,S37000007,4,All,d,62,51,21.6
475,20200126,S37000007,5,All,d,44,55.5,-20.7
476,20200126,S37000008,1,All,d,141,153,-7.8
477,20200126,S37000008,2,All,d,101,107,-5.6
478,20200126,S37000008,3,All,d,56,68.5,-18.2
479,20200126,S37000008,4,All,d,50,50,0
480,20200126,S37000008,5,All,d,27,32,-15.6
481,20200126,S37000009,1,All,d,19,17.5,8.6
482,20200126,S37000009,2,All,d,50,54,-7.4
483,20200126,S37000009,3,All,d,38,20,90
484,20200126,S37000009,4,All,d,61,64,-4.7
485,20200126,S37000009,5,All,d,139,131,6.1
486,20200126,S37000010,1,All,d,6,20,-70
487,20200126,S37000010,2,All,d,112,80,40
488,20200126,S37000010,3,All,d,67,59.5,12.6
489,20200126,S37000010,4,All,d,52,46,13
490,20200126,S37000010,5,All,d,44,26.5,66
491,20200126,S37000011,1,All,d,23,20.5,12.2
