"id","week_ending","hscp","age_group","age_group_qf","sex","sex_qf","sas_incidents","average20182019","percent_variation"
10042,20200906,"S37000031","45 - 64","","All","d",13,16.5,-21.2
10043,20200906,"S37000031","65 - 74","","All","d",20,12.5,60
10044,20200906,"S37000031","75 - 84","","All","d",13,13.5,-3.7
10045,20200906,"S37000031","85 and over","","All","d",16,13,23.1
10046,20200906,"S37000031","All ages","d","All","d",73,70,4.3
10047,20200906,"S37000031","All ages","d","Female","",40,36,11.1
10048,20200906,"S37000031","All ages","d","Male","",33,34,-2.9
10049,20200906,"S37000032","Under 5","","All","d",17,36,-52.8
10050,20200906,"S37000032","5 - 14","","All","d",16,21.5,-25.6
10051,20200906,"S37000032","15 - 44","","All","d",171,192.5,-11.2
10052,20200906,"S37000032","45 - 64","","All","d",192,166,15.7
10053,20200906,"S37000032","65 - 74","","All","d",133,126,5.6
10054,20200906,"S37000032","75 - 84","","All","d",162,154,5.2
10055,20200906,"S37000032","85 and over","","All","d",122,106.5,14.6
10056,20200906,"S37000032","All ages","d","All","d",813,802.5,1.3
10057,20200906,"S37000032","All ages","d","Female","",448,430,4.2
10058,20200906,"S37000032","All ages","d","Male","",365,372.5,-2
10059,20200906,"S37000033","Under 5","","All","d",6,9.5,-36.8
10060,20200906,"S37000033","5 - 14","","All","d",7,6.5,7.7
10061,20200906,"S37000033","15 - 44","","All","d",63,52,21.2
10062,20200906,"S37000033","45 - 64","","All","d",59,46.5,26.9
10063,20200906,"S37000033","65 - 74","","All","d",39,45.5,-14.3
10064,20200906,"S37000033","75 - 84","","All","d",77,64.5,19.4
10065,20200906,"S37000033","85 and over","","All","d",53,51.5,2.9
10066,20200906,"S37000033","All ages","d","All","d",304,276,10.1
10067,20200906,"S37000033","All ages","d","Female","",159,139,14.4
10068,20200906,"S37000033","All ages","d","Male","",145,137,5.8
10069,20200906,"S37000034","Under 5","","All","d",42,32,31.2
10070,20200906,"S37000034","5 - 14","","All","d",14,28,-50
10071,20200906,"S37000034","15 - 44","","All","d",341,344,-0.9
10072,20200906,"S37000034","45 - 64","","All","d",366,345,6.1
10073,20200906,"S37000034","65 - 74","","All","d",182,178,2.2
10074,20200906,"S37000034","75 - 84","","All","d",188,207.5,-9.4
10075,20200906,"S37000034","85 and over","","All","d",148,157.5,-6
10076,20200906,"S37000034","All ages","d","All","d",1281,1292,-0.9
10077,20200906,"S37000034","All ages","d","Female","",626,651,-3.8
10078,20200906,"S37000034","All ages","d","Male","",655,641,2.2
10079,20200906,"S37000035","Under 5","","All","d",18,28,-35.7
10080,20200906,"S37000035","5 - 14","","All","d",12,17.5,-31.4
10081,20200906,"S37000035","15 - 44","","All","d",151,177,-14.7
10082,20200906,"S37000035","45 - 64","","All","d",180,175,2.9
10083,20200906,"S37000035","65 - 74","","All","d",135,108,25
10084,20200906,"S37000035","75 - 84","","All","d",147,136.5,7.7
10085,20200906,"S37000035","85 and over","","All","d",71,70.5,0.7
10086,20200906,"S37000035","All ages","d","All","d",714,712.5,0.2
10087,20200906,"S37000035","All ages","d","Female","",348,363.5,-4.3
10088,20200906,"S37000035","All ages","d","Male","",366,349,4.9
10089,20200913,"S37000001","Under 5","","All","d",9,14,-35.7
10090,20200913,"S37000001","5 - 14","","All","d",9,12.5,-28
10091,20200913,"S37000001","15 - 44","","All","d",100,98.5,1.5
10092,20200913,"S37000001","45 - 64","","All","d",92,88.5,4
10093,20200913,"S37000001","65 - 74","","All","d",46,65,-29.2
10094,20200913,"S37000001","75 - 84","","All","d",60,64.5,-7
10095,20200913,"S37000001","85 and over","","All","d",66,65,1.5
10096,20200913,"S37000001","All ages","d","All","d",382,408,-6.4
10097,20200913,"S37000001","All ages","d","Female","",206,219.5,-6.2
10098,20200913,"S37000001","All ages","d","Male","",176,188.5,-6.6
10099,20200913,"S37000002","Under 5","","All","d",12,17,-29.4
10100,20200913,"S37000002","5 - 14","","All","d",7,6.5,7.7
10101,20200913,"S37000002","15 - 44","","All","d",93,84,10.7
10102,20200913,"S37000002","45 - 64","","All","d",87,83,4.8
10103,20200913,"S37000002","65 - 74","","All","d",71,59,20.3
10104,20200913,"S37000002","75 - 84","","All","d",78,94,-17
10105,20200913,"S37000002","85 and over","","All","d",60,66,-9.1
10106,20200913,"S37000002","All ages","d","All","d",408,409.5,-0.4
10107,20200913,"S37000002","All ages","d","Female","",199,201.5,-1.2
10108,20200913,"S37000002","All ages","d","Male","",209,208,0.5
10109,20200913,"S37000003","Under 5","","All","d",7,10.5,-33.3
10110,20200913,"S37000003","5 - 14","","All","d",7,5.5,27.3
10111,20200913,"S37000003","15 - 44","","All","d",43,51.5,-16.5
10112,20200913,"S37000003","45 - 64","","All","d",53,43.5,21.8
10113,20200913,"S37000003","65 - 74","","All","d",33,33,0
10114,20200913,"S37000003","75 - 84","","All","d",36,41,-12.2
10115,20200913,"S37000003","85 and over","","All","d",42,41.5,1.2
10116,20200913,"S37000003","All ages","d","All","d",221,226.5,-2.4
10117,20200913,"S37000003","All ages","d","Female","",124,127.5,-2.7
10118,20200913,"S37000003","All ages","d","Male","",97,99,-2
10119,20200913,"S37000004","Under 5","","All","d",6,7,-14.3
10120,20200913,"S37000004","5 - 14","","All","d",5,3,66.7
10121,20200913,"S37000004","15 - 44","","All","d",33,38.5,-14.3
10122,20200913,"S37000004","45 - 64","","All","d",40,42,-4.8
10123,20200913,"S37000004","65 - 74","","All","d",48,44.5,7.9
10124,20200913,"S37000004","75 - 84","","All","d",63,56.5,11.5
10125,20200913,"S37000004","85 and over","","All","d",49,37.5,30.7
10126,20200913,"S37000004","All ages","d","All","d",244,229,6.6
10127,20200913,"S37000004","All ages","d","Female","",136,115,18.3
10128,20200913,"S37000004","All ages","d","Male","",108,114,-5.3
10129,20200913,"S37000005","5 - 14","","All","d",6,4.5,33.3
10130,20200913,"S37000005","15 - 44","","All","d",70,67.5,3.7
10131,20200913,"S37000005","45 - 64","","All","d",61,50.5,20.8
10132,20200913,"S37000005","65 - 74","","All","d",42,35,20
10133,20200913,"S37000005","75 - 84","","All","d",44,59,-25.4
10134,20200913,"S37000005","85 and over","","All","d",38,42,-9.5
10135,20200913,"S37000005","All ages","d","All","d",264,269,-1.9
10136,20200913,"S37000005","All ages","d","Female","",141,140.5,0.4
10137,20200913,"S37000005","All ages","d","Male","",123,128.5,-4.3
10138,20200913,"S37000006","Under 5","","All","d",9,7,28.6
10139,20200913,"S37000006","5 - 14","","All","d",8,4.5,77.8
10140,20200913,"S37000006","15 - 44","","All","d",51,57,-10.5
10141,20200913,"S37000006","45 - 64","","All","d",71,55,29.1
10142,20200913,"S37000006","65 - 74","","All","d",48,70,-31.4
10143,20200913,"S37000006","75 - 84","","All","d",79,79.5,-0.6
10144,20200913,"S37000006","85 and over","","All","d",70,56.5,23.9
10145,20200913,"S37000006","All ages","d","All","d",336,329.5,2
10146,20200913,"S37000006","All ages","d","Female","",191,173.5,10.1
10147,20200913,"S37000006","All ages","d","Male","",145,156,-7.1
10148,20200913,"S37000007","Under 5","","All","d",10,10,0
10149,20200913,"S37000007","5 - 14","","All","d",7,6.5,7.7
10150,20200913,"S37000007","15 - 44","","All","d",81,100,-19
10151,20200913,"S37000007","45 - 64","","All","d",87,87.5,-0.6
10152,20200913,"S37000007","65 - 74","","All","d",53,54.5,-2.8
10153,20200913,"S37000007","75 - 84","","All","d",66,63.5,3.9
10154,20200913,"S37000007","85 and over","","All","d",40,43,-7
10155,20200913,"S37000007","All ages","d","All","d",344,365,-5.8
10156,20200913,"S37000007","All ages","d","Female","",159,183.5,-13.4
10157,20200913,"S37000007","All ages","d","Male","",185,181.5,1.9
10158,20200913,"S37000008","15 - 44","","All","d",65,60,8.3
10159,20200913,"S37000008","45 - 64","","All","d",55,60.5,-9.1
10160,20200913,"S37000008","65 - 74","","All","d",43,44.5,-3.4
10161,20200913,"S37000008","75 - 84","","All","d",42,52,-19.2
