"id","date","hb","hb_name","daily_positive","cumulative_positive","crude_rate_positive","crude_rate7day_positive","daily_deaths","cumulative_deaths","crude_rate_deaths","daily_negative","cumulative_negative","crude_rate_negative","total_tests","positive_tests","positive_percentage","positive_percentage7day","total_pillar1","total_pillar2","hospital_admissions","hospital_admissions_qf","icu_admissions","icu_admissions_qf","positive_pillar1","positive_pillar2"
2999,20200915,"S08000025","NHS Orkney",0,18,80.3571428571429,0,0,1,4.46428571428571,23,1617,7218.75,38,0,0,0,34,4,NA,":",NA,":",0,0
3000,20200915,"S08000026","NHS Shetland",0,57,249.23480542195,4.37254044599913,0,5,21.8627022299956,29,2538,11097.5076519458,87,0,0,0.162074554294976,20,67,NA,":",NA,":",0,0
3501,20201018,"S92000003","Scotland",832,49519,905.945847054519,151.628247347237,22,2747,50.2561287961947,2389,640501,11717.9107208196,7674,925,12.053687776909,7.5454694412584,3193,4481,89,"",7,"",172,753
3004,20200915,"S08000031","NHS Greater Glasgow and Clyde",86,6804,574.060949681077,50.622658702035,0,755,63.7001788667274,1044,116833,9857.3284735581,4888,95,1.94353518821604,2.58025802580258,1880,3008,NA,":",NA,":",10,85
3005,20200915,"S08000032","NHS Lanarkshire",42,3519,531.603118013173,47.7370233850988,0,364,54.9882168106834,603,62109,9382.59109311741,2420,46,1.90082644628099,2.37838614643961,906,1514,NA,":",NA,":",7,39
3006,20200915,"S92000003","Scotland",227,23490,429.747530186608,26.0519575557995,0,2560,46.8349798755946,4514,507106,9277.46066593487,21047,258,1.22582790896565,1.49639654508445,6626,14421,21,"",0,"",33,225
3007,20200916,"S08000015","NHS Ayrshire and Arran",9,1517,412.239463028887,16.3047908910568,0,175,47.5556400989157,204,32123,8729.31329655697,1301,11,0.845503458877786,0.933457794372583,362,939,NA,":",NA,":",4,7
3008,20200916,"S08000016","NHS Borders",9,407,353.175980562305,14.7518222839292,0,39,33.8424158278376,65,10326,8960.43040610899,546,21,3.84615384615385,2.39591516103692,120,426,NA,":",NA,":",2,19
3009,20200916,"S08000017","NHS Dumfries and Galloway",2,346,233.326589790276,10.1153145862836,0,40,26.9741722300897,120,14457,9749.14019826017,744,2,0.268817204301075,0.570469798657718,216,528,NA,":",NA,":",2,0
3010,20200916,"S08000019","NHS Forth Valley",12,1272,415.781387899193,16.0167358546073,0,135,44.1277416402445,202,27270,8913.80381132939,1216,13,1.06907894736842,0.832615561297732,523,693,NA,":",NA,":",3,10
3011,20200916,"S08000020","NHS Grampian",14,2029,346.511826487917,9.56365809922295,0,156,26.6416189906925,399,58719,10028.007855862,2060,14,0.679611650485437,0.649665470765054,504,1556,NA,":",NA,":",0,14
3012,20200916,"S08000022","NHS Highland",14,544,169.544349560556,19.0114068441065,0,65,20.2580564732282,247,28948,9022.003365954,1278,15,1.17370892018779,1.07748375851688,348,930,NA,":",NA,":",4,11
3013,20200916,"S08000024","NHS Lothian",48,3776,413.812754112374,23.5619020482416,0,490,53.6992186215739,652,79764,8741.35606965556,2489,53,2.12936922458819,1.63104242025649,630,1859,NA,":",NA,":",4,49
