id,week_ending,hb,hbqf,age_group,age_group_qf,sex,sex_qf,admission_type,admission_type_qf,number_admissions,average20182019,percent_variation
141,20200105,S92000003,d,All ages,d,Male,,All,d,6797,7085.5,-4.1
142,20200112,S08000015,,Under 5,,All,d,All,d,83,105.5,-21.3
143,20200112,S08000015,,5 - 14,,All,d,All,d,40,41,-2.4
144,20200112,S08000015,,15 - 44,,All,d,All,d,191,199,-4
145,20200112,S08000015,,45 - 64,,All,d,All,d,283,311.5,-9.1
146,20200112,S08000015,,65 - 74,,All,d,All,d,189,212,-10.8
147,20200112,S08000015,,75 - 84,,All,d,All,d,173,207.5,-16.6
148,20200112,S08000015,,85 and over,,All,d,All,d,132,98,34.7
149,20200112,S08000015,,All ages,d,All,d,All,d,1091,1174.5,-7.1
150,20200112,S08000015,,All ages,d,Female,,All,d,527,585,-9.9
151,20200112,S08000015,,All ages,d,Male,,All,d,562,587.5,-4.3
152,20200112,S08000016,,Under 5,,All,d,All,d,15,21,-28.6
153,20200112,S08000016,,5 - 14,,All,d,All,d,6,10.5,-42.9
154,20200112,S08000016,,15 - 44,,All,d,All,d,25,29.5,-15.3
155,20200112,S08000016,,45 - 64,,All,d,All,d,43,46,-6.5
156,20200112,S08000016,,65 - 74,,All,d,All,d,43,48,-10.4
157,20200112,S08000016,,75 - 84,,All,d,All,d,68,66.5,2.3
158,20200112,S08000016,,85 and over,,All,d,All,d,39,48.5,-19.6
159,20200112,S08000016,,All ages,d,All,d,All,d,239,270,-11.5
160,20200112,S08000016,,All ages,d,Female,,All,d,125,132,-5.3
161,20200112,S08000016,,All ages,d,Male,,All,d,114,137.5,-17.1
162,20200112,S08000017,,Under 5,,All,d,All,d,29,42,-31
163,20200112,S08000017,,5 - 14,,All,d,All,d,10,19,-47.4
164,20200112,S08000017,,15 - 44,,All,d,All,d,72,62.5,15.2
165,20200112,S08000017,,45 - 64,,All,d,All,d,90,94,-4.3
166,20200112,S08000017,,65 - 74,,All,d,All,d,77,89.5,-14
167,20200112,S08000017,,75 - 84,,All,d,All,d,103,106,-2.8
168,20200112,S08000017,,85 and over,,All,d,All,d,65,64,1.6
169,20200112,S08000017,,All ages,d,All,d,All,d,446,477,-6.5
170,20200112,S08000017,,All ages,d,Female,,All,d,232,222.5,4.3
171,20200112,S08000017,,All ages,d,Male,,All,d,213,254,-16.1
172,20200112,S08000019,,Under 5,,All,d,All,d,39,96.5,-59.6
173,20200112,S08000019,,5 - 14,,All,d,All,d,32,66,-51.5
174,20200112,S08000019,,15 - 44,,All,d,All,d,168,230.5,-27.1
175,20200112,S08000019,,45 - 64,,All,d,All,d,191,265.5,-28.1
176,20200112,S08000019,,65 - 74,,All,d,All,d,136,208.5,-34.8
177,20200112,S08000019,,75 - 84,,All,d,All,d,154,273.5,-43.7
178,20200112,S08000019,,85 and over,,All,d,All,d,81,175.5,-53.8
179,20200112,S08000019,,All ages,d,All,d,All,d,801,1316,-39.1
180,20200112,S08000019,,All ages,d,Female,,All,d,402,620,-35.2
181,20200112,S08000019,,All ages,d,Male,,All,d,399,693,-42.4
182,20200112,S08000020,,Under 5,,All,d,All,d,106,96,10.4
183,20200112,S08000020,,5 - 14,,All,d,All,d,86,51.5,67
184,20200112,S08000020,,15 - 44,,All,d,All,d,209,237,-11.8
185,20200112,S08000020,,45 - 64,,All,d,All,d,280,328,-14.6
186,20200112,S08000020,,65 - 74,,All,d,All,d,233,239,-2.5
187,20200112,S08000020,,75 - 84,,All,d,All,d,263,261.5,0.6
188,20200112,S08000020,,85 and over,,All,d,All,d,152,150.5,1
189,20200112,S08000020,,All ages,d,All,d,All,d,1329,1363.5,-2.5
190,20200112,S08000020,,All ages,d,Female,,All,d,705,636.5,10.8
191,20200112,S08000020,,All ages,d,Male,,All,d,617,713,-13.5
192,20200112,S08000022,,Under 5,,All,d,All,d,66,45,46.7
193,20200112,S08000022,,5 - 14,,All,d,All,d,20,18,11.1
194,20200112,S08000022,,15 - 44,,All,d,All,d,135,134.5,0.4
195,20200112,S08000022,,45 - 64,,All,d,All,d,172,165,4.2
196,20200112,S08000022,,65 - 74,,All,d,All,d,148,136.5,8.4
197,20200112,S08000022,,75 - 84,,All,d,All,d,158,149,6
198,20200112,S08000022,,85 and over,,All,d,All,d,89,98.5,-9.6
199,20200112,S08000022,,All ages,d,All,d,All,d,788,746.5,5.6
200,20200112,S08000022,,All ages,d,Female,,All,d,400,397,0.8
201,20200112,S08000022,,All ages,d,Male,,All,d,382,341,12
202,20200112,S08000024,,Under 5,,All,d,All,d,145,138.5,4.7
203,20200112,S08000024,,5 - 14,,All,d,All,d,102,84,21.4
204,20200112,S08000024,,15 - 44,,All,d,All,d,465,409,13.7
