id,week_ending,hb,hbqf,age_group,age_group_qf,sex,sex_qf,sas_incidents,average20182019,percent_variation
8087,20210207,S08000032,,All ages,d,Female,,657,720.5,-8.8
8088,20210207,S08000032,,All ages,d,Male,,682,684.5,-0.4
8089,20210207,S92000003,d,Under 5,,All,d,190,422.5,-55
8090,20210207,S92000003,d,5 - 14,,All,d,101,271,-62.7
8091,20210207,S92000003,d,15 - 44,,All,d,2228,2634,-15.4
8092,20210207,S92000003,d,45 - 64,,All,d,2700,2744,-1.6
8093,20210207,S92000003,d,65 - 74,,All,d,1723,1816.5,-5.1
8094,20210207,S92000003,d,75 - 84,,All,d,2118,2366,-10.5
8095,20210207,S92000003,d,85 and over,,All,d,1584,1740,-9
8096,20210207,S92000003,d,All ages,d,All,d,11044,12588,-12.3
8097,20210207,S92000003,d,All ages,d,Female,,5309,5932,-10.5
8098,20210207,S92000003,d,All ages,d,Male,,5104,5637.5,-9.5
8099,20210214,S08000015,,Under 5,,All,d,15,26.5,-43.4
8100,20210214,S08000015,,5 - 14,,All,d,11,20,-45
8101,20210214,S08000015,,15 - 44,,All,d,173,203,-14.8
8102,20210214,S08000015,,45 - 64,,All,d,181,207,-12.6
8103,20210214,S08000015,,65 - 74,,All,d,159,149,6.7
8104,20210214,S08000015,,75 - 84,,All,d,184,202,-8.9
8105,20210214,S08000015,,85 and over,,All,d,115,153.5,-25.1
8106,20210214,S08000015,,All ages,d,All,d,871,998.5,-12.8
8107,20210214,S08000015,,All ages,d,Female,,431,497,-13.3
8108,20210214,S08000015,,All ages,d,Male,,387,435.5,-11.1
8109,20210214,S08000016,,15 - 44,,All,d,48,48.5,-1
8110,20210214,S08000016,,45 - 64,,All,d,59,61.5,-4.1
8111,20210214,S08000016,,65 - 74,,All,d,53,54.5,-2.8
8112,20210214,S08000016,,75 - 84,,All,d,66,62.5,5.6
8113,20210214,S08000016,,85 and over,,All,d,55,61,-9.8
8114,20210214,S08000016,,All ages,d,All,d,292,310,-5.8
8115,20210214,S08000016,,All ages,d,Female,,133,156.5,-15
8116,20210214,S08000016,,All ages,d,Male,,148,137,8
8117,20210214,S08000017,,Under 5,,All,d,6,10,-40
8118,20210214,S08000017,,15 - 44,,All,d,50,49.5,1
8119,20210214,S08000017,,45 - 64,,All,d,73,79.5,-8.2
8120,20210214,S08000017,,65 - 74,,All,d,74,63.5,16.5
8121,20210214,S08000017,,75 - 84,,All,d,70,77.5,-9.7
8122,20210214,S08000017,,85 and over,,All,d,52,57,-8.8
8123,20210214,S08000017,,All ages,d,All,d,333,360,-7.5
8124,20210214,S08000017,,All ages,d,Female,,151,171.5,-12
8125,20210214,S08000017,,All ages,d,Male,,165,164.5,0.3
8126,20210214,S08000019,,Under 5,,All,d,12,28,-57.1
8127,20210214,S08000019,,5 - 14,,All,d,6,12.5,-52
8128,20210214,S08000019,,15 - 44,,All,d,119,140.5,-15.3
8129,20210214,S08000019,,45 - 64,,All,d,159,150.5,5.6
8130,20210214,S08000019,,65 - 74,,All,d,122,93.5,30.5
8131,20210214,S08000019,,75 - 84,,All,d,108,117.5,-8.1
8132,20210214,S08000019,,85 and over,,All,d,74,69.5,6.5
8133,20210214,S08000019,,All ages,d,All,d,622,647,-3.9
8134,20210214,S08000019,,All ages,d,Female,,280,286.5,-2.3
8135,20210214,S08000019,,All ages,d,Male,,307,302.5,1.5
8136,20210214,S08000020,,Under 5,,All,d,19,40,-52.5
8137,20210214,S08000020,,5 - 14,,All,d,13,21.5,-39.5
8138,20210214,S08000020,,15 - 44,,All,d,207,239,-13.4
8139,20210214,S08000020,,45 - 64,,All,d,218,262,-16.8
8140,20210214,S08000020,,65 - 74,,All,d,169,181.5,-6.9
8141,20210214,S08000020,,75 - 84,,All,d,183,224,-18.3
8142,20210214,S08000020,,85 and over,,All,d,190,179.5,5.8
8143,20210214,S08000020,,All ages,d,All,d,1029,1199.5,-14.2
8144,20210214,S08000020,,All ages,d,Female,,488,554.5,-12
8145,20210214,S08000020,,All ages,d,Male,,474,542.5,-12.6
8146,20210214,S08000022,,Under 5,,All,d,18,30,-40
8147,20210214,S08000022,,5 - 14,,All,d,18,18,0
8148,20210214,S08000022,,15 - 44,,All,d,130,133.5,-2.6
8149,20210214,S08000022,,45 - 64,,All,d,146,166.5,-12.3
8150,20210214,S08000022,,65 - 74,,All,d,138,134,3
8151,20210214,S08000022,,75 - 84,,All,d,169,157.5,7.3
8152,20210214,S08000022,,85 and over,,All,d,145,136.5,6.2
8153,20210214,S08000022,,All ages,d,All,d,803,823,-2.4
8154,20210214,S08000022,,All ages,d,Female,,384,384.5,-0.1
8155,20210214,S08000022,,All ages,d,Male,,355,362.5,-2.1
8156,20210214,S08000024,,Under 5,,All,d,31,71.5,-56.6
8157,20210214,S08000024,,5 - 14,,All,d,18,41,-56.1
8158,20210214,S08000024,,15 - 44,,All,d,366,437.5,-16.3
8159,20210214,S08000024,,45 - 64,,All,d,369,417,-11.5
8160,20210214,S08000024,,65 - 74,,All,d,216,230,-6.1
8161,20210214,S08000024,,75 - 84,,All,d,241,292,-17.5
8162,20210214,S08000024,,85 and over,,All,d,216,219.5,-1.6
8163,20210214,S08000024,,All ages,d,All,d,1524,1801,-15.4
8164,20210214,S08000024,,All ages,d,Female,,675,850.5,-20.6
8165,20210214,S08000024,,All ages,d,Male,,733,788.5,-7
8166,20210214,S08000025,,45 - 64,,All,d,9,9,0
8167,20210214,S08000025,,75 - 84,,All,d,11,12.5,-12
8168,20210214,S08000025,,85 and over,,All,d,8,8.5,-5.9
8169,20210214,S08000025,,All ages,d,All,d,35,44.5,-21.3
8170,20210214,S08000025,,All ages,d,Female,,18,22,-18.2
8171,20210214,S08000025,,All ages,d,Male,,16,19,-15.8
8172,20210214,S08000026,,15 - 44,,All,d,10,6.5,53.8
8173,20210214,S08000026,,45 - 64,,All,d,11,9,22.2
8174,20210214,S08000026,,65 - 74,,All,d,7,4,75
8175,20210214,S08000026,,75 - 84,,All,d,10,7,42.9
8176,20210214,S08000026,,All ages,d,All,d,44,41,7.3
8177,20210214,S08000026,,All ages,d,Female,,19,14.5,31
8178,20210214,S08000026,,All ages,d,Male,,18,18.5,-2.7
8179,20210214,S08000028,,15 - 44,,All,d,11,7,57.1
8180,20210214,S08000028,,45 - 64,,All,d,10,14.5,-31
8181,20210214,S08000028,,65 - 74,,All,d,19,14.5,31
8182,20210214,S08000028,,75 - 84,,All,d,30,21,42.9
8183,20210214,S08000028,,85 and over,,All,d,11,15,-26.7
8184,20210214,S08000028,,All ages,d,All,d,88,75.5,16.6
8185,20210214,S08000028,,All ages,d,Female,,32,36.5,-12.3
8186,20210214,S08000028,,All ages,d,Male,,40,32,25
8187,20210214,S08000029,,Under 5,,All,d,15,30,-50
8188,20210214,S08000029,,5 - 14,,All,d,15,15.5,-3.2
8189,20210214,S08000029,,15 - 44,,All,d,185,183.5,0.8
8190,20210214,S08000029,,45 - 64,,All,d,163,179,-8.9
8191,20210214,S08000029,,65 - 74,,All,d,109,141,-22.7
8192,20210214,S08000029,,75 - 84,,All,d,127,160,-20.6
8193,20210214,S08000029,,85 and over,,All,d,103,114,-9.6
8194,20210214,S08000029,,All ages,d,All,d,748,855.5,-12.6
8195,20210214,S08000029,,All ages,d,Female,,366,428,-14.5
8196,20210214,S08000029,,All ages,d,Male,,335,371.5,-9.8
8197,20210214,S08000030,,Under 5,,All,d,9,29,-69
8198,20210214,S08000030,,5 - 14,,All,d,8,19.5,-59
8199,20210214,S08000030,,15 - 44,,All,d,188,191.5,-1.8
8200,20210214,S08000030,,45 - 64,,All,d,210,182.5,15.1
8201,20210214,S08000030,,65 - 74,,All,d,135,156.5,-13.7
8202,20210214,S08000030,,75 - 84,,All,d,129,198,-34.8
8203,20210214,S08000030,,85 and over,,All,d,132,140.5,-6
8204,20210214,S08000030,,All ages,d,All,d,833,950.5,-12.4
8205,20210214,S08000030,,All ages,d,Female,,418,459,-8.9
8206,20210214,S08000030,,All ages,d,Male,,371,431,-13.9
8207,20210214,S08000031,,Under 5,,All,d,43,86.5,-50.3
8208,20210214,S08000031,,5 - 14,,All,d,30,53,-43.4
8209,20210214,S08000031,,15 - 44,,All,d,504,596,-15.4
8210,20210214,S08000031,,45 - 64,,All,d,625,678.5,-7.9
8211,20210214,S08000031,,65 - 74,,All,d,382,424,-9.9
8212,20210214,S08000031,,75 - 84,,All,d,365,503,-27.4
8213,20210214,S08000031,,85 and over,,All,d,334,338,-1.2
8214,20210214,S08000031,,All ages,d,All,d,2408,2841.5,-15.3
8215,20210214,S08000031,,All ages,d,Female,,1170,1351.5,-13.4
8216,20210214,S08000031,,All ages,d,Male,,1053,1234,-14.7
8217,20210214,S08000032,,Under 5,,All,d,33,54,-38.9
8218,20210214,S08000032,,5 - 14,,All,d,11,33,-66.7
8219,20210214,S08000032,,15 - 44,,All,d,270,317.5,-15
8220,20210214,S08000032,,45 - 64,,All,d,377,362,4.1
8221,20210214,S08000032,,65 - 74,,All,d,214,224,-4.5
8222,20210214,S08000032,,75 - 84,,All,d,250,292,-14.4
8223,20210214,S08000032,,85 and over,,All,d,159,181,-12.2
8224,20210214,S08000032,,All ages,d,All,d,1350,1524.5,-11.4
8225,20210214,S08000032,,All ages,d,Female,,690,749,-7.9
8226,20210214,S08000032,,All ages,d,Male,,589,678.5,-13.2
8227,20210214,S92000003,d,Under 5,,All,d,203,419.5,-51.6
8228,20210214,S92000003,d,5 - 14,,All,d,138,250.5,-44.9
8229,20210214,S92000003,d,15 - 44,,All,d,2275,2568.5,-11.4
8230,20210214,S92000003,d,45 - 64,,All,d,2615,2786.5,-6.2
8231,20210214,S92000003,d,65 - 74,,All,d,1804,1878.5,-4
8232,20210214,S92000003,d,75 - 84,,All,d,1944,2328,-16.5
8233,20210214,S92000003,d,85 and over,,All,d,1598,1682,-5
8234,20210214,S92000003,d,All ages,d,All,d,11008,12502.5,-12
8235,20210214,S92000003,d,All ages,d,Female,,5268,5973,-11.8
8236,20210214,S92000003,d,All ages,d,Male,,5003,5528.5,-9.5
8237,20210221,S08000015,,Under 5,,All,d,12,31.5,-61.9
8238,20210221,S08000015,,5 - 14,,All,d,7,12.5,-44
8239,20210221,S08000015,,15 - 44,,All,d,156,210,-25.7
8240,20210221,S08000015,,45 - 64,,All,d,229,210,9
8241,20210221,S08000015,,65 - 74,,All,d,142,148,-4.1
8242,20210221,S08000015,,75 - 84,,All,d,196,209.5,-6.4
8243,20210221,S08000015,,85 and over,,All,d,137,148,-7.4
8244,20210221,S08000015,,All ages,d,All,d,907,1011.5,-10.3
8245,20210221,S08000015,,All ages,d,Female,,425,487.5,-12.8
8246,20210221,S08000015,,All ages,d,Male,,433,452,-4.2
8247,20210221,S08000016,,15 - 44,,All,d,40,43,-7
8248,20210221,S08000016,,45 - 64,,All,d,56,59.5,-5.9
8249,20210221,S08000016,,65 - 74,,All,d,42,49.5,-15.2
8250,20210221,S08000016,,75 - 84,,All,d,64,65.5,-2.3
8251,20210221,S08000016,,85 and over,,All,d,37,48,-22.9
8252,20210221,S08000016,,All ages,d,All,d,246,282.5,-12.9
8253,20210221,S08000016,,All ages,d,Female,,135,142.5,-5.3
8254,20210221,S08000016,,All ages,d,Male,,101,124.5,-18.9
8255,20210221,S08000017,,15 - 44,,All,d,60,63.5,-5.5
8256,20210221,S08000017,,45 - 64,,All,d,90,78,15.4
8257,20210221,S08000017,,65 - 74,,All,d,50,53,-5.7
8258,20210221,S08000017,,75 - 84,,All,d,96,94,2.1
8259,20210221,S08000017,,85 and over,,All,d,76,74,2.7
8260,20210221,S08000017,,All ages,d,All,d,383,392.5,-2.4
8261,20210221,S08000017,,All ages,d,Female,,186,200,-7
8262,20210221,S08000017,,All ages,d,Male,,186,167,11.4
8263,20210221,S08000019,,Under 5,,All,d,15,16.5,-9.1
8264,20210221,S08000019,,5 - 14,,All,d,10,13.5,-25.9
8265,20210221,S08000019,,15 - 44,,All,d,141,141,0
8266,20210221,S08000019,,45 - 64,,All,d,132,151,-12.6
8267,20210221,S08000019,,65 - 74,,All,d,95,101.5,-6.4
8268,20210221,S08000019,,75 - 84,,All,d,118,122.5,-3.7
8269,20210221,S08000019,,85 and over,,All,d,77,73.5,4.8
8270,20210221,S08000019,,All ages,d,All,d,609,645,-5.6
8271,20210221,S08000019,,All ages,d,Female,,314,309,1.6
8272,20210221,S08000019,,All ages,d,Male,,262,287.5,-8.9
8273,20210221,S08000020,,Under 5,,All,d,16,36.5,-56.2
8274,20210221,S08000020,,5 - 14,,All,d,13,18.5,-29.7
8275,20210221,S08000020,,15 - 44,,All,d,237,260,-8.8
8276,20210221,S08000020,,45 - 64,,All,d,229,263,-12.9
8277,20210221,S08000020,,65 - 74,,All,d,196,159.5,22.9
8278,20210221,S08000020,,75 - 84,,All,d,213,244.5,-12.9
8279,20210221,S08000020,,85 and over,,All,d,192,168,14.3
8280,20210221,S08000020,,All ages,d,All,d,1127,1206,-6.6
8281,20210221,S08000020,,All ages,d,Female,,544,551.5,-1.4
8282,20210221,S08000020,,All ages,d,Male,,526,554.5,-5.1
8283,20210221,S08000022,,Under 5,,All,d,5,28.5,-82.5
8284,20210221,S08000022,,5 - 14,,All,d,13,15.5,-16.1
8285,20210221,S08000022,,15 - 44,,All,d,137,137.5,-0.4
8286,20210221,S08000022,,45 - 64,,All,d,165,156.5,5.4
8287,20210221,S08000022,,65 - 74,,All,d,143,143.5,-0.3
8288,20210221,S08000022,,75 - 84,,All,d,150,156.5,-4.2
8289,20210221,S08000022,,85 and over,,All,d,118,130,-9.2
8290,20210221,S08000022,,All ages,d,All,d,758,815,-7
8291,20210221,S08000022,,All ages,d,Female,,371,369.5,0.4
8292,20210221,S08000022,,All ages,d,Male,,344,358,-3.9
8293,20210221,S08000024,,Under 5,,All,d,29,57,-49.1
8294,20210221,S08000024,,5 - 14,,All,d,15,37.5,-60
8295,20210221,S08000024,,15 - 44,,All,d,371,429,-13.5
8296,20210221,S08000024,,45 - 64,,All,d,387,371.5,4.2
8297,20210221,S08000024,,65 - 74,,All,d,234,260,-10
8298,20210221,S08000024,,75 - 84,,All,d,290,285.5,1.6
8299,20210221,S08000024,,85 and over,,All,d,211,209,1
8300,20210221,S08000024,,All ages,d,All,d,1618,1759,-8
8301,20210221,S08000024,,All ages,d,Female,,812,820,-1
8302,20210221,S08000024,,All ages,d,Male,,693,755.5,-8.3
8303,20210221,S08000025,,45 - 64,,All,d,11,7,57.1
8304,20210221,S08000025,,65 - 74,,All,d,10,11.5,-13
8305,20210221,S08000025,,75 - 84,,All,d,20,8.5,135.3
8306,20210221,S08000025,,85 and over,,All,d,9,5.5,63.6
8307,20210221,S08000025,,All ages,d,All,d,56,39.5,41.8
8308,20210221,S08000025,,All ages,d,Female,,27,19,42.1
8309,20210221,S08000025,,All ages,d,Male,,28,18,55.6
8310,20210221,S08000026,,15 - 44,,All,d,12,7,71.4
8311,20210221,S08000026,,45 - 64,,All,d,9,10,-10
8312,20210221,S08000026,,65 - 74,,All,d,5,8.5,-41.2
8313,20210221,S08000026,,75 - 84,,All,d,9,6,50
8314,20210221,S08000026,,85 and over,,All,d,5,4.5,11.1
8315,20210221,S08000026,,All ages,d,All,d,42,39,7.7
8316,20210221,S08000026,,All ages,d,Female,,18,16.5,9.1
8317,20210221,S08000026,,All ages,d,Male,,22,18.5,18.9
8318,20210221,S08000028,,15 - 44,,All,d,12,7,71.4
8319,20210221,S08000028,,45 - 64,,All,d,15,15,0
8320,20210221,S08000028,,65 - 74,,All,d,17,18,-5.6
8321,20210221,S08000028,,75 - 84,,All,d,18,21.5,-16.3
8322,20210221,S08000028,,85 and over,,All,d,23,13.5,70.4
8323,20210221,S08000028,,All ages,d,All,d,89,81,9.9
8324,20210221,S08000028,,All ages,d,Female,,55,38.5,42.9
8325,20210221,S08000028,,All ages,d,Male,,30,33,-9.1
8326,20210221,S08000029,,Under 5,,All,d,18,30.5,-41
8327,20210221,S08000029,,5 - 14,,All,d,5,23,-78.3
8328,20210221,S08000029,,15 - 44,,All,d,163,211.5,-22.9
8329,20210221,S08000029,,45 - 64,,All,d,192,175.5,9.4
8330,20210221,S08000029,,65 - 74,,All,d,143,138,3.6
8331,20210221,S08000029,,75 - 84,,All,d,162,162.5,-0.3
8332,20210221,S08000029,,85 and over,,All,d,133,122.5,8.6
8333,20210221,S08000029,,All ages,d,All,d,843,886.5,-4.9
8334,20210221,S08000029,,All ages,d,Female,,395,450.5,-12.3
8335,20210221,S08000029,,All ages,d,Male,,405,388.5,4.2
8336,20210221,S08000030,,Under 5,,All,d,14,33.5,-58.2
8337,20210221,S08000030,,5 - 14,,All,d,8,24.5,-67.3
8338,20210221,S08000030,,15 - 44,,All,d,179,194.5,-8
8339,20210221,S08000030,,45 - 64,,All,d,194,203.5,-4.7
8340,20210221,S08000030,,65 - 74,,All,d,157,136,15.4
8341,20210221,S08000030,,75 - 84,,All,d,193,169,14.2
8342,20210221,S08000030,,85 and over,,All,d,120,131,-8.4
8343,20210221,S08000030,,All ages,d,All,d,904,921.5,-1.9
8344,20210221,S08000030,,All ages,d,Female,,436,460.5,-5.3
8345,20210221,S08000030,,All ages,d,Male,,402,403.5,-0.4
8346,20210221,S08000031,,Under 5,,All,d,52,69.5,-25.2
8347,20210221,S08000031,,5 - 14,,All,d,38,47,-19.1
8348,20210221,S08000031,,15 - 44,,All,d,584,625.5,-6.6
8349,20210221,S08000031,,45 - 64,,All,d,619,683,-9.4
8350,20210221,S08000031,,65 - 74,,All,d,371,361,2.8
8351,20210221,S08000031,,75 - 84,,All,d,414,485,-14.6
8352,20210221,S08000031,,85 and over,,All,d,311,352.5,-11.8
8353,20210221,S08000031,,All ages,d,All,d,2513,2797.5,-10.2
8354,20210221,S08000031,,All ages,d,Female,,1221,1308.5,-6.7
8355,20210221,S08000031,,All ages,d,Male,,1104,1221.5,-9.6
8356,20210221,S08000032,,Under 5,,All,d,24,54.5,-56
8357,20210221,S08000032,,5 - 14,,All,d,9,35.5,-74.6
8358,20210221,S08000032,,15 - 44,,All,d,258,297,-13.1
8359,20210221,S08000032,,45 - 64,,All,d,392,377,4
8360,20210221,S08000032,,65 - 74,,All,d,198,226.5,-12.6
8361,20210221,S08000032,,75 - 84,,All,d,271,250.5,8.2
8362,20210221,S08000032,,85 and over,,All,d,176,183,-3.8
8363,20210221,S08000032,,All ages,d,All,d,1369,1491,-8.2
8364,20210221,S08000032,,All ages,d,Female,,714,705.5,1.2
8365,20210221,S08000032,,All ages,d,Male,,591,678,-12.8
8366,20210221,S92000003,d,Under 5,,All,d,193,378.5,-49
8367,20210221,S92000003,d,5 - 14,,All,d,128,239.5,-46.6
8368,20210221,S92000003,d,15 - 44,,All,d,2356,2636.5,-10.6
8369,20210221,S92000003,d,45 - 64,,All,d,2726,2764.5,-1.4
8370,20210221,S92000003,d,65 - 74,,All,d,1804,1816,-0.7
8371,20210221,S92000003,d,75 - 84,,All,d,2214,2282.5,-3
8372,20210221,S92000003,d,85 and over,,All,d,1625,1666.5,-2.5
8373,20210221,S92000003,d,All ages,d,All,d,11482,12388.5,-7.3
8374,20210221,S92000003,d,All ages,d,Female,,5659,5887,-3.9
8375,20210221,S92000003,d,All ages,d,Male,,5131,5468.5,-6.2
8376,20210228,S08000015,,Under 5,,All,d,10,31.5,-68.3
8377,20210228,S08000015,,5 - 14,,All,d,7,18.5,-62.2
8378,20210228,S08000015,,15 - 44,,All,d,191,199.5,-4.3
8379,20210228,S08000015,,45 - 64,,All,d,205,195.5,4.9
8380,20210228,S08000015,,65 - 74,,All,d,130,170,-23.5
8381,20210228,S08000015,,75 - 84,,All,d,180,200.5,-10.2
8382,20210228,S08000015,,85 and over,,All,d,121,117,3.4
8383,20210228,S08000015,,All ages,d,All,d,870,970,-10.3
8384,20210228,S08000015,,All ages,d,Female,,429,476,-9.9
8385,20210228,S08000015,,All ages,d,Male,,394,420,-6.2
8386,20210228,S08000016,,Under 5,,All,d,9,3.5,157.1
8387,20210228,S08000016,,15 - 44,,All,d,39,49,-20.4
8388,20210228,S08000016,,45 - 64,,All,d,64,49.5,29.3
8389,20210228,S08000016,,65 - 74,,All,d,53,45,17.8
8390,20210228,S08000016,,75 - 84,,All,d,65,57.5,13
8391,20210228,S08000016,,85 and over,,All,d,48,46,4.3
8392,20210228,S08000016,,All ages,d,All,d,291,263,10.6
8393,20210228,S08000016,,All ages,d,Female,,143,135,5.9
8394,20210228,S08000016,,All ages,d,Male,,135,111,21.6
8395,20210228,S08000017,,Under 5,,All,d,5,11,-54.5
8396,20210228,S08000017,,15 - 44,,All,d,52,64,-18.8
8397,20210228,S08000017,,45 - 64,,All,d,51,74,-31.1
8398,20210228,S08000017,,65 - 74,,All,d,53,75,-29.3
8399,20210228,S08000017,,75 - 84,,All,d,73,91.5,-20.2
8400,20210228,S08000017,,85 and over,,All,d,44,63.5,-30.7
8401,20210228,S08000017,,All ages,d,All,d,285,397.5,-28.3
8402,20210228,S08000017,,All ages,d,Female,,148,183.5,-19.3
8403,20210228,S08000017,,All ages,d,Male,,124,193,-35.8
8404,20210228,S08000019,,Under 5,,All,d,12,21,-42.9
8405,20210228,S08000019,,15 - 44,,All,d,117,125,-6.4
8406,20210228,S08000019,,45 - 64,,All,d,154,150.5,2.3
8407,20210228,S08000019,,65 - 74,,All,d,81,100,-19
8408,20210228,S08000019,,75 - 84,,All,d,115,124,-7.3
8409,20210228,S08000019,,85 and over,,All,d,69,74.5,-7.4
8410,20210228,S08000019,,All ages,d,All,d,573,634,-9.6
8411,20210228,S08000019,,All ages,d,Female,,261,284.5,-8.3
8412,20210228,S08000019,,All ages,d,Male,,275,297.5,-7.6
8413,20210228,S08000020,,Under 5,,All,d,16,32.5,-50.8
8414,20210228,S08000020,,5 - 14,,All,d,15,22.5,-33.3
8415,20210228,S08000020,,15 - 44,,All,d,237,265,-10.6
8416,20210228,S08000020,,45 - 64,,All,d,238,228,4.4
8417,20210228,S08000020,,65 - 74,,All,d,168,163,3.1
8418,20210228,S08000020,,75 - 84,,All,d,163,191,-14.7
8419,20210228,S08000020,,85 and over,,All,d,155,167,-7.2
8420,20210228,S08000020,,All ages,d,All,d,1026,1118,-8.2
8421,20210228,S08000020,,All ages,d,Female,,508,547.5,-7.2
8422,20210228,S08000020,,All ages,d,Male,,464,488,-4.9
8423,20210228,S08000022,,Under 5,,All,d,12,22,-45.5
8424,20210228,S08000022,,15 - 44,,All,d,138,158.5,-12.9
8425,20210228,S08000022,,45 - 64,,All,d,181,160.5,12.8
8426,20210228,S08000022,,65 - 74,,All,d,98,127.5,-23.1
8427,20210228,S08000022,,75 - 84,,All,d,133,157.5,-15.6
8428,20210228,S08000022,,85 and over,,All,d,99,142.5,-30.5
8429,20210228,S08000022,,All ages,d,All,d,700,841.5,-16.8
8430,20210228,S08000022,,All ages,d,Female,,310,401,-22.7
8431,20210228,S08000022,,All ages,d,Male,,333,341,-2.3
8432,20210228,S08000024,,Under 5,,All,d,34,56.5,-39.8
8433,20210228,S08000024,,5 - 14,,All,d,19,36.5,-47.9
8434,20210228,S08000024,,15 - 44,,All,d,394,414.5,-4.9
8435,20210228,S08000024,,45 - 64,,All,d,348,388.5,-10.4
8436,20210228,S08000024,,65 - 74,,All,d,205,224,-8.5
8437,20210228,S08000024,,75 - 84,,All,d,240,245.5,-2.2
8438,20210228,S08000024,,85 and over,,All,d,177,185.5,-4.6
8439,20210228,S08000024,,All ages,d,All,d,1482,1665,-11
8440,20210228,S08000024,,All ages,d,Female,,734,744.5,-1.4
8441,20210228,S08000024,,All ages,d,Male,,647,724.5,-10.7
8442,20210228,S08000025,,15 - 44,,All,d,5,6.5,-23.1
8443,20210228,S08000025,,45 - 64,,All,d,6,6.5,-7.7
8444,20210228,S08000025,,65 - 74,,All,d,5,10.5,-52.4
8445,20210228,S08000025,,75 - 84,,All,d,8,6.5,23.1
8446,20210228,S08000025,,85 and over,,All,d,8,6,33.3
8447,20210228,S08000025,,All ages,d,All,d,38,39,-2.6
8448,20210228,S08000025,,All ages,d,Female,,14,19.5,-28.2
8449,20210228,S08000025,,All ages,d,Male,,20,17,17.6
8450,20210228,S08000026,,15 - 44,,All,d,14,9,55.6
8451,20210228,S08000026,,45 - 64,,All,d,10,3.5,185.7
8452,20210228,S08000026,,65 - 74,,All,d,9,8,12.5
8453,20210228,S08000026,,75 - 84,,All,d,7,5.5,27.3
8454,20210228,S08000026,,All ages,d,All,d,44,35,25.7
8455,20210228,S08000026,,All ages,d,Female,,19,13.5,40.7
8456,20210228,S08000026,,All ages,d,Male,,24,16.5,45.5
8457,20210228,S08000028,,15 - 44,,All,d,12,4.5,166.7
8458,20210228,S08000028,,45 - 64,,All,d,18,9.5,89.5
8459,20210228,S08000028,,65 - 74,,All,d,12,11,9.1
8460,20210228,S08000028,,75 - 84,,All,d,16,26.5,-39.6
8461,20210228,S08000028,,85 and over,,All,d,8,14,-42.9
8462,20210228,S08000028,,All ages,d,All,d,67,72.5,-7.6
8463,20210228,S08000028,,All ages,d,Female,,36,36,0
8464,20210228,S08000028,,All ages,d,Male,,23,28,-17.9
8465,20210228,S08000029,,Under 5,,All,d,20,28,-28.6
8466,20210228,S08000029,,5 - 14,,All,d,8,19,-57.9
8467,20210228,S08000029,,15 - 44,,All,d,167,197,-15.2
8468,20210228,S08000029,,45 - 64,,All,d,149,190.5,-21.8
8469,20210228,S08000029,,65 - 74,,All,d,112,130,-13.8
8470,20210228,S08000029,,75 - 84,,All,d,122,155,-21.3
8471,20210228,S08000029,,85 and over,,All,d,83,121,-31.4
8472,20210228,S08000029,,All ages,d,All,d,686,864,-20.6
8473,20210228,S08000029,,All ages,d,Female,,332,412,-19.4
8474,20210228,S08000029,,All ages,d,Male,,312,397,-21.4
8475,20210228,S08000030,,Under 5,,All,d,15,33,-54.5
8476,20210228,S08000030,,5 - 14,,All,d,12,18,-33.3
8477,20210228,S08000030,,15 - 44,,All,d,197,206.5,-4.6
8478,20210228,S08000030,,45 - 64,,All,d,185,185.5,-0.3
8479,20210228,S08000030,,65 - 74,,All,d,111,137.5,-19.3
8480,20210228,S08000030,,75 - 84,,All,d,156,175,-10.9
8481,20210228,S08000030,,85 and over,,All,d,125,130.5,-4.2
8482,20210228,S08000030,,All ages,d,All,d,818,923.5,-11.4
8483,20210228,S08000030,,All ages,d,Female,,397,421.5,-5.8
8484,20210228,S08000030,,All ages,d,Male,,388,438,-11.4
8485,20210228,S08000031,,Under 5,,All,d,44,91,-51.6
8486,20210228,S08000031,,5 - 14,,All,d,24,50.5,-52.5
8487,20210228,S08000031,,15 - 44,,All,d,542,621.5,-12.8
8488,20210228,S08000031,,45 - 64,,All,d,649,665.5,-2.5
8489,20210228,S08000031,,65 - 74,,All,d,296,410.5,-27.9
8490,20210228,S08000031,,75 - 84,,All,d,368,474,-22.4
8491,20210228,S08000031,,85 and over,,All,d,264,329.5,-19.9
8492,20210228,S08000031,,All ages,d,All,d,2307,2807,-17.8
8493,20210228,S08000031,,All ages,d,Female,,1117,1278.5,-12.6
8494,20210228,S08000031,,All ages,d,Male,,1011,1257,-19.6
8495,20210228,S08000032,,Under 5,,All,d,21,50.5,-58.4
8496,20210228,S08000032,,5 - 14,,All,d,10,36,-72.2
8497,20210228,S08000032,,15 - 44,,All,d,251,293.5,-14.5
8498,20210228,S08000032,,45 - 64,,All,d,340,339.5,0.1
8499,20210228,S08000032,,65 - 74,,All,d,211,227,-7
8500,20210228,S08000032,,75 - 84,,All,d,249,279,-10.8
8501,20210228,S08000032,,85 and over,,All,d,176,175,0.6
8502,20210228,S08000032,,All ages,d,All,d,1296,1466.5,-11.6
8503,20210228,S08000032,,All ages,d,Female,,634,681.5,-7
8504,20210228,S08000032,,All ages,d,Male,,605,680.5,-11.1
