id,week_ending,hb,hbqf,age_group,age_group_qf,sex,sex_qf,sas_incidents,average20182019,percent_variation
220,20200112,S08000026,,All ages,d,Female,,14,20.5,-31.7
221,20200112,S08000026,,All ages,d,Male,,16,16,0
222,20200112,S08000028,,15 - 44,,All,d,13,7,85.7
223,20200112,S08000028,,45 - 64,,All,d,22,14,57.1
224,20200112,S08000028,,65 - 74,,All,d,8,15.5,-48.4
225,20200112,S08000028,,75 - 84,,All,d,19,20.5,-7.3
226,20200112,S08000028,,85 and over,,All,d,19,16,18.8
227,20200112,S08000028,,All ages,d,All,d,87,79.5,9.4
228,20200112,S08000028,,All ages,d,Female,,38,32,18.8
229,20200112,S08000028,,All ages,d,Male,,40,40.5,-1.2
230,20200112,S08000029,,Under 5,,All,d,26,29.5,-11.9
231,20200112,S08000029,,5 - 14,,All,d,14,16,-12.5
232,20200112,S08000029,,15 - 44,,All,d,166,157.5,5.4
233,20200112,S08000029,,45 - 64,,All,d,170,186.5,-8.8
234,20200112,S08000029,,65 - 74,,All,d,124,131.5,-5.7
235,20200112,S08000029,,75 - 84,,All,d,153,179,-14.5
236,20200112,S08000029,,85 and over,,All,d,139,144,-3.5
237,20200112,S08000029,,All ages,d,All,d,813,874,-7
238,20200112,S08000029,,All ages,d,Female,,408,438,-6.8
239,20200112,S08000029,,All ages,d,Male,,364,383,-5
240,20200112,S08000030,,Under 5,,All,d,30,30,0
241,20200112,S08000030,,5 - 14,,All,d,10,15.5,-35.5
242,20200112,S08000030,,15 - 44,,All,d,199,190,4.7
243,20200112,S08000030,,45 - 64,,All,d,197,170,15.9
244,20200112,S08000030,,65 - 74,,All,d,138,139.5,-1.1
245,20200112,S08000030,,75 - 84,,All,d,182,181.5,0.3
246,20200112,S08000030,,85 and over,,All,d,169,153.5,10.1
247,20200112,S08000030,,All ages,d,All,d,966,909,6.3
248,20200112,S08000030,,All ages,d,Female,,462,439,5.2
249,20200112,S08000030,,All ages,d,Male,,449,406.5,10.5
250,20200112,S08000031,,Under 5,,All,d,57,77.5,-26.5
251,20200112,S08000031,,5 - 14,,All,d,27,42.5,-36.5
252,20200112,S08000031,,15 - 44,,All,d,541,584,-7.4
253,20200112,S08000031,,45 - 64,,All,d,628,694.5,-9.6
254,20200112,S08000031,,65 - 74,,All,d,353,394.5,-10.5
255,20200112,S08000031,,75 - 84,,All,d,485,515,-5.8
256,20200112,S08000031,,85 and over,,All,d,348,359.5,-3.2
257,20200112,S08000031,,All ages,d,All,d,2588,2838,-8.8
258,20200112,S08000031,,All ages,d,Female,,1227,1325.5,-7.4
259,20200112,S08000031,,All ages,d,Male,,1111,1255,-11.5
260,20200112,S08000032,,Under 5,,All,d,31,45,-31.1
261,20200112,S08000032,,5 - 14,,All,d,17,21,-19
262,20200112,S08000032,,15 - 44,,All,d,300,297.5,0.8
263,20200112,S08000032,,45 - 64,,All,d,343,347.5,-1.3
264,20200112,S08000032,,65 - 74,,All,d,254,248.5,2.2
265,20200112,S08000032,,75 - 84,,All,d,304,304.5,-0.2
266,20200112,S08000032,,85 and over,,All,d,193,213.5,-9.6
267,20200112,S08000032,,All ages,d,All,d,1503,1542,-2.5
268,20200112,S08000032,,All ages,d,Female,,761,751,1.3
269,20200112,S08000032,,All ages,d,Male,,653,693.5,-5.8
270,20200112,S92000003,d,Under 5,,All,d,304,382,-20.4
271,20200112,S92000003,d,5 - 14,,All,d,151,183,-17.5
272,20200112,S92000003,d,15 - 44,,All,d,2363,2419,-2.3
273,20200112,S92000003,d,45 - 64,,All,d,2635,2694.5,-2.2
274,20200112,S92000003,d,65 - 74,,All,d,1805,1879,-3.9
275,20200112,S92000003,d,75 - 84,,All,d,2379,2433.5,-2.2
276,20200112,S92000003,d,85 and over,,All,d,1789,1809.5,-1.1
277,20200112,S92000003,d,All ages,d,All,d,11987,12381.5,-3.2
278,20200112,S92000003,d,All ages,d,Female,,5827,5919.5,-1.6
279,20200112,S92000003,d,All ages,d,Male,,5214,5482.5,-4.9
280,20200119,S08000015,,Under 5,,All,d,28,30,-6.7
281,20200119,S08000015,,5 - 14,,All,d,19,15,26.7
282,20200119,S08000015,,15 - 44,,All,d,159,196.5,-19.1
283,20200119,S08000015,,45 - 64,,All,d,209,217.5,-3.9
284,20200119,S08000015,,65 - 74,,All,d,163,157,3.8
285,20200119,S08000015,,75 - 84,,All,d,213,214.5,-0.7
286,20200119,S08000015,,85 and over,,All,d,166,173.5,-4.3
287,20200119,S08000015,,All ages,d,All,d,994,1044.5,-4.8
288,20200119,S08000015,,All ages,d,Female,,479,515.5,-7.1
289,20200119,S08000015,,All ages,d,Male,,452,458.5,-1.4
290,20200119,S08000016,,5 - 14,,All,d,5,4,25
291,20200119,S08000016,,15 - 44,,All,d,41,45,-8.9
292,20200119,S08000016,,45 - 64,,All,d,56,60.5,-7.4
293,20200119,S08000016,,65 - 74,,All,d,51,41.5,22.9
294,20200119,S08000016,,75 - 84,,All,d,64,56.5,13.3
295,20200119,S08000016,,85 and over,,All,d,53,49,8.2
296,20200119,S08000016,,All ages,d,All,d,279,273,2.2
297,20200119,S08000016,,All ages,d,Female,,137,126.5,8.3
298,20200119,S08000016,,All ages,d,Male,,128,128,0
299,20200119,S08000017,,Under 5,,All,d,9,11.5,-21.7
300,20200119,S08000017,,15 - 44,,All,d,62,62.5,-0.8
301,20200119,S08000017,,45 - 64,,All,d,74,59.5,24.4
302,20200119,S08000017,,65 - 74,,All,d,62,66.5,-6.8
303,20200119,S08000017,,75 - 84,,All,d,84,86.5,-2.9
304,20200119,S08000017,,85 and over,,All,d,66,63,4.8
305,20200119,S08000017,,All ages,d,All,d,373,368,1.4
306,20200119,S08000017,,All ages,d,Female,,189,173.5,8.9
307,20200119,S08000017,,All ages,d,Male,,156,167.5,-6.9
308,20200119,S08000019,,Under 5,,All,d,17,16.5,3
309,20200119,S08000019,,5 - 14,,All,d,9,15.5,-41.9
310,20200119,S08000019,,15 - 44,,All,d,139,146.5,-5.1
311,20200119,S08000019,,45 - 64,,All,d,141,141,0
312,20200119,S08000019,,65 - 74,,All,d,80,83,-3.6
313,20200119,S08000019,,75 - 84,,All,d,122,113,8
314,20200119,S08000019,,85 and over,,All,d,93,90,3.3
315,20200119,S08000019,,All ages,d,All,d,627,639.5,-2
316,20200119,S08000019,,All ages,d,Female,,312,288,8.3
317,20200119,S08000019,,All ages,d,Male,,274,295,-7.1
318,20200119,S08000020,,Under 5,,All,d,47,45.5,3.3
319,20200119,S08000020,,5 - 14,,All,d,24,20.5,17.1
320,20200119,S08000020,,15 - 44,,All,d,258,239.5,7.7
321,20200119,S08000020,,45 - 64,,All,d,243,220,10.5
322,20200119,S08000020,,65 - 74,,All,d,177,162.5,8.9
323,20200119,S08000020,,75 - 84,,All,d,259,203,27.6
324,20200119,S08000020,,85 and over,,All,d,192,193,-0.5
325,20200119,S08000020,,All ages,d,All,d,1261,1117,12.9
326,20200119,S08000020,,All ages,d,Female,,615,539.5,14
327,20200119,S08000020,,All ages,d,Male,,527,503.5,4.7
328,20200119,S08000022,,Under 5,,All,d,21,31.5,-33.3
329,20200119,S08000022,,5 - 14,,All,d,10,15.5,-35.5
330,20200119,S08000022,,15 - 44,,All,d,114,137.5,-17.1
331,20200119,S08000022,,45 - 64,,All,d,146,173,-15.6
332,20200119,S08000022,,65 - 74,,All,d,136,140,-2.9
333,20200119,S08000022,,75 - 84,,All,d,171,158,8.2
334,20200119,S08000022,,85 and over,,All,d,123,134.5,-8.6
335,20200119,S08000022,,All ages,d,All,d,770,841.5,-8.5
336,20200119,S08000022,,All ages,d,Female,,341,397,-14.1
337,20200119,S08000022,,All ages,d,Male,,344,363,-5.2
338,20200119,S08000024,,Under 5,,All,d,53,65,-18.5
339,20200119,S08000024,,5 - 14,,All,d,37,28,32.1
340,20200119,S08000024,,15 - 44,,All,d,382,417,-8.4
341,20200119,S08000024,,45 - 64,,All,d,356,351,1.4
342,20200119,S08000024,,65 - 74,,All,d,228,222,2.7
343,20200119,S08000024,,75 - 84,,All,d,307,278,10.4
344,20200119,S08000024,,85 and over,,All,d,216,208,3.8
345,20200119,S08000024,,All ages,d,All,d,1678,1670,0.5
346,20200119,S08000024,,All ages,d,Female,,809,748,8.2
347,20200119,S08000024,,All ages,d,Male,,698,741,-5.8
348,20200119,S08000025,,45 - 64,,All,d,13,7.5,73.3
349,20200119,S08000025,,65 - 74,,All,d,7,8,-12.5
350,20200119,S08000025,,75 - 84,,All,d,13,13.5,-3.7
351,20200119,S08000025,,85 and over,,All,d,8,6.5,23.1
352,20200119,S08000025,,All ages,d,All,d,47,43.5,8
353,20200119,S08000025,,All ages,d,Female,,21,22,-4.5
354,20200119,S08000025,,All ages,d,Male,,25,18.5,35.1
355,20200119,S08000026,,15 - 44,,All,d,12,8,50
356,20200119,S08000026,,45 - 64,,All,d,6,13.5,-55.6
357,20200119,S08000026,,75 - 84,,All,d,7,11,-36.4
358,20200119,S08000026,,85 and over,,All,d,6,8.5,-29.4
359,20200119,S08000026,,All ages,d,All,d,35,52,-32.7
360,20200119,S08000026,,All ages,d,Female,,19,22,-13.6
361,20200119,S08000026,,All ages,d,Male,,12,23.5,-48.9
362,20200119,S08000028,,45 - 64,,All,d,20,18.5,8.1
363,20200119,S08000028,,65 - 74,,All,d,15,15,0
364,20200119,S08000028,,75 - 84,,All,d,31,17,82.4
365,20200119,S08000028,,85 and over,,All,d,14,20,-30
366,20200119,S08000028,,All ages,d,All,d,86,85.5,0.6
367,20200119,S08000028,,All ages,d,Female,,36,38.5,-6.5
368,20200119,S08000028,,All ages,d,Male,,37,37.5,-1.3
369,20200119,S08000029,,Under 5,,All,d,34,29.5,15.3
370,20200119,S08000029,,5 - 14,,All,d,13,17,-23.5
371,20200119,S08000029,,15 - 44,,All,d,168,169.5,-0.9
