id,week_ending,hscp,simd_quintile,sas_incidents,average20182019,percent_variation
253,20200112,S37000027,2,59,90,-34.4
254,20200112,S37000027,3,43,51.5,-16.5
255,20200112,S37000027,4,27,36.5,-26
256,20200112,S37000027,5,46,41.5,10.8
257,20200112,S37000028,1,202,198.5,1.8
258,20200112,S37000028,2,176,217.5,-19.1
259,20200112,S37000028,3,133,128,3.9
260,20200112,S37000028,4,75,102,-26.5
261,20200112,S37000028,5,62,68,-8.8
262,20200112,S37000029,1,120,118,1.7
263,20200112,S37000029,2,57,72.5,-21.4
264,20200112,S37000029,3,28,28.5,-1.8
265,20200112,S37000029,4,15,18.5,-18.9
266,20200112,S37000030,1,63,94.5,-33.3
267,20200112,S37000030,2,125,118,5.9
268,20200112,S37000030,3,79,69.5,13.7
269,20200112,S37000030,4,43,40.5,6.2
270,20200112,S37000030,5,32,26,23.1
271,20200112,S37000031,2,22,21,4.8
272,20200112,S37000031,3,61,55.5,9.9
273,20200112,S37000032,1,214,229.5,-6.8
274,20200112,S37000032,2,204,185.5,10
275,20200112,S37000032,3,157,168,-6.5
276,20200112,S37000032,4,105,119.5,-12.1
277,20200112,S37000032,5,94,117,-19.7
278,20200112,S37000033,1,23,25,-8
279,20200112,S37000033,2,54,42.5,27.1
280,20200112,S37000033,3,80,74.5,7.4
281,20200112,S37000033,4,111,105.5,5.2
282,20200112,S37000033,5,42,36,16.7
283,20200112,S37000034,1,745,885,-15.8
284,20200112,S37000034,2,206,196.5,4.8
285,20200112,S37000034,3,99,133,-25.6
286,20200112,S37000034,4,88,79.5,10.7
287,20200112,S37000034,5,56,72.5,-22.8
288,20200112,S37000035,1,330,301.5,9.5
289,20200112,S37000035,2,237,238,-0.4
290,20200112,S37000035,3,119,112,6.2
291,20200112,S37000035,4,55,56.5,-2.7
292,20200112,S37000035,5,26,30,-13.3
293,20200119,S37000001,1,63,52.5,20
294,20200119,S37000001,2,108,108.5,-0.5
295,20200119,S37000001,3,81,76.5,5.9
296,20200119,S37000001,4,74,63,17.5
297,20200119,S37000001,5,126,121,4.1
298,20200119,S37000002,1,21,13,61.5
299,20200119,S37000002,2,56,52,7.7
300,20200119,S37000002,3,108,100.5,7.5
301,20200119,S37000002,4,154,150,2.7
302,20200119,S37000002,5,108,106,1.9
303,20200119,S37000003,1,21,21.5,-2.3
304,20200119,S37000003,2,48,48.5,-1
305,20200119,S37000003,3,81,73,11
306,20200119,S37000003,4,49,49.5,-1
307,20200119,S37000003,5,31,31,0
308,20200119,S37000004,1,16,31,-48.4
309,20200119,S37000004,2,60,63.5,-5.5
310,20200119,S37000004,3,85,98.5,-13.7
311,20200119,S37000004,4,34,55,-38.2
312,20200119,S37000004,5,12,11.5,4.3
313,20200119,S37000005,1,74,68,8.8
314,20200119,S37000005,2,59,74.5,-20.8
315,20200119,S37000005,3,51,54,-5.6
316,20200119,S37000005,4,64,51,25.5
317,20200119,S37000005,5,43,44,-2.3
318,20200119,S37000006,1,35,44.5,-21.3
319,20200119,S37000006,2,98,119.5,-18
320,20200119,S37000006,3,125,111,12.6
321,20200119,S37000006,4,64,50.5,26.7
322,20200119,S37000006,5,21,23,-8.7
323,20200119,S37000007,1,137,150,-8.7
324,20200119,S37000007,2,68,75,-9.3
325,20200119,S37000007,3,41,34.5,18.8
326,20200119,S37000007,4,29,40,-27.5
327,20200119,S37000007,5,35,44,-20.5
328,20200119,S37000008,1,145,125,16
329,20200119,S37000008,2,84,80,5
330,20200119,S37000008,3,41,41,0
