id,week_ending,hscp,age_group,age_group_qf,sex,sex_qf,number_attendances,average20182019,percent_variation
219,20200105,S37000026,All ages,d,Male,,78,62,25.8
220,20200105,S37000027,Under 5,,All,d,58,59,-1.7
221,20200105,S37000027,5 - 14,,All,d,28,37.5,-25.3
222,20200105,S37000027,15 - 44,,All,d,208,193.5,7.5
223,20200105,S37000027,45 - 64,,All,d,157,170,-7.6
224,20200105,S37000027,65 - 74,,All,d,82,75.5,8.6
225,20200105,S37000027,75 - 84,,All,d,78,71,9.9
226,20200105,S37000027,85 and over,,All,d,59,47.5,24.2
227,20200105,S37000027,All ages,d,All,d,673,657.5,2.4
228,20200105,S37000027,All ages,d,Female,,309,344.5,-10.3
229,20200105,S37000027,All ages,d,Male,,361,309.5,16.6
230,20200105,S37000028,Under 5,,All,d,132,136,-2.9
231,20200105,S37000028,5 - 14,,All,d,88,92.5,-4.9
232,20200105,S37000028,15 - 44,,All,d,606,628.5,-3.6
233,20200105,S37000028,45 - 64,,All,d,484,484,0
234,20200105,S37000028,65 - 74,,All,d,243,224,8.5
235,20200105,S37000028,75 - 84,,All,d,224,210,6.7
236,20200105,S37000028,85 and over,,All,d,121,122,-0.8
237,20200105,S37000028,All ages,d,All,d,1907,1905.5,0.1
238,20200105,S37000028,All ages,d,Female,,970,990.5,-2.1
239,20200105,S37000028,All ages,d,Male,,928,906.5,2.4
240,20200105,S37000029,Under 5,,All,d,55,43.5,26.4
241,20200105,S37000029,5 - 14,,All,d,23,19.5,17.9
242,20200105,S37000029,15 - 44,,All,d,136,123,10.6
243,20200105,S37000029,45 - 64,,All,d,87,76,14.5
244,20200105,S37000029,65 - 74,,All,d,33,33,0
245,20200105,S37000029,75 - 84,,All,d,31,30,3.3
246,20200105,S37000029,85 and over,,All,d,18,21,-14.3
247,20200105,S37000029,All ages,d,All,d,386,347.5,11.1
248,20200105,S37000029,All ages,d,Female,,194,162.5,19.4
249,20200105,S37000029,All ages,d,Male,,189,183.5,3
250,20200105,S37000030,Under 5,,All,d,74,98.5,-24.9
251,20200105,S37000030,5 - 14,,All,d,64,67.5,-5.2
252,20200105,S37000030,15 - 44,,All,d,396,388.5,1.9
253,20200105,S37000030,45 - 64,,All,d,232,255,-9
254,20200105,S37000030,65 - 74,,All,d,99,103.5,-4.3
255,20200105,S37000030,75 - 84,,All,d,86,101,-14.9
256,20200105,S37000030,85 and over,,All,d,32,41,-22
257,20200105,S37000030,All ages,d,All,d,995,1064.5,-6.5
258,20200105,S37000030,All ages,d,Female,,502,534,-6
259,20200105,S37000030,All ages,d,Male,,481,521,-7.7
260,20200105,S37000031,Under 5,,All,d,8,6,33.3
261,20200105,S37000031,5 - 14,,All,d,6,7.5,-20
262,20200105,S37000031,15 - 44,,All,d,40,35,14.3
263,20200105,S37000031,45 - 64,,All,d,32,32,0
264,20200105,S37000031,65 - 74,,All,d,22,19,15.8
265,20200105,S37000031,75 - 84,,All,d,12,16.5,-27.3
266,20200105,S37000031,85 and over,,All,d,15,12,25
267,20200105,S37000031,All ages,d,All,d,139,129.5,7.3
268,20200105,S37000031,All ages,d,Female,,63,63,0
269,20200105,S37000031,All ages,d,Male,,72,65,10.8
270,20200105,S37000032,Under 5,,All,d,101,104,-2.9
271,20200105,S37000032,5 - 14,,All,d,81,70.5,14.9
272,20200105,S37000032,15 - 44,,All,d,510,510,0
273,20200105,S37000032,45 - 64,,All,d,321,342.5,-6.3
274,20200105,S37000032,65 - 74,,All,d,149,151.5,-1.7
275,20200105,S37000032,75 - 84,,All,d,139,132.5,4.9
276,20200105,S37000032,85 and over,,All,d,85,83.5,1.8
277,20200105,S37000032,All ages,d,All,d,1392,1406.5,-1
278,20200105,S37000032,All ages,d,Female,,709,719.5,-1.5
279,20200105,S37000032,All ages,d,Male,,677,675,0.3
280,20200105,S37000033,Under 5,,All,d,29,32,-9.4
281,20200105,S37000033,5 - 14,,All,d,24,26.5,-9.4
282,20200105,S37000033,15 - 44,,All,d,187,168,11.3
283,20200105,S37000033,45 - 64,,All,d,115,114,0.9
284,20200105,S37000033,65 - 74,,All,d,57,58,-1.7
285,20200105,S37000033,75 - 84,,All,d,48,54,-11.1
286,20200105,S37000033,85 and over,,All,d,31,52,-40.4
287,20200105,S37000033,All ages,d,All,d,494,505,-2.2
288,20200105,S37000033,All ages,d,Female,,252,240,5
289,20200105,S37000033,All ages,d,Male,,239,264.5,-9.6
290,20200105,S37000034,Under 5,,All,d,367,434.5,-15.5
291,20200105,S37000034,5 - 14,,All,d,210,219,-4.1
292,20200105,S37000034,15 - 44,,All,d,1303,1245.5,4.6
293,20200105,S37000034,45 - 64,,All,d,746,764.5,-2.4
294,20200105,S37000034,65 - 74,,All,d,260,266.5,-2.4
295,20200105,S37000034,75 - 84,,All,d,211,247.5,-14.7
296,20200105,S37000034,85 and over,,All,d,142,133.5,6.4
297,20200105,S37000034,All ages,d,All,d,3279,3319,-1.2
298,20200105,S37000034,All ages,d,Female,,1546,1638.5,-5.6
299,20200105,S37000034,All ages,d,Male,,1693,1672.5,1.2
300,20200105,S37000035,Under 5,,All,d,165,159,3.8
301,20200105,S37000035,5 - 14,,All,d,110,101.5,8.4
302,20200105,S37000035,15 - 44,,All,d,806,737.5,9.3
303,20200105,S37000035,45 - 64,,All,d,591,576,2.6
304,20200105,S37000035,65 - 74,,All,d,290,248.5,16.7
305,20200105,S37000035,75 - 84,,All,d,231,244.5,-5.5
306,20200105,S37000035,85 and over,,All,d,94,105,-10.5
307,20200105,S37000035,All ages,d,All,d,2304,2204,4.5
