id,date,country,sex,sex_qf,age_group,age_group_qf,daily_positive,cumulative_positive,crude_rate_positive,daily_deaths,cumulative_deaths,crude_rate_deaths,cumulative_negative,crude_rate_negative
163,20200303,S92000003,Total,d,85plus,,0,0,0,0,0,0,16,12.469702519659265
164,20200303,S92000003,Total,d,Total,d,3,7,0.12806439809732895,0,0,0,1147,20.984266373948042
165,20200304,S92000003,Female,,0 to 14,,0,0,0,0,0,0,95,22.667134325438013
166,20200304,S92000003,Female,,0 to 59,,3,3,0.14715685596434094,0,0,0,497,24.37898580475915
167,20200304,S92000003,Female,,15 to 19,,0,0,0,0,0,0,16,11.601516898334458
168,20200304,S92000003,Female,,20 to 24,,0,0,0,0,0,0,56,33.243694086777914
169,20200304,S92000003,Female,,25 to 44,,2,2,0.27667721729121936,0,0,0,170,23.517563469753647
170,20200304,S92000003,Female,,45 to 64,,1,1,0.1295051607806571,0,0,0,206,26.678063120815366
171,20200304,S92000003,Female,,60+,,0,1,0.13120828396621648,0,0,0,139,18.237951471304093
172,20200304,S92000003,Female,,65 to 74,,0,1,0.32698545568693105,0,0,0,63,20.600083708276657
173,20200304,S92000003,Female,,75 to 84,,0,0,0,0,0,0,16,8.332031453418736
174,20200304,S92000003,Female,,85plus,,0,0,0,0,0,0,14,16.985138004246284
175,20200304,S92000003,Female,,Total,d,3,4,0.14281695008690412,0,0,0,636,22.707895063817755
176,20200304,S92000003,Male,,0 to 14,,0,0,0,0,0,0,139,31.542090537145917
177,20200304,S92000003,Male,,0 to 59,,3,9,0.4458292672052944,0,0,0,529,26.204853594622307
178,20200304,S92000003,Male,,15 to 19,,0,0,0,0,0,0,19,13.175504656500724
179,20200304,S92000003,Male,,20 to 24,,0,0,0,0,0,0,33,19.041903728750967
180,20200304,S92000003,Male,,25 to 44,,2,5,0.7057750751297567,0,0,0,177,24.98443765959339
181,20200304,S92000003,Male,,45 to 64,,1,4,0.5534187442928692,0,0,0,209,28.916129389302412
182,20200304,S92000003,Male,,60+,,0,0,0,0,0,0,140,21.654998747103644
183,20200304,S92000003,Male,,65 to 74,,0,0,0,0,0,0,68,24.247697360210243
184,20200304,S92000003,Male,,75 to 84,,0,0,0,0,0,0,19,12.711070673552944
185,20200304,S92000003,Male,,85plus,,0,0,0,0,0,0,5,10.896569759839602
186,20200304,S92000003,Male,,Total,d,3,9,0.33768420673477384,0,0,0,669,25.10119270061819
187,20200304,S92000003,Total,d,0 to 14,,0,0,0,0,0,0,234,27.215948080345203
188,20200304,S92000003,Total,d,0 to 59,,6,12,0.29575947459315205,0,0,0,1028,25.336728323480024
189,20200304,S92000003,Total,d,15 to 19,,0,0,0,0,0,0,35,12.406068339713597
190,20200304,S92000003,Total,d,20 to 24,,0,0,0,0,0,0,90,26.334654942868426
191,20200304,S92000003,Total,d,25 to 44,,4,7,0.48906417569979843,0,0,0,348,24.313476163361408
192,20200304,S92000003,Total,d,45 to 64,,2,5,0.334459346466437,0,0,0,415,27.760125756714274
193,20200304,S92000003,Total,d,60+,,0,1,0.0709900053171514,0,0,0,279,19.80621148348524
194,20200304,S92000003,Total,d,65 to 74,,0,1,0.170571910558913,0,0,0,131,22.3449202832176
195,20200304,S92000003,Total,d,75 to 84,,0,0,0,0,0,0,35,10.248721837976493
196,20200304,S92000003,Total,d,85plus,,0,0,0,0,0,0,19,14.807771742095376
197,20200304,S92000003,Total,d,Total,d,6,13,0.23783388218075374,0,0,0,1307,23.911452616172706
198,20200305,S92000003,Female,,0 to 14,,0,0,0,0,0,0,117,27.916365432381554
199,20200305,S92000003,Female,,0 to 59,,1,4,0.19620914128578792,0,0,0,552,27.076861497438735
200,20200305,S92000003,Female,,15 to 19,,0,0,0,0,0,0,18,13.051706510626264
201,20200305,S92000003,Female,,20 to 24,,1,1,0.5936373944067485,0,0,0,59,35.02460626999816
202,20200305,S92000003,Female,,25 to 44,,0,2,0.27667721729121936,0,0,0,187,25.869319816729014
