"id","date","ca","ca_name","daily_positive","cumulative_positive","crude_rate_positive","crude_rate7day_positive","daily_deaths","cumulative_deaths","crude_rate_deaths","daily_negative","cumulative_negative","crude_rate_negative","total_tests","positive_tests","positive_percentage","positive_percentage7day","total_pillar1","total_pillar2","positive_pillar1","positive_pillar2"
89,20200301,"S12000049","Glasgow City",0,0,0,NA,0,0,0,9,76,11.9564533383676,12,0,0,NA,12,0,0,0
90,20200301,"S12000050","North Lanarkshire",0,0,0,NA,0,0,0,4,38,11.139121768189,6,0,0,NA,6,0,0,0
91,20200302,"S12000005","Clackmannanshire",0,1,1.94969779684149,NA,0,0,0,2,14,27.2957691557809,4,0,0,NA,4,0,0,0
92,20200302,"S12000006","Dumfries and Galloway",0,0,0,NA,0,0,0,11,37,24.951109312833,13,0,0,NA,13,0,0,0
93,20200302,"S12000008","East Ayrshire",0,0,0,NA,0,0,0,0,11,9.04605263157895,1,0,0,NA,1,0,0,0
94,20200302,"S12000010","East Lothian",0,0,0,NA,0,0,0,4,15,13.9017608897127,6,0,0,NA,6,0,0,0
95,20200302,"S12000011","East Renfrewshire",0,0,0,NA,0,0,0,2,10,10.4101603164689,3,0,0,NA,3,0,0,0
96,20200302,"S12000014","Falkirk",0,0,0,NA,0,0,0,4,35,21.7987045341305,5,0,0,NA,5,0,0,0
97,20200302,"S12000017","Highland",0,0,0,NA,0,0,0,1,25,10.6188676039587,3,0,0,NA,3,0,0,0
98,20200302,"S12000018","Inverclyde",0,0,0,NA,0,0,0,1,10,12.9769011160135,4,0,0,NA,4,0,0,0
99,20200302,"S12000019","Midlothian",0,0,0,NA,0,0,0,2,12,12.8824476650564,7,0,0,NA,7,0,0,0
100,20200302,"S12000020","Moray",0,1,1.04482290251802,NA,0,0,0,1,14,14.6275206352523,1,0,0,NA,1,0,0,0
101,20200302,"S12000021","North Ayrshire",1,1,0.74487895716946,NA,0,0,0,4,20,14.8975791433892,5,1,20,NA,5,0,1,0
102,20200302,"S12000023","Orkney Islands",0,0,0,NA,0,0,0,0,4,17.8571428571429,0,0,0,NA,0,0,0,0
103,20200302,"S12000026","Scottish Borders",0,0,0,NA,0,0,0,3,26,22.5616105518917,3,0,0,NA,3,0,0,0
104,20200302,"S12000028","South Ayrshire",0,0,0,NA,0,0,0,3,7,6.24219725343321,4,0,0,NA,4,0,0,0
105,20200302,"S12000029","South Lanarkshire",0,0,0,NA,0,0,0,14,41,12.7797518857927,19,0,0,NA,19,0,0,0
106,20200302,"S12000030","Stirling",0,0,0,NA,0,0,0,7,28,29.7619047619048,12,0,0,NA,12,0,0,0
107,20200302,"S12000033","Aberdeen City",0,0,0,NA,0,0,0,10,41,17.8992403737012,11,0,0,NA,11,0,0,0
108,20200302,"S12000034","Aberdeenshire",0,0,0,NA,0,0,0,6,36,13.804739627272,6,0,0,NA,6,0,0,0
109,20200302,"S12000035","Argyll and Bute",0,0,0,NA,0,0,0,0,3,3.51164696242538,0,0,0,NA,0,0,0,0
110,20200302,"S12000036","City of Edinburgh",0,0,0,NA,0,0,0,27,138,26.15518744551,32,0,0,NA,32,0,0,0
111,20200302,"S12000038","Renfrewshire",0,0,0,NA,0,0,0,9,28,15.608450861252,12,0,0,NA,12,0,0,0
112,20200302,"S12000039","West Dunbartonshire",0,0,0,NA,0,0,0,4,15,16.9798505773149,6,0,0,NA,6,0,0,0
113,20200302,"S12000040","West Lothian",0,0,0,NA,0,0,0,4,32,17.4083342400174,5,0,0,NA,5,0,0,0
114,20200302,"S12000041","Angus",0,1,0.863408737696425,NA,0,0,0,2,28,24.1754446554999,12,3,25,NA,12,0,3,0
115,20200302,"S12000042","Dundee City",0,0,0,NA,0,0,0,2,19,12.7671011960758,2,0,0,NA,2,0,0,0
116,20200302,"S12000045","East Dunbartonshire",0,0,0,NA,0,0,0,5,18,16.551724137931,9,0,0,NA,9,0,0,0
117,20200302,"S12000047","Fife",0,0,0,NA,0,0,0,11,72,19.2446475823911,14,0,0,NA,14,0,0,0
118,20200302,"S12000048","Perth and Kinross",0,0,0,NA,0,0,0,1,23,15.1405437430057,5,0,0,NA,5,0,0,0
119,20200302,"S12000049","Glasgow City",0,0,0,NA,0,0,0,29,105,16.5187842174816,46,0,0,NA,46,0,0,0
120,20200302,"S12000050","North Lanarkshire",0,0,0,NA,0,0,0,9,47,13.7773348185496,13,0,0,NA,13,0,0,0
121,20200303,"S12000005","Clackmannanshire",1,2,3.89939559368298,NA,0,0,0,3,17,33.1448625463053,4,1,25,NA,4,0,1,0
122,20200303,"S12000006","Dumfries and Galloway",0,0,0,NA,0,0,0,6,43,28.9972351473464,10,0,0,NA,10,0,0,0
123,20200303,"S12000008","East Ayrshire",0,0,0,NA,0,0,0,4,15,12.3355263157895,5,0,0,NA,5,0,0,0
124,20200303,"S12000010","East Lothian",0,0,0,NA,0,0,0,3,18,16.6821130676552,3,0,0,NA,3,0,0,0
125,20200303,"S12000011","East Renfrewshire",0,0,0,NA,0,0,0,1,11,11.4511763481158,2,0,0,NA,2,0,0,0
126,20200303,"S12000013","Na h-Eileanan Siar",0,0,0,NA,0,0,0,1,1,3.77358490566038,1,0,0,NA,1,0,0,0
127,20200303,"S12000014","Falkirk",0,0,0,NA,0,0,0,11,46,28.649725959143,21,0,0,NA,21,0,0,0
128,20200303,"S12000017","Highland",0,0,0,NA,0,0,0,3,28,11.8931317164338,4,0,0,NA,4,0,0,0
129,20200303,"S12000018","Inverclyde",0,0,0,NA,0,0,0,3,13,16.8699714508175,3,0,0,NA,3,0,0,0
130,20200303,"S12000019","Midlothian",0,0,0,NA,0,0,0,12,24,25.7648953301127,12,0,0,NA,12,0,0,0
131,20200303,"S12000020","Moray",0,1,1.04482290251802,NA,0,0,0,1,15,15.6723435377703,1,0,0,NA,1,0,0,0
132,20200303,"S12000021","North Ayrshire",0,1,0.74487895716946,NA,0,0,0,4,24,17.877094972067,6,0,0,NA,6,0,0,0
133,20200303,"S12000023","Orkney Islands",0,0,0,NA,0,0,0,1,5,22.3214285714286,1,0,0,NA,1,0,0,0
134,20200303,"S12000026","Scottish Borders",0,0,0,NA,0,0,0,2,28,24.2971190558834,2,0,0,NA,2,0,0,0
135,20200303,"S12000028","South Ayrshire",0,0,0,NA,0,0,0,7,14,12.4843945068664,7,0,0,NA,7,0,0,0
136,20200303,"S12000029","South Lanarkshire",0,0,0,NA,0,0,0,18,59,18.3903746649211,21,0,0,NA,21,0,0,0
137,20200303,"S12000030","Stirling",0,0,0,NA,0,0,0,0,28,29.7619047619048,0,0,0,NA,0,0,0,0
138,20200303,"S12000033","Aberdeen City",0,0,0,NA,0,0,0,3,44,19.2089408888501,5,0,0,NA,5,0,0,0
139,20200303,"S12000034","Aberdeenshire",1,1,0.383464989646445,NA,0,0,0,5,41,15.7220645755043,8,1,12.5,NA,8,0,1,0
140,20200303,"S12000035","Argyll and Bute",0,0,0,NA,0,0,0,5,8,9.36439189980101,6,0,0,NA,6,0,0,0
141,20200303,"S12000036","City of Edinburgh",0,0,0,NA,0,0,0,17,155,29.3772032902468,22,0,0,NA,22,0,0,0
142,20200303,"S12000038","Renfrewshire",0,0,0,NA,0,0,0,1,29,16.1658955348682,3,0,0,NA,3,0,0,0
143,20200303,"S12000039","West Dunbartonshire",1,1,1.13199003848766,NA,0,0,0,4,19,21.5078107312656,12,2,16.6666666666667,NA,12,0,2,0
144,20200303,"S12000040","West Lothian",0,0,0,NA,0,0,0,9,41,22.3044282450223,10,0,0,NA,10,0,0,0
145,20200303,"S12000041","Angus",0,1,0.863408737696425,NA,0,0,0,1,29,25.0388533931963,9,2,22.2222222222222,NA,9,0,2,0
146,20200303,"S12000042","Dundee City",0,0,0,NA,0,0,0,5,24,16.1268646687273,13,0,0,NA,13,0,0,0
147,20200303,"S12000045","East Dunbartonshire",0,0,0,NA,0,0,0,2,20,18.3908045977011,4,0,0,NA,4,0,0,0
148,20200303,"S12000047","Fife",0,0,0,NA,0,0,0,10,82,21.9175153021677,13,0,0,NA,13,0,0,0
149,20200303,"S12000048","Perth and Kinross",0,0,0,NA,0,0,0,8,31,20.4068198275295,13,0,0,NA,13,0,0,0
150,20200303,"S12000049","Glasgow City",0,0,0,NA,0,0,0,34,139,21.8677238688566,46,0,0,NA,46,0,0,0
151,20200303,"S12000050","North Lanarkshire",0,0,0,NA,0,0,0,6,53,15.5361435187899,13,0,0,NA,13,0,0,0
152,20200304,"S12000005","Clackmannanshire",0,2,3.89939559368298,NA,0,0,0,3,20,38.9939559368298,11,2,18.1818181818182,NA,11,0,2,0
153,20200304,"S12000006","Dumfries and Galloway",0,0,0,NA,0,0,0,9,52,35.0664238991166,11,0,0,NA,11,0,0,0
154,20200304,"S12000008","East Ayrshire",0,0,0,NA,0,0,0,1,16,13.1578947368421,1,0,0,NA,1,0,0,0
155,20200304,"S12000010","East Lothian",0,0,0,NA,0,0,0,4,22,20.389249304912,5,0,0,NA,5,0,0,0
156,20200304,"S12000011","East Renfrewshire",0,0,0,NA,0,0,0,4,15,15.6152404747033,8,0,0,NA,8,0,0,0
157,20200304,"S12000013","Na h-Eileanan Siar",0,0,0,NA,0,0,0,1,2,7.54716981132075,1,0,0,NA,1,0,0,0
158,20200304,"S12000014","Falkirk",1,1,0.622820129546587,NA,0,0,0,9,55,34.2551071250623,14,2,14.2857142857143,NA,14,0,2,0
159,20200304,"S12000017","Highland",0,0,0,NA,0,0,0,6,34,14.4416599413839,7,0,0,NA,7,0,0,0
