year,quarter,week_ending,hb,age_group,sex,admission_type,number_admissions,average20182019,percent_variation
2020,2,2020-06-07,S08000024,85 and over,All,All,193,198.5,-2.8
2020,2,2020-06-07,S08000024,All ages,All,All,1866,2221.5,-16
2020,2,2020-06-07,S08000024,All ages,Female,All,928,1109.5,-16.4
2020,2,2020-06-07,S08000024,All ages,Male,All,918,1078,-14.8
2020,2,2020-06-07,S08000025,65 - 74,All,All,6,8,-25
2020,2,2020-06-07,S08000025,85 and over,All,All,5,5,0
2020,2,2020-06-07,S08000025,All ages,All,All,19,36.5,-47.9
2020,2,2020-06-07,S08000025,All ages,Female,All,11,18.5,-40.5
2020,2,2020-06-07,S08000025,All ages,Male,All,8,17,-52.9
2020,2,2020-06-07,S08000026,45 - 64,All,All,7,12,-41.7
2020,2,2020-06-07,S08000026,65 - 74,All,All,6,6,0
2020,2,2020-06-07,S08000026,75 - 84,All,All,6,10.5,-42.9
2020,2,2020-06-07,S08000026,All ages,All,All,25,46,-45.7
2020,2,2020-06-07,S08000026,All ages,Female,All,15,22.5,-33.3
2020,2,2020-06-07,S08000026,All ages,Male,All,9,21.5,-58.1
2020,2,2020-06-07,S08000028,15 - 44,All,All,6,10.5,-42.9
2020,2,2020-06-07,S08000028,45 - 64,All,All,16,24,-33.3
2020,2,2020-06-07,S08000028,65 - 74,All,All,11,14.5,-24.1
2020,2,2020-06-07,S08000028,75 - 84,All,All,11,16.5,-33.3
2020,2,2020-06-07,S08000028,85 and over,All,All,7,5,40
2020,2,2020-06-07,S08000028,All ages,All,All,51,74.5,-31.5
2020,2,2020-06-07,S08000028,All ages,Female,All,26,33,-21.2
2020,2,2020-06-07,S08000028,All ages,Male,All,23,37,-37.8
2020,2,2020-06-07,S08000029,Under 5,All,All,30,54.5,-45
2020,2,2020-06-07,S08000029,5 - 14,All,All,20,31.5,-36.5
2020,2,2020-06-07,S08000029,15 - 44,All,All,152,208,-26.9
2020,2,2020-06-07,S08000029,45 - 64,All,All,166,202,-17.8
2020,2,2020-06-07,S08000029,65 - 74,All,All,99,167,-40.7
2020,2,2020-06-07,S08000029,75 - 84,All,All,149,172.5,-13.6
2020,2,2020-06-07,S08000029,85 and over,All,All,94,89,5.6
2020,2,2020-06-07,S08000029,All ages,All,All,710,924.5,-23.2
2020,2,2020-06-07,S08000029,All ages,Female,All,380,482,-21.2
2020,2,2020-06-07,S08000029,All ages,Male,All,328,435,-24.6
2020,2,2020-06-07,S08000030,Under 5,All,All,39,68,-42.6
2020,2,2020-06-07,S08000030,5 - 14,All,All,37,76.5,-51.6
2020,2,2020-06-07,S08000030,15 - 44,All,All,193,270,-28.5
2020,2,2020-06-07,S08000030,45 - 64,All,All,202,293,-31.1
2020,2,2020-06-07,S08000030,65 - 74,All,All,150,239.5,-37.4
2020,2,2020-06-07,S08000030,75 - 84,All,All,183,224.5,-18.5
2020,2,2020-06-07,S08000030,85 and over,All,All,143,150.5,-5
2020,2,2020-06-07,S08000030,All ages,All,All,947,1322,-28.4
2020,2,2020-06-07,S08000030,All ages,Female,All,473,661,-28.4
2020,2,2020-06-07,S08000030,All ages,Male,All,461,654,-29.5
2020,2,2020-06-07,S08000031,Under 5,All,All,181,240.5,-24.7
2020,2,2020-06-07,S08000031,5 - 14,All,All,108,165.5,-34.7
2020,2,2020-06-07,S08000031,15 - 44,All,All,674,839,-19.7
2020,2,2020-06-07,S08000031,45 - 64,All,All,778,1138.5,-31.7
2020,2,2020-06-07,S08000031,65 - 74,All,All,483,692,-30.2
2020,2,2020-06-07,S08000031,75 - 84,All,All,452,648,-30.2
2020,2,2020-06-07,S08000031,85 and over,All,All,274,377.5,-27.4
2020,2,2020-06-07,S08000031,All ages,All,All,2950,4101,-28.1
2020,2,2020-06-07,S08000031,All ages,Female,All,1441,2030,-29
2020,2,2020-06-07,S08000031,All ages,Male,All,1456,2027.5,-28.2
2020,2,2020-06-07,S08000032,Under 5,All,All,106,150.5,-29.6
2020,2,2020-06-07,S08000032,5 - 14,All,All,29,62.5,-53.6
2020,2,2020-06-07,S08000032,15 - 44,All,All,281,308.5,-8.9
2020,2,2020-06-07,S08000032,45 - 64,All,All,449,443,1.4
2020,2,2020-06-07,S08000032,65 - 74,All,All,218,292.5,-25.5
2020,2,2020-06-07,S08000032,75 - 84,All,All,211,273,-22.7
2020,2,2020-06-07,S08000032,85 and over,All,All,142,137.5,3.3
