date,hb,hb_name,daily_positive,cumulative_positive,crude_rate_positive,crude_rate7day_positive,daily_deaths,cumulative_deaths,crude_rate_deaths,daily_negative,cumulative_negative,crude_rate_negative,total_tests,positive_tests,positive_percentage,positive_percentage7day,total_pillar1,total_pillar2,hospital_admissions,icu_admissions,positive_pillar1,positive_pillar2
2020-07-29,S08000022,NHS Highland,2,386,120.30168921024747,0.6233248145608676,0,65,20.2580564732282,178,14102,4395.0632674686785,988,2,0.20242914979757085,0.04945598417408506,196,792,NA,NA,0,2
2020-07-29,S08000024,NHS Lothian,6,3197,350.3600039452487,1.8630341154423609,0,490,53.699218621573934,482,39752,4356.431303356749,2058,8,0.3887269193391642,0.19709056780854056,531,1527,NA,NA,1,7
2020-07-29,S08000025,NHS Orkney,0,9,40.17857142857143,0,0,1,4.464285714285714,23,940,4196.428571428571,125,0,0,0,31,94,NA,NA,0,0
2020-07-29,S08000026,NHS Shetland,0,54,236.1171840839528,0,0,5,21.862702229995627,26,1519,6641.888937472671,90,0,0,0,23,67,NA,NA,0,0
2020-07-29,S08000028,NHS Western Isles,0,7,26.41509433962264,0,0,0,0,9,1199,4524.528301886792,77,0,0,0,14,63,NA,NA,0,0
2020-07-29,S08000029,NHS Fife,2,947,253.1205730628391,1.336433859888274,0,126,33.67813326918451,218,16425,4390.185229732981,1140,4,0.3508771929824561,0.17338534893801474,246,894,NA,NA,0,4
2020-07-29,S08000030,NHS Tayside,2,1791,429.96038890889446,1.2003360941063497,0,208,49.933981514824154,200,20447,4908.654423238507,1393,4,0.2871500358937545,0.17702248185519562,204,1189,NA,NA,0,4
2020-07-29,S08000031,NHS Greater Glasgow and Clyde,6,4987,420.7586649117478,3.543586109142452,0,751,63.362694475380515,602,58104,4902.298268705073,3385,8,0.2363367799113737,0.3003870371440125,1097,2288,NA,NA,3,5
2020-07-29,S08000032,NHS Lanarkshire,3,2787,421.0224182730074,2.1149314157955166,0,361,54.53501722158439,307,31387,4741.525167683848,2099,3,0.14292520247737017,0.14606155451225877,682,1417,NA,NA,0,3
2020-07-29,S92000003,Scotland,28,18643,341.0720819612148,1.9575557994877424,0,2549,46.63373582144164,2828,258204,4723.819978046103,15845,38,0.23982328810350267,0.1817047704282266,4290,11555,3,0,4,34
2020-07-30,S08000015,NHS Ayrshire and Arran,1,1284,348.922525068616,0.8152395445528412,0,175,47.55564009891573,152,17433,4737.35699339656,899,1,0.11123470522803114,0.07833920877399138,304,595,NA,NA,0,1
2020-07-30,S08000016,NHS Borders,0,340,295.03644567858385,0,0,39,33.842415827837556,76,5757,4995.66122874002,319,0,0,0,122,197,NA,NA,0,0
2020-07-30,S08000017,NHS Dumfries and Galloway,0,306,206.35241756018613,2.023062917256727,0,40,26.97417223008969,73,8438,5690.20163193742,406,0,0,0.1842468908337172,128,278,NA,NA,0,0
2020-07-30,S08000019,NHS Forth Valley,0,1096,358.2518876867257,1.9612329617886444,0,135,44.1277416402445,123,14214,4646.160886477298,956,0,0,0.14528850145288502,373,583,NA,NA,0,0
2020-07-30,S08000020,NHS Grampian,6,1459,249.16744940654084,2.0493553069763473,0,153,26.129280163948422,286,29197,4986.252241482367,1171,7,0.5977796754910333,0.1830065359477124,412,759,NA,NA,1,6
2020-07-30,S08000022,NHS Highland,0,386,120.30168921024747,0.6233248145608676,0,65,20.2580564732282,156,14258,4443.682603004426,811,0,0,0.04866180048661801,228,583,NA,NA,0,0
2020-07-30,S08000024,NHS Lothian,5,3202,350.90795515567294,2.0822145996120507,0,490,53.699218621573934,469,40221,4407.829126894541,1987,5,0.25163563160543534,0.21363551922719673,613,1374,NA,NA,1,4
2020-07-30,S08000025,NHS Orkney,0,9,40.17857142857143,0,0,1,4.464285714285714,3,943,4209.821428571428,15,0,0,0,15,0,NA,NA,0,0
2020-07-30,S08000026,NHS Shetland,0,54,236.1171840839528,0,0,5,21.862702229995627,19,1538,6724.967205946656,32,0,0,0,16,16,NA,NA,0,0
2020-07-30,S08000028,NHS Western Isles,0,7,26.41509433962264,0,0,0,0,9,1208,4558.490566037736,116,0,0,0,14,102,NA,NA,0,0
2020-07-30,S08000029,NHS Fife,3,950,253.92243337877207,1.871007403843584,0,126,33.67813326918451,154,16579,4431.347392617539,886,3,0.33860045146726864,0.20920502092050208,187,699,NA,NA,0,3
2020-07-30,S08000030,NHS Tayside,5,1796,431.1607250030008,2.1606049693914295,0,208,49.933981514824154,225,20672,4962.669547473292,1082,5,0.4621072088724584,0.2278303540133193,270,812,NA,NA,0,5
2020-12-23,S08000025,NHS Orkney,0,37,165.17857142857144,0,0,2,8.928571428571429,3,2615,11674.107142857143,90,0,0,0,26,64,NA,NA,0,0
2020-07-30,S08000031,NHS Greater Glasgow and Clyde,6,4993,421.26489149876824,3.290472815632277,0,751,63.362694475380515,636,58740,4955.95828692923,3141,9,0.28653295128939826,0.2935082872928177,1093,2048,NA,NA,0,9
2020-07-30,S08000032,NHS Lanarkshire,1,2788,421.1734848027071,1.6617318266964771,0,361,54.53501722158439,308,31695,4788.05365883135,1594,2,0.12547051442910914,0.1272129757235238,710,884,NA,NA,1,1
2020-07-30,S92000003,Scotland,27,18670,341.5660446395902,2.030735455543359,0,2549,46.63373582144164,2689,260893,4773.015001829492,13415,32,0.23853894893775623,0.18837966576065016,4485,8930,4,0,3,29
2020-07-31,S08000015,NHS Ayrshire and Arran,0,1284,348.922525068616,0.8152395445528412,0,175,47.55564009891573,168,17601,4783.010407891518,787,0,0,0.07695267410542517,324,463,NA,NA,0,0
2020-07-31,S08000016,NHS Borders,0,340,295.03644567858385,0,0,39,33.842415827837556,44,5801,5033.842415827838,227,0,0,0,72,155,NA,NA,0,0
2020-07-31,S08000017,NHS Dumfries and Galloway,1,307,207.02677186593831,2.697417223008969,0,40,26.97417223008969,77,8515,5742.126913480342,247,2,0.8097165991902834,0.27726432532347506,108,139,NA,NA,1,1
2020-07-31,S08000019,NHS Forth Valley,0,1096,358.2518876867257,1.9612329617886444,0,135,44.1277416402445,119,14333,4685.058673552773,716,0,0,0.1407318053880177,313,403,NA,NA,0,0
2020-07-31,S08000020,NHS Grampian,12,1471,251.2168047135172,4.0987106139526945,0,153,26.129280163948422,321,29518,5041.072495943984,1051,12,1.141769743101808,0.3400915631131458,319,732,NA,NA,0,12
2020-07-31,S08000022,NHS Highland,0,386,120.30168921024747,0.6233248145608676,0,65,20.2580564732282,172,14430,4497.28853705666,468,0,0,0.04934616333580063,237,231,NA,NA,0,0
2020-07-31,S08000024,NHS Lothian,1,3203,351.0175453977578,2.191804841696895,0,490,53.699218621573934,346,40567,4445.747350655897,1287,1,0.0777000777000777,0.21521474688874337,460,827,NA,NA,0,1
2020-07-31,S08000025,NHS Orkney,0,9,40.17857142857143,0,0,1,4.464285714285714,7,950,4241.071428571428,18,0,0,0,17,1,NA,NA,0,0
2020-07-31,S08000026,NHS Shetland,0,54,236.1171840839528,0,0,5,21.862702229995627,32,1570,6864.888500218627,50,0,0,0,30,20,NA,NA,0,0
2020-07-31,S08000028,NHS Western Isles,0,7,26.41509433962264,0,0,0,0,5,1213,4577.358490566038,11,0,0,0,11,0,NA,NA,0,0
2020-07-31,S08000029,NHS Fife,0,950,253.92243337877207,1.871007403843584,0,126,33.67813326918451,174,16753,4477.855290941651,562,1,0.1779359430604982,0.22812111157196183,200,362,NA,NA,1,0
2020-07-31,S08000030,NHS Tayside,0,1796,431.1607250030008,2.1606049693914295,0,208,49.933981514824154,222,20894,5015.964470051614,994,0,0,0.207648382073023,530,464,NA,NA,0,0
2020-08-01,S08000032,NHS Lanarkshire,0,2789,421.3245513324068,0.9063991781980784,0,361,54.53501722158439,167,32122,4852.559067013112,515,1,0.1941747572815534,0.08786381109280615,282,233,NA,NA,0,1
2020-07-31,S08000031,NHS Greater Glasgow and Clyde,6,4999,421.7711180857885,3.290472815632277,0,751,63.362694475380515,579,59319,5004.809152576693,2165,6,0.27713625866050806,0.28287726590462997,871,1294,NA,NA,0,6
2020-07-31,S08000032,NHS Lanarkshire,1,2789,421.3245513324068,1.0574657078977583,0,361,54.53501722158439,260,31955,4827.330956553266,1160,1,0.08620689655172414,0.08713647750789674,488,672,NA,NA,0,1
2020-07-31,S92000003,Scotland,21,18691,341.95023783388217,2.2136845956824005,0,2549,46.63373582144164,2526,263419,4819.227954628614,9743,23,0.23606691983988504,0.19933465325198324,3980,5763,5,0,2,21
2020-08-01,S08000015,NHS Ayrshire and Arran,0,1284,348.922525068616,0.5434930297018941,0,175,47.55564009891573,105,17706,4811.543791950869,335,0,0,0.05741626794258373,219,116,NA,NA,0,0
2020-08-01,S08000016,NHS Borders,0,340,295.03644567858385,0,0,39,33.842415827837556,27,5828,5057.271780631725,75,0,0,0,57,18,NA,NA,0,0
2020-08-01,S08000017,NHS Dumfries and Galloway,0,307,207.02677186593831,2.697417223008969,0,40,26.97417223008969,78,8593,5794.726549329018,153,0,0,0.27384755819260614,107,46,NA,NA,0,0
2020-08-01,S08000019,NHS Forth Valley,0,1096,358.2518876867257,1.9612329617886444,0,135,44.1277416402445,60,14393,4704.67100317066,225,0,0,0.1423342822285482,145,80,NA,NA,0,0
2020-08-01,S08000020,NHS Grampian,12,1483,253.26616002049352,6.148065920929041,0,153,26.129280163948422,332,29850,5097.771326103663,679,12,1.7673048600883652,0.48303038006864113,338,341,NA,NA,2,10
2020-08-01,S08000022,NHS Highland,0,386,120.30168921024747,0.6233248145608676,0,65,20.2580564732282,93,14523,4526.27314093374,219,0,0,0.04891171435558816,143,76,NA,NA,0,0
2020-08-01,S08000024,NHS Lothian,3,3206,351.34631612401233,2.5205755679514295,0,490,53.699218621573934,204,40771,4468.103760041206,653,3,0.45941807044410415,0.24217585692995527,370,283,NA,NA,0,3
2020-08-01,S08000025,NHS Orkney,0,9,40.17857142857143,0,0,1,4.464285714285714,0,950,4241.071428571428,2,0,0,0,2,0,NA,NA,0,0
2020-08-01,S08000026,NHS Shetland,0,54,236.1171840839528,0,0,5,21.862702229995627,4,1574,6882.378662002624,11,0,0,0,11,0,NA,NA,0,0
2020-08-01,S08000028,NHS Western Isles,0,7,26.41509433962264,0,0,0,0,10,1223,4615.094339622641,14,0,0,0,11,3,NA,NA,0,0
2020-08-01,S08000029,NHS Fife,0,950,253.92243337877207,1.871007403843584,0,126,33.67813326918451,82,16835,4499.772806243819,275,0,0,0.2285002077274616,148,127,NA,NA,0,0
2020-08-01,S08000030,NHS Tayside,1,1797,431.4007922218221,2.4006721882126993,0,208,49.933981514824154,115,21009,5043.572200216061,324,1,0.30864197530864196,0.2237521514629948,192,132,NA,NA,0,1
2020-08-01,S08000031,NHS Greater Glasgow and Clyde,6,5005,422.2773446728089,3.7123283048159026,0,751,63.362694475380515,403,59722,5038.810705004894,1394,9,0.6456241032998565,0.3134796238244514,667,727,NA,NA,2,7
2020-08-01,S92000003,Scotland,22,18713,342.35272594218804,2.561287961946579,0,2549,46.63373582144164,1680,265099,4849.963410171972,4874,26,0.5334427574887156,0.2261232572453103,2692,2182,2,0,4,22
2020-08-02,S08000015,NHS Ayrshire and Arran,0,1284,348.922525068616,0.5434930297018941,0,175,47.55564009891573,116,17822,4843.066387673578,367,0,0,0.0576036866359447,212,155,NA,NA,0,0
2020-08-02,S08000016,NHS Borders,0,340,295.03644567858385,0,0,39,33.842415827837556,30,5858,5083.3044081916005,90,0,0,0,65,25,NA,NA,0,0
2020-08-02,S08000017,NHS Dumfries and Galloway,0,307,207.02677186593831,2.697417223008969,0,40,26.97417223008969,76,8669,5845.977476566188,171,0,0,0.27100271002710025,120,51,NA,NA,0,0
