year,quarter,week_ending,hb,simd_quintile,number_attendances,average20182019,percent_variation
2020,1,2020-02-16,S08000016,1,38,43,-11.6
2020,1,2020-02-16,S08000016,2,86,99,-13.1
2020,1,2020-02-16,S08000016,3,187,170,10
2020,1,2020-02-16,S08000016,4,170,174.5,-2.6
2020,1,2020-02-16,S08000016,5,60,37,62.2
2020,1,2020-02-16,S08000017,1,127,132.5,-4.2
2020,1,2020-02-16,S08000017,2,295,287,2.8
2020,1,2020-02-16,S08000017,3,264,271,-2.6
2020,1,2020-02-16,S08000017,4,96,97.5,-1.5
2020,1,2020-02-16,S08000017,5,65,62,4.8
2020,1,2020-02-16,S08000019,1,267,251.5,6.2
2020,1,2020-02-16,S08000019,2,341,336,1.5
2020,1,2020-02-16,S08000019,3,217,211,2.8
2020,1,2020-02-16,S08000019,4,200,181,10.5
2020,1,2020-02-16,S08000019,5,167,158,5.7
2020,1,2020-02-16,S08000020,1,109,126,-13.5
2020,1,2020-02-16,S08000020,2,354,363,-2.5
2020,1,2020-02-16,S08000020,3,340,345,-1.4
2020,1,2020-02-16,S08000020,4,449,490.5,-8.5
2020,1,2020-02-16,S08000020,5,517,507,2
2020,1,2020-02-16,S08000022,1,114,123,-7.3
2020,1,2020-02-16,S08000022,2,222,213.5,4
2020,1,2020-02-16,S08000022,3,272,318,-14.5
2020,1,2020-02-16,S08000022,4,290,300,-3.3
2020,1,2020-02-16,S08000022,5,98,93.5,4.8
2020,1,2020-02-16,S08000024,1,759,804,-5.6
2020,1,2020-02-16,S08000024,2,931,1056,-11.8
2020,1,2020-02-16,S08000024,3,703,757,-7.1
2020,1,2020-02-16,S08000024,4,630,686,-8.2
2020,1,2020-02-16,S08000024,5,814,859.5,-5.3
2020,1,2020-02-16,S08000025,2,28,21.5,30.2
2020,1,2020-02-16,S08000025,3,37,35.5,4.2
2020,1,2020-02-16,S08000025,4,50,47.5,5.3
2020,1,2020-02-16,S08000025,5,6,10,-40
2020,1,2020-02-16,S08000026,2,7,6,16.7
2020,1,2020-02-16,S08000026,3,42,38.5,9.1
2020,1,2020-02-16,S08000026,4,97,90,7.8
2020,1,2020-02-16,S08000028,2,25,28,-10.7
2020,1,2020-02-16,S08000028,3,73,77,-5.2
2020,1,2020-02-16,S08000028,4,12,12,0
2020,1,2020-02-16,S08000029,1,398,405,-1.7
2020,1,2020-02-16,S08000029,2,300,309.5,-3.1
2020,1,2020-02-16,S08000029,3,231,239,-3.3
2020,1,2020-02-16,S08000029,4,116,140,-17.1
2020,1,2020-02-16,S08000029,5,135,139.5,-3.2
2020,1,2020-02-16,S08000030,1,321,316,1.6
2020,1,2020-02-16,S08000030,2,209,260.5,-19.8
2020,1,2020-02-16,S08000030,3,243,259,-6.2
2020,1,2020-02-16,S08000030,4,299,340.5,-12.2
2020,1,2020-02-16,S08000030,5,179,231.5,-22.7
2020,1,2020-02-16,S08000031,1,2940,3129,-6
2020,1,2020-02-16,S08000031,2,1150,1240.5,-7.3
2020,1,2020-02-16,S08000031,3,754,857.5,-12.1
2020,1,2020-02-16,S08000031,4,731,749.5,-2.5
2020,1,2020-02-16,S08000031,5,726,808,-10.1
2020,1,2020-02-16,S08000032,1,1187,1287,-7.8
2020,1,2020-02-16,S08000032,2,985,1120,-12.1
2020,1,2020-02-16,S08000032,3,654,655.5,-0.2
2020,1,2020-02-16,S08000032,4,425,470.5,-9.7
2020,1,2020-02-16,S08000032,5,301,325,-7.4
2020,1,2020-02-16,S92000003,1,6932,7434,-6.8
2020,1,2020-02-16,S92000003,2,5390,5862.5,-8.1
2020,1,2020-02-16,S92000003,3,4299,4520.5,-4.9
