year,quarter,week_ending,hscp,age_group,sex,number_attendances,average20182019,percent_variation
2020,4,2020-10-18,S37000005,45 - 64,All,75,102.5,-26.8
2020,4,2020-10-18,S37000005,65 - 74,All,46,41.5,10.8
2020,4,2020-10-18,S37000005,75 - 84,All,37,49,-24.5
2020,4,2020-10-18,S37000005,85 and over,All,21,29.5,-28.8
2020,4,2020-10-18,S37000005,All ages,All,329,443.5,-25.8
2020,4,2020-10-18,S37000005,All ages,Female,146,207,-29.5
2020,4,2020-10-18,S37000005,All ages,Male,183,233,-21.5
2020,4,2020-10-18,S37000006,Under 5,All,41,81.5,-49.7
2020,4,2020-10-18,S37000006,5 - 14,All,54,67.5,-20
2020,4,2020-10-18,S37000006,15 - 44,All,209,300.5,-30.4
2020,4,2020-10-18,S37000006,45 - 64,All,161,184.5,-12.7
2020,4,2020-10-18,S37000006,65 - 74,All,82,105.5,-22.3
2020,4,2020-10-18,S37000006,75 - 84,All,98,90.5,8.3
2020,4,2020-10-18,S37000006,85 and over,All,46,51.5,-10.7
2020,4,2020-10-18,S37000006,All ages,All,691,882.5,-21.7
2020,4,2020-10-18,S37000006,All ages,Female,357,414.5,-13.9
2020,4,2020-10-18,S37000006,All ages,Male,334,467,-28.5
2020,4,2020-10-18,S37000007,Under 5,All,25,48.5,-48.5
2020,4,2020-10-18,S37000007,5 - 14,All,37,41,-9.8
2020,4,2020-10-18,S37000007,15 - 44,All,205,252,-18.7
2020,4,2020-10-18,S37000007,45 - 64,All,109,115,-5.2
2020,4,2020-10-18,S37000007,65 - 74,All,21,40,-47.5
2020,4,2020-10-18,S37000007,75 - 84,All,33,37.5,-12
2020,4,2020-10-18,S37000007,85 and over,All,26,20.5,26.8
2020,4,2020-10-18,S37000007,All ages,All,466,561,-16.9
2020,4,2020-10-18,S37000007,All ages,Female,210,255,-17.6
2020,4,2020-10-18,S37000007,All ages,Male,246,299.5,-17.9
2020,4,2020-10-18,S37000008,Under 5,All,49,77.5,-36.8
2020,4,2020-10-18,S37000008,5 - 14,All,53,51.5,2.9
2020,4,2020-10-18,S37000008,15 - 44,All,194,252,-23
2020,4,2020-10-18,S37000008,45 - 64,All,120,178.5,-32.8
2020,4,2020-10-18,S37000008,65 - 74,All,61,74.5,-18.1
2020,4,2020-10-18,S37000008,75 - 84,All,50,50,0
2020,4,2020-10-18,S37000008,85 and over,All,25,22.5,11.1
2020,4,2020-10-18,S37000008,All ages,All,560,708.5,-21
2020,4,2020-10-18,S37000008,All ages,Female,279,340.5,-18.1
2020,4,2020-10-18,S37000008,All ages,Male,273,366,-25.4
2020,4,2020-10-18,S37000009,Under 5,All,26,51.5,-49.5
2020,4,2020-10-18,S37000009,5 - 14,All,31,35,-11.4
2020,4,2020-10-18,S37000009,15 - 44,All,92,100,-8
2020,4,2020-10-18,S37000009,45 - 64,All,63,69.5,-9.4
2020,4,2020-10-18,S37000009,65 - 74,All,33,36.5,-9.6
2020,4,2020-10-18,S37000009,75 - 84,All,37,36.5,1.4
2020,4,2020-10-18,S37000009,85 and over,All,25,28.5,-12.3
2020,4,2020-10-18,S37000009,All ages,All,312,357.5,-12.7
2020,4,2020-10-18,S37000009,All ages,Female,147,160.5,-8.4
2020,4,2020-10-18,S37000009,All ages,Male,160,197,-18.8
2020,4,2020-10-18,S37000010,Under 5,All,45,62,-27.4
2020,4,2020-10-18,S37000010,5 - 14,All,45,46,-2.2
2020,4,2020-10-18,S37000010,15 - 44,All,100,127.5,-21.6
2020,4,2020-10-18,S37000010,45 - 64,All,76,82.5,-7.9
2020,4,2020-10-18,S37000010,65 - 74,All,35,40,-12.5
2020,4,2020-10-18,S37000010,75 - 84,All,34,28,21.4
2020,4,2020-10-18,S37000010,85 and over,All,22,26.5,-17
2020,4,2020-10-18,S37000010,All ages,All,364,418.5,-13
2020,4,2020-10-18,S37000010,All ages,Female,185,201,-8
2020,4,2020-10-18,S37000010,All ages,Male,172,211.5,-18.7
2020,4,2020-10-18,S37000011,Under 5,All,20,51,-60.8
2020,4,2020-10-18,S37000011,5 - 14,All,25,24.5,2
2020,4,2020-10-18,S37000011,15 - 44,All,85,97.5,-12.8
2020,4,2020-10-18,S37000011,45 - 64,All,73,83,-12
2020,4,2020-10-18,S37000011,65 - 74,All,36,43,-16.3
2020,4,2020-10-18,S37000011,75 - 84,All,19,35,-45.7
2020,4,2020-10-18,S37000011,85 and over,All,17,26,-34.6
2020,4,2020-10-18,S37000011,All ages,All,278,361,-23
2020,4,2020-10-18,S37000011,All ages,Female,142,175,-18.9
2020,4,2020-10-18,S37000011,All ages,Male,133,185,-28.1
2020,4,2020-10-18,S37000012,Under 5,All,247,354.5,-30.3
2020,4,2020-10-18,S37000012,5 - 14,All,225,189,19
2020,4,2020-10-18,S37000012,15 - 44,All,589,699,-15.7
2020,4,2020-10-18,S37000012,45 - 64,All,308,371,-17
2020,4,2020-10-18,S37000012,65 - 74,All,110,137.5,-20
2020,4,2020-10-18,S37000012,75 - 84,All,131,138,-5.1
2020,4,2020-10-18,S37000012,85 and over,All,85,104,-18.3
2020,4,2020-10-18,S37000012,All ages,All,1760,2077,-15.3
2020,4,2020-10-18,S37000012,All ages,Female,822,989,-16.9
2020,4,2020-10-18,S37000012,All ages,Male,873,1004,-13
2020,4,2020-10-18,S37000013,Under 5,All,21,54,-61.1
2020,4,2020-10-18,S37000013,5 - 14,All,23,44,-47.7
2020,4,2020-10-18,S37000013,15 - 44,All,151,279,-45.9
2020,4,2020-10-18,S37000013,45 - 64,All,130,180.5,-28
2020,4,2020-10-18,S37000013,65 - 74,All,61,73,-16.4
2020,4,2020-10-18,S37000013,75 - 84,All,60,78,-23.1
2020,4,2020-10-18,S37000013,85 and over,All,32,35.5,-9.9
2020,4,2020-10-18,S37000013,All ages,All,484,748,-35.3
2020,4,2020-10-18,S37000013,All ages,Female,232,357,-35
2020,4,2020-10-18,S37000013,All ages,Male,246,387,-36.4
2020,4,2020-10-18,S37000016,Under 5,All,35,53,-34
2020,4,2020-10-18,S37000016,5 - 14,All,53,61,-13.1
2020,4,2020-10-18,S37000016,15 - 44,All,257,306.5,-16.2
2020,4,2020-10-18,S37000016,45 - 64,All,169,212.5,-20.5
