year,quarter,week_ending,hscp,simd_quintile,sas_incidents,average20182019,percent_variation
2020,1,2020-01-12,S37000011,5,74,68.5,8
2020,1,2020-01-12,S37000012,1,187,199,-6
2020,1,2020-01-12,S37000012,2,159,155.5,2.3
2020,1,2020-01-12,S37000012,3,107,106,0.9
2020,1,2020-01-12,S37000012,4,121,125.5,-3.6
2020,1,2020-01-12,S37000012,5,211,211.5,-0.2
2020,1,2020-01-12,S37000013,1,55,67.5,-18.5
2020,1,2020-01-12,S37000013,2,120,111,8.1
2020,1,2020-01-12,S37000013,3,46,55.5,-17.1
2020,1,2020-01-12,S37000013,4,43,47,-8.5
2020,1,2020-01-12,S37000013,5,49,35,40
2020,1,2020-01-12,S37000016,1,69,56,23.2
2020,1,2020-01-12,S37000016,2,113,113.5,-0.4
2020,1,2020-01-12,S37000016,3,173,137.5,25.8
2020,1,2020-01-12,S37000016,4,154,128.5,19.8
2020,1,2020-01-12,S37000016,5,34,32,6.2
2020,1,2020-01-12,S37000017,1,89,111.5,-20.2
2020,1,2020-01-12,S37000017,2,20,26.5,-24.5
2020,1,2020-01-12,S37000017,3,32,20.5,56.1
2020,1,2020-01-12,S37000017,4,22,20,10
2020,1,2020-01-12,S37000017,5,14,6,133.3
2020,1,2020-01-12,S37000018,1,20,22,-9.1
2020,1,2020-01-12,S37000018,2,69,79.5,-13.2
2020,1,2020-01-12,S37000018,3,40,37.5,6.7
2020,1,2020-01-12,S37000018,4,20,26,-23.1
2020,1,2020-01-12,S37000018,5,15,12,25
2020,1,2020-01-12,S37000019,2,43,31.5,36.5
2020,1,2020-01-12,S37000019,3,54,52,3.8
2020,1,2020-01-12,S37000019,4,61,61,0
2020,1,2020-01-12,S37000019,5,17,27,-37
2020,1,2020-01-12,S37000020,1,201,203,-1
2020,1,2020-01-12,S37000020,2,83,85.5,-2.9
2020,1,2020-01-12,S37000020,3,29,52.5,-44.8
2020,1,2020-01-12,S37000020,4,37,41,-9.8
2020,1,2020-01-12,S37000020,5,13,21,-38.1
2020,1,2020-01-12,S37000022,2,5,8,-37.5
2020,1,2020-01-12,S37000022,3,20,15.5,29
2020,1,2020-01-12,S37000022,4,21,18,16.7
2020,1,2020-01-12,S37000024,1,148,141,5
2020,1,2020-01-12,S37000024,2,66,74.5,-11.4
2020,1,2020-01-12,S37000024,3,59,60.5,-2.5
2020,1,2020-01-12,S37000024,4,40,42.5,-5.9
2020,1,2020-01-12,S37000024,5,31,37.5,-17.3
2020,1,2020-01-12,S37000025,1,20,16.5,21.2
2020,1,2020-01-12,S37000025,2,69,74.5,-7.4
2020,1,2020-01-12,S37000025,3,95,95,0
2020,1,2020-01-12,S37000025,4,69,82.5,-16.4
2020,1,2020-01-12,S37000025,5,17,16.5,3
2020,1,2020-01-12,S37000026,3,7,15.5,-54.8
2020,1,2020-01-12,S37000026,4,23,26,-11.5
2020,1,2020-01-12,S37000027,1,104,86,20.9
2020,1,2020-01-12,S37000027,2,59,90,-34.4
2020,1,2020-01-12,S37000027,3,43,51.5,-16.5
2020,1,2020-01-12,S37000027,4,27,36.5,-26
2020,1,2020-01-12,S37000027,5,46,41.5,10.8
2020,1,2020-01-12,S37000028,1,202,198.5,1.8
2020,1,2020-01-12,S37000028,2,176,217.5,-19.1
2020,1,2020-01-12,S37000028,3,133,128,3.9
2020,1,2020-01-12,S37000028,4,75,102,-26.5
2020,1,2020-01-12,S37000028,5,62,68,-8.8
2020,1,2020-01-12,S37000029,1,120,118,1.7
2020,1,2020-01-12,S37000029,2,57,72.5,-21.4
2020,1,2020-01-12,S37000029,3,28,28.5,-1.8
2020,1,2020-01-12,S37000029,4,15,18.5,-18.9
2020,1,2020-01-12,S37000030,1,63,94.5,-33.3
2020,1,2020-01-12,S37000030,2,125,118,5.9
2020,1,2020-01-12,S37000030,3,79,69.5,13.7
2020,1,2020-01-12,S37000030,4,43,40.5,6.2
2020,1,2020-01-12,S37000030,5,32,26,23.1
2020,1,2020-01-12,S37000031,2,22,21,4.8
2020,1,2020-01-12,S37000031,3,61,55.5,9.9
2020,1,2020-01-12,S37000032,1,214,229.5,-6.8
2020,1,2020-01-12,S37000032,2,204,185.5,10
2020,1,2020-01-12,S37000032,3,157,168,-6.5
2020,1,2020-01-12,S37000032,4,105,119.5,-12.1
2020,1,2020-01-12,S37000032,5,94,117,-19.7
2020,1,2020-01-12,S37000033,1,23,25,-8
2020,1,2020-01-12,S37000033,2,54,42.5,27.1
2020,1,2020-01-12,S37000033,3,80,74.5,7.4
2020,1,2020-01-12,S37000033,4,111,105.5,5.2
2020,1,2020-01-12,S37000033,5,42,36,16.7
2020,1,2020-01-12,S37000034,1,745,885,-15.8
2020,1,2020-01-12,S37000034,2,206,196.5,4.8
2020,1,2020-01-12,S37000034,3,99,133,-25.6
2020,1,2020-01-12,S37000034,4,88,79.5,10.7
2020,1,2020-01-12,S37000034,5,56,72.5,-22.8
2020,1,2020-01-12,S37000035,1,330,301.5,9.5
2020,1,2020-01-12,S37000035,2,237,238,-0.4
2020,1,2020-01-12,S37000035,3,119,112,6.2
2020,1,2020-01-12,S37000035,4,55,56.5,-2.7
2020,1,2020-01-12,S37000035,5,26,30,-13.3
2020,1,2020-01-19,S37000001,1,63,52.5,20
2020,1,2020-01-19,S37000001,2,108,108.5,-0.5
2020,1,2020-01-19,S37000001,3,81,76.5,5.9
2020,1,2020-01-19,S37000001,4,74,63,17.5
2020,1,2020-01-19,S37000001,5,126,121,4.1
2020,1,2020-01-19,S37000002,1,21,13,61.5
2020,1,2020-01-19,S37000002,2,56,52,7.7
2020,1,2020-01-19,S37000002,3,108,100.5,7.5
2020,1,2020-01-19,S37000002,4,154,150,2.7
2020,1,2020-01-19,S37000002,5,108,106,1.9
2020,1,2020-01-19,S37000003,1,21,21.5,-2.3
2020,1,2020-01-19,S37000003,2,48,48.5,-1
2020,1,2020-01-19,S37000003,3,81,73,11
2020,1,2020-01-19,S37000003,4,49,49.5,-1
2020,1,2020-01-19,S37000003,5,31,31,0
2020,1,2020-01-19,S37000004,1,16,31,-48.4
2020,1,2020-01-19,S37000004,2,60,63.5,-5.5
2020,1,2020-01-19,S37000004,3,85,98.5,-13.7
2020,1,2020-01-19,S37000004,4,34,55,-38.2
2020,1,2020-01-19,S37000004,5,12,11.5,4.3
2020,1,2020-01-19,S37000005,1,74,68,8.8
2020,1,2020-01-19,S37000005,2,59,74.5,-20.8
2020,1,2020-01-19,S37000005,3,51,54,-5.6
2020,1,2020-01-19,S37000005,4,64,51,25.5
2020,1,2020-01-19,S37000005,5,43,44,-2.3
2020,1,2020-01-19,S37000006,1,35,44.5,-21.3
2020,1,2020-01-19,S37000006,2,98,119.5,-18
2020,1,2020-01-19,S37000006,3,125,111,12.6
2020,1,2020-01-19,S37000006,4,64,50.5,26.7
2020,1,2020-01-19,S37000006,5,21,23,-8.7
2020,1,2020-01-19,S37000007,1,137,150,-8.7
2020,1,2020-01-19,S37000007,2,68,75,-9.3
2020,1,2020-01-19,S37000007,3,41,34.5,18.8
2020,1,2020-01-19,S37000007,4,29,40,-27.5
2020,1,2020-01-19,S37000007,5,35,44,-20.5
2020,1,2020-01-19,S37000008,1,145,125,16
2020,1,2020-01-19,S37000008,2,84,80,5
2020,1,2020-01-19,S37000008,3,41,41,0
2020,1,2020-01-19,S37000008,4,21,24.5,-14.3
2020,1,2020-01-19,S37000008,5,27,16.5,63.6
2020,1,2020-01-19,S37000009,1,15,8.5,76.5
2020,1,2020-01-19,S37000009,2,38,43,-11.6
2020,1,2020-01-19,S37000009,3,13,11,18.2
2020,1,2020-01-19,S37000009,4,35,33.5,4.5
2020,1,2020-01-19,S37000009,5,67,67.5,-0.7
2020,1,2020-01-19,S37000010,1,8,7,14.3
2020,1,2020-01-19,S37000010,2,61,61,0
2020,1,2020-01-19,S37000010,3,37,48.5,-23.7
2020,1,2020-01-19,S37000010,4,44,46.5,-5.4
2020,1,2020-01-19,S37000010,5,23,21,9.5
2020,1,2020-01-19,S37000011,1,10,15,-33.3
2020,1,2020-01-19,S37000011,2,13,23.5,-44.7
2020,1,2020-01-19,S37000011,3,21,25.5,-17.6
2020,1,2020-01-19,S37000011,4,28,21,33.3
2020,1,2020-01-19,S37000011,5,66,66.5,-0.8
2020,1,2020-01-19,S37000012,1,208,191.5,8.6
2020,1,2020-01-19,S37000012,2,150,142,5.6
2020,1,2020-01-19,S37000012,3,99,122,-18.9
2020,1,2020-01-19,S37000012,4,133,116,14.7
2020,1,2020-01-19,S37000012,5,223,220,1.4
2020,1,2020-01-19,S37000013,1,81,65.5,23.7
2020,1,2020-01-19,S37000013,2,91,98.5,-7.6
2020,1,2020-01-19,S37000013,3,40,49.5,-19.2
2020,1,2020-01-19,S37000013,4,42,43.5,-3.4
2020,1,2020-01-19,S37000013,5,37,33.5,10.4
2020,1,2020-01-19,S37000016,1,45,59,-23.7
2020,1,2020-01-19,S37000016,2,115,129,-10.9
2020,1,2020-01-19,S37000016,3,132,144.5,-8.7
2020,1,2020-01-19,S37000016,4,142,140,1.4
2020,1,2020-01-19,S37000016,5,35,37.5,-6.7
2020,1,2020-01-19,S37000017,1,98,114,-14
2020,1,2020-01-19,S37000017,2,19,19.5,-2.6
2020,1,2020-01-19,S37000017,3,22,28.5,-22.8
2020,1,2020-01-19,S37000017,4,28,16,75
2020,1,2020-01-19,S37000017,5,18,21.5,-16.3
2020,1,2020-01-19,S37000018,1,19,26,-26.9
2020,1,2020-01-19,S37000018,2,78,74.5,4.7
2020,1,2020-01-19,S37000018,3,28,35.5,-21.1
2020,1,2020-01-19,S37000018,4,17,14.5,17.2
2020,1,2020-01-19,S37000018,5,18,14,28.6
2020,1,2020-01-19,S37000019,2,37,35.5,4.2
2020,1,2020-01-19,S37000019,3,61,50,22
2020,1,2020-01-19,S37000019,4,68,65.5,3.8
2020,1,2020-01-19,S37000019,5,33,27.5,20
2020,1,2020-01-19,S37000020,1,168,204.5,-17.8
2020,1,2020-01-19,S37000020,2,70,83.5,-16.2
2020,1,2020-01-19,S37000020,3,37,47.5,-22.1
2020,1,2020-01-19,S37000020,4,42,37.5,12
2020,1,2020-01-19,S37000020,5,21,16.5,27.3
2020,1,2020-01-19,S37000022,2,9,8.5,5.9
2020,1,2020-01-19,S37000022,3,17,17,0
2020,1,2020-01-19,S37000022,4,25,18,38.9
2020,1,2020-01-19,S37000024,1,143,147,-2.7
2020,1,2020-01-19,S37000024,2,69,70,-1.4
2020,1,2020-01-19,S37000024,3,53,51.5,2.9
2020,1,2020-01-19,S37000024,4,59,50,18
2020,1,2020-01-19,S37000024,5,30,33.5,-10.4
2020,1,2020-01-19,S37000025,1,31,22.5,37.8
2020,1,2020-01-19,S37000025,2,46,55,-16.4
2020,1,2020-01-19,S37000025,3,67,80.5,-16.8
2020,1,2020-01-19,S37000025,4,102,83,22.9
2020,1,2020-01-19,S37000025,5,13,11,18.2
2020,1,2020-01-19,S37000026,2,6,2.5,140
2020,1,2020-01-19,S37000026,3,9,20,-55
2020,1,2020-01-19,S37000026,4,21,28,-25
2020,1,2020-01-19,S37000027,1,77,75.5,2
2020,1,2020-01-19,S37000027,2,82,98,-16.3
2020,1,2020-01-19,S37000027,3,48,51,-5.9
2020,1,2020-01-19,S37000027,4,41,36.5,12.3
2020,1,2020-01-19,S37000027,5,47,44,6.8
2020,1,2020-01-19,S37000028,1,197,186.5,5.6
2020,1,2020-01-19,S37000028,2,197,210.5,-6.4
2020,1,2020-01-19,S37000028,3,129,131.5,-1.9
2020,1,2020-01-19,S37000028,4,92,93.5,-1.6
