date,ca,ca_name,daily_positive,cumulative_positive,crude_rate_positive,crude_rate7day_positive,daily_deaths,cumulative_deaths,crude_rate_deaths,daily_negative,cumulative_negative,crude_rate_negative,total_tests,positive_tests,positive_percentage,positive_percentage7day,total_pillar1,total_pillar2,positive_pillar1,positive_pillar2
2020-03-01,S12000014,Falkirk,0,0,0,NA,0,0,0,1,31,19.307424015944196,1,0,0,NA,1,0,0,0
2020-03-01,S12000017,Highland,0,0,0,NA,0,0,0,0,24,10.194112899800365,0,0,0,NA,0,0,0,0
2020-03-01,S12000018,Inverclyde,0,0,0,NA,0,0,0,2,9,11.679211004412148,3,0,0,NA,3,0,0,0
2020-03-01,S12000019,Midlothian,0,0,0,NA,0,0,0,0,10,10.735373054213634,2,0,0,NA,2,0,0,0
2020-03-01,S12000020,Moray,1,1,1.0448229025180231,NA,0,0,0,1,13,13.5826977327343,3,1,33.33333333333333,NA,3,0,1,0
2020-03-01,S12000021,North Ayrshire,0,0,0,NA,0,0,0,2,16,11.91806331471136,2,0,0,NA,2,0,0,0
2020-03-01,S12000023,Orkney Islands,0,0,0,NA,0,0,0,0,4,17.857142857142858,0,0,0,NA,0,0,0,0
2020-03-01,S12000026,Scottish Borders,0,0,0,NA,0,0,0,2,23,19.9583477959042,3,0,0,NA,3,0,0,0
2020-03-01,S12000028,South Ayrshire,0,0,0,NA,0,0,0,1,4,3.5669698591046908,1,0,0,NA,1,0,0,0
2020-03-01,S12000029,South Lanarkshire,0,0,0,NA,0,0,0,3,27,8.415934168692726,3,0,0,NA,3,0,0,0
2020-03-01,S12000030,Stirling,0,0,0,NA,0,0,0,0,21,22.32142857142857,3,0,0,NA,3,0,0,0
2020-03-01,S12000033,Aberdeen City,0,0,0,NA,0,0,0,2,31,13.53357198987165,3,0,0,NA,3,0,0,0
2020-03-01,S12000034,Aberdeenshire,0,0,0,NA,0,0,0,0,30,11.50394968939336,1,0,0,NA,1,0,0,0
2020-03-01,S12000035,Argyll and Bute,0,0,0,NA,0,0,0,0,3,3.511646962425377,1,0,0,NA,1,0,0,0
2020-03-01,S12000036,City of Edinburgh,0,0,0,NA,0,0,0,10,111,21.03786816269285,13,0,0,NA,13,0,0,0
2020-03-01,S12000038,Renfrewshire,0,0,0,NA,0,0,0,5,19,10.591448798706727,6,0,0,NA,6,0,0,0
2020-03-01,S12000039,West Dunbartonshire,0,0,0,NA,0,0,0,1,11,12.451890423364274,1,0,0,NA,1,0,0,0
2020-03-01,S12000040,West Lothian,0,0,0,NA,0,0,0,2,28,15.23229246001523,2,0,0,NA,2,0,0,0
2020-03-01,S12000041,Angus,0,1,0.8634087376964255,NA,0,0,0,2,26,22.44862718010706,3,0,0,NA,3,0,0,0
2020-03-01,S12000042,Dundee City,0,0,0,NA,0,0,0,0,17,11.423195807015183,0,0,0,NA,0,0,0,0
2020-03-01,S12000045,East Dunbartonshire,0,0,0,NA,0,0,0,2,13,11.954022988505749,2,0,0,NA,2,0,0,0
2020-03-01,S12000047,Fife,0,0,0,NA,0,0,0,1,61,16.304493090636946,2,0,0,NA,2,0,0,0
2020-03-01,S12000048,Perth and Kinross,0,0,0,NA,0,0,0,0,22,14.48225923244026,0,0,0,NA,0,0,0,0
2020-03-01,S12000049,Glasgow City,0,0,0,NA,0,0,0,9,76,11.956453338367629,12,0,0,NA,12,0,0,0
2020-03-01,S12000050,North Lanarkshire,0,0,0,NA,0,0,0,4,38,11.139121768189014,6,0,0,NA,6,0,0,0
2020-03-02,S12000005,Clackmannanshire,0,1,1.9496977968414897,NA,0,0,0,2,14,27.295769155780853,4,0,0,NA,4,0,0,0
2020-03-02,S12000006,Dumfries and Galloway,0,0,0,NA,0,0,0,11,37,24.95110931283297,13,0,0,NA,13,0,0,0
2020-03-02,S12000008,East Ayrshire,0,0,0,NA,0,0,0,0,11,9.046052631578949,1,0,0,NA,1,0,0,0
2020-03-02,S12000010,East Lothian,0,0,0,NA,0,0,0,4,15,13.901760889712696,6,0,0,NA,6,0,0,0
2020-03-02,S12000011,East Renfrewshire,0,0,0,NA,0,0,0,2,10,10.410160316468874,3,0,0,NA,3,0,0,0
2020-03-02,S12000014,Falkirk,0,0,0,NA,0,0,0,4,35,21.798704534130543,5,0,0,NA,5,0,0,0
2020-03-02,S12000017,Highland,0,0,0,NA,0,0,0,1,25,10.618867603958714,3,0,0,NA,3,0,0,0
2020-03-02,S12000018,Inverclyde,0,0,0,NA,0,0,0,1,10,12.976901116013495,4,0,0,NA,4,0,0,0
2020-03-02,S12000019,Midlothian,0,0,0,NA,0,0,0,2,12,12.88244766505636,7,0,0,NA,7,0,0,0
2020-03-02,S12000020,Moray,0,1,1.0448229025180231,NA,0,0,0,1,14,14.627520635252324,1,0,0,NA,1,0,0,0
2020-03-02,S12000021,North Ayrshire,1,1,0.74487895716946,NA,0,0,0,4,20,14.8975791433892,5,1,20,NA,5,0,1,0
2020-03-02,S12000023,Orkney Islands,0,0,0,NA,0,0,0,0,4,17.857142857142858,0,0,0,NA,0,0,0,0
2020-03-02,S12000026,Scottish Borders,0,0,0,NA,0,0,0,3,26,22.561610551891704,3,0,0,NA,3,0,0,0
2020-03-02,S12000028,South Ayrshire,0,0,0,NA,0,0,0,3,7,6.242197253433209,4,0,0,NA,4,0,0,0
2020-03-02,S12000029,South Lanarkshire,0,0,0,NA,0,0,0,14,41,12.779751885792656,19,0,0,NA,19,0,0,0
2020-03-02,S12000030,Stirling,0,0,0,NA,0,0,0,7,28,29.761904761904766,12,0,0,NA,12,0,0,0
2020-03-02,S12000033,Aberdeen City,0,0,0,NA,0,0,0,10,41,17.899240373701215,11,0,0,NA,11,0,0,0
2020-03-02,S12000034,Aberdeenshire,0,0,0,NA,0,0,0,6,36,13.804739627272031,6,0,0,NA,6,0,0,0
2020-03-02,S12000035,Argyll and Bute,0,0,0,NA,0,0,0,0,3,3.511646962425377,0,0,0,NA,0,0,0,0
2020-03-02,S12000036,City of Edinburgh,0,0,0,NA,0,0,0,27,138,26.155187445510023,32,0,0,NA,32,0,0,0
2020-03-02,S12000038,Renfrewshire,0,0,0,NA,0,0,0,9,28,15.60845086125202,12,0,0,NA,12,0,0,0
2020-03-02,S12000039,West Dunbartonshire,0,0,0,NA,0,0,0,4,15,16.97985057731492,6,0,0,NA,6,0,0,0
2020-03-02,S12000040,West Lothian,0,0,0,NA,0,0,0,4,32,17.408334240017407,5,0,0,NA,5,0,0,0
2020-03-02,S12000041,Angus,0,1,0.8634087376964255,NA,0,0,0,2,28,24.175444655499913,12,3,25,NA,12,0,3,0
2020-03-02,S12000042,Dundee City,0,0,0,NA,0,0,0,2,19,12.767101196075796,2,0,0,NA,2,0,0,0
2020-03-02,S12000045,East Dunbartonshire,0,0,0,NA,0,0,0,5,18,16.551724137931036,9,0,0,NA,9,0,0,0
2020-03-02,S12000047,Fife,0,0,0,NA,0,0,0,11,72,19.24464758239115,14,0,0,NA,14,0,0,0
2020-03-02,S12000048,Perth and Kinross,0,0,0,NA,0,0,0,1,23,15.140543743005727,5,0,0,NA,5,0,0,0
2020-03-02,S12000049,Glasgow City,0,0,0,NA,0,0,0,29,105,16.518784217481592,46,0,0,NA,46,0,0,0
2020-03-02,S12000050,North Lanarkshire,0,0,0,NA,0,0,0,9,47,13.777334818549567,13,0,0,NA,13,0,0,0
2020-03-03,S12000005,Clackmannanshire,1,2,3.8993955936829794,NA,0,0,0,3,17,33.144862546305326,4,1,25,NA,4,0,1,0
2020-03-03,S12000006,Dumfries and Galloway,0,0,0,NA,0,0,0,6,43,28.997235147346416,10,0,0,NA,10,0,0,0
2020-03-03,S12000008,East Ayrshire,0,0,0,NA,0,0,0,4,15,12.335526315789474,5,0,0,NA,5,0,0,0
2020-03-03,S12000010,East Lothian,0,0,0,NA,0,0,0,3,18,16.682113067655237,3,0,0,NA,3,0,0,0
