year,quarter,week_ending,hscp,age_group,sex,admission_type,number_admissions,average20182019,percent_variation
2020,1,2020-03-08,S37000024,Under 5,All,All,34,32,6.2
2020,1,2020-03-08,S37000025,Under 5,All,All,23,25.5,-9.8
2020,1,2020-03-08,S37000027,Under 5,All,All,22,36,-38.9
2020,1,2020-03-08,S37000028,Under 5,All,All,89,128.5,-30.7
2020,1,2020-03-08,S37000029,Under 5,All,All,21,12,75
2020,1,2020-03-08,S37000030,Under 5,All,All,50,46,8.7
2020,1,2020-03-08,S37000031,Under 5,All,All,7,4.5,55.6
2020,1,2020-03-08,S37000032,Under 5,All,All,101,75.5,33.8
2020,2,2020-06-14,S37000020,Under 5,All,All,19,34,-44.1
2020,2,2020-06-14,S37000024,Under 5,All,All,9,23.5,-61.7
2020,2,2020-06-14,S37000025,Under 5,All,All,11,21.5,-48.8
2020,1,2020-03-08,S37000033,Under 5,All,All,30,33,-9.1
2020,1,2020-03-08,S37000034,Under 5,All,All,124,107.5,15.3
2020,1,2020-03-08,S37000035,Under 5,All,All,107,125.5,-14.7
2020,1,2020-03-15,S37000001,Under 5,All,All,39,39,0
2020,1,2020-03-15,S37000002,Under 5,All,All,36,45,-20
2020,1,2020-03-15,S37000003,Under 5,All,All,16,21.5,-25.6
2020,1,2020-03-15,S37000004,Under 5,All,All,12,9.5,26.3
2020,1,2020-03-15,S37000005,Under 5,All,All,22,38,-42.1
2020,1,2020-03-15,S37000006,Under 5,All,All,36,47,-23.4
2020,1,2020-03-15,S37000007,Under 5,All,All,44,41.5,6
2020,1,2020-03-15,S37000008,Under 5,All,All,34,40.5,-16
2020,1,2020-03-15,S37000009,Under 5,All,All,25,18.5,35.1
2020,1,2020-03-15,S37000010,Under 5,All,All,8,7,14.3
2020,1,2020-03-15,S37000011,Under 5,All,All,14,11.5,21.7
2020,1,2020-03-15,S37000012,Under 5,All,All,58,53.5,8.4
2020,1,2020-03-15,S37000013,Under 5,All,All,37,61,-39.3
2020,1,2020-03-15,S37000016,Under 5,All,All,62,55,12.7
2020,1,2020-03-15,S37000018,Under 5,All,All,12,16,-25
2020,1,2020-03-15,S37000019,Under 5,All,All,11,18.5,-40.5
2020,1,2020-03-15,S37000020,Under 5,All,All,33,44,-25
2020,1,2020-03-15,S37000024,Under 5,All,All,30,30.5,-1.6
2020,1,2020-03-15,S37000025,Under 5,All,All,20,25.5,-21.6
2020,1,2020-03-15,S37000026,Under 5,All,All,5,4,25
2020,1,2020-03-15,S37000027,Under 5,All,All,27,23.5,14.9
2020,1,2020-03-15,S37000028,Under 5,All,All,95,110,-13.6
2020,1,2020-03-15,S37000029,Under 5,All,All,20,14.5,37.9
2020,1,2020-03-15,S37000030,Under 5,All,All,65,52.5,23.8
2020,1,2020-03-15,S37000031,Under 5,All,All,6,6.5,-7.7
2020,1,2020-03-15,S37000032,Under 5,All,All,75,84.5,-11.2
2020,1,2020-03-15,S37000033,Under 5,All,All,26,31.5,-17.5
2020,1,2020-03-15,S37000034,Under 5,All,All,101,117,-13.7
2020,1,2020-03-15,S37000035,Under 5,All,All,115,119.5,-3.8
2020,1,2020-03-22,S37000001,Under 5,All,All,38,45.5,-16.5
2020,1,2020-03-22,S37000002,Under 5,All,All,12,38.5,-68.8
2020,1,2020-03-22,S37000003,Under 5,All,All,16,22,-27.3
2020,1,2020-03-22,S37000005,Under 5,All,All,17,42.5,-60
2020,1,2020-03-22,S37000006,Under 5,All,All,18,39,-53.8
2020,1,2020-03-22,S37000007,Under 5,All,All,31,44.5,-30.3
2020,1,2020-03-22,S37000008,Under 5,All,All,37,39,-5.1
2020,1,2020-03-22,S37000009,Under 5,All,All,15,21.5,-30.2
2020,1,2020-03-22,S37000010,Under 5,All,All,10,12.5,-20
2020,1,2020-03-22,S37000012,Under 5,All,All,42,54.5,-22.9
2020,1,2020-03-22,S37000013,Under 5,All,All,21,70,-70
2020,1,2020-03-22,S37000016,Under 5,All,All,42,58,-27.6
2020,1,2020-03-22,S37000017,Under 5,All,All,7,9,-22.2
2020,1,2020-03-22,S37000018,Under 5,All,All,7,20.5,-65.9
2020,1,2020-03-22,S37000019,Under 5,All,All,16,21.5,-25.6
2020,1,2020-03-22,S37000020,Under 5,All,All,30,43.5,-31
2020,1,2020-03-22,S37000024,Under 5,All,All,19,34.5,-44.9
2020,1,2020-03-22,S37000025,Under 5,All,All,22,28,-21.4
2020,1,2020-03-22,S37000027,Under 5,All,All,5,25.5,-80.4
2020,1,2020-03-22,S37000028,Under 5,All,All,89,111,-19.8
2020,1,2020-03-22,S37000029,Under 5,All,All,13,15,-13.3
2020,1,2020-03-22,S37000030,Under 5,All,All,34,51,-33.3
2020,1,2020-03-22,S37000032,Under 5,All,All,68,86,-20.9
2020,1,2020-03-22,S37000033,Under 5,All,All,18,26.5,-32.1
2020,1,2020-03-22,S37000034,Under 5,All,All,103,120.5,-14.5
2020,1,2020-03-22,S37000035,Under 5,All,All,110,124,-11.3
2020,1,2020-03-29,S37000001,Under 5,All,All,32,40.5,-21
2020,1,2020-03-29,S37000002,Under 5,All,All,31,39,-20.5
2020,1,2020-03-29,S37000003,Under 5,All,All,9,23,-60.9
2020,1,2020-03-29,S37000005,Under 5,All,All,14,56,-75
2020,1,2020-03-29,S37000006,Under 5,All,All,20,40.5,-50.6
2020,1,2020-03-29,S37000007,Under 5,All,All,25,34,-26.5
2020,1,2020-03-29,S37000008,Under 5,All,All,20,35.5,-43.7
2020,1,2020-03-29,S37000009,Under 5,All,All,6,19.5,-69.2
2020,1,2020-03-29,S37000011,Under 5,All,All,15,13.5,11.1
2020,1,2020-03-29,S37000012,Under 5,All,All,33,61,-45.9
2020,1,2020-03-29,S37000013,Under 5,All,All,21,50,-58
2020,2,2020-06-21,S37000013,Under 5,All,All,22,42.5,-48.2
2020,2,2020-06-21,S37000016,Under 5,All,All,21,37,-43.2
2020,1,2020-03-29,S37000019,Under 5,All,All,13,17,-23.5
2020,1,2020-03-29,S37000020,Under 5,All,All,21,38,-44.7
2020,1,2020-03-29,S37000024,Under 5,All,All,22,26.5,-17
