year,quarter,week_ending,hscp,age_group,sex,sas_incidents,average20182019,percent_variation
2020,1,2020-01-05,S37000028,All ages,All,678,711,-4.6
2020,1,2020-01-05,S37000028,All ages,Female,362,387.5,-6.6
2020,1,2020-01-05,S37000028,All ages,Male,316,323.5,-2.3
2020,1,2020-01-05,S37000029,Under 5,All,7,6,16.7
2020,1,2020-01-05,S37000029,15 - 44,All,45,45.5,-1.1
2020,1,2020-01-05,S37000029,45 - 64,All,67,57.5,16.5
2020,1,2020-01-05,S37000029,65 - 74,All,37,40,-7.5
2020,1,2020-01-05,S37000029,75 - 84,All,42,45.5,-7.7
2020,1,2020-01-05,S37000029,85 and over,All,30,35,-14.3
2020,1,2020-01-05,S37000029,All ages,All,232,232,0
2020,1,2020-01-05,S37000029,All ages,Female,113,117.5,-3.8
2020,1,2020-01-05,S37000029,All ages,Male,119,114.5,3.9
2020,1,2020-01-05,S37000030,Under 5,All,18,13,38.5
2020,1,2020-01-05,S37000030,15 - 44,All,71,92,-22.8
2020,1,2020-01-05,S37000030,45 - 64,All,91,92,-1.1
2020,1,2020-01-05,S37000030,65 - 74,All,72,54,33.3
2020,1,2020-01-05,S37000030,75 - 84,All,78,75,4
2020,1,2020-01-05,S37000030,85 and over,All,36,36,0
2020,1,2020-01-05,S37000030,All ages,All,368,368.5,-0.1
2020,1,2020-01-05,S37000030,All ages,Female,181,191.5,-5.5
2020,1,2020-01-05,S37000030,All ages,Male,187,177,5.6
2020,1,2020-01-05,S37000031,15 - 44,All,9,4.5,100
2020,1,2020-01-05,S37000031,45 - 64,All,14,19,-26.3
2020,1,2020-01-05,S37000031,65 - 74,All,16,23.5,-31.9
2020,1,2020-01-05,S37000031,75 - 84,All,21,21,0
2020,1,2020-01-05,S37000031,85 and over,All,20,15,33.3
2020,1,2020-01-05,S37000031,All ages,All,81,85.5,-5.3
2020,1,2020-01-05,S37000031,All ages,Female,36,45,-20
2020,1,2020-01-05,S37000031,All ages,Male,45,40.5,11.1
2020,1,2020-01-05,S37000032,Under 5,All,28,33,-15.2
2020,1,2020-01-05,S37000032,5 - 14,All,15,16,-6.2
2020,1,2020-01-05,S37000032,15 - 44,All,190,187.5,1.3
2020,1,2020-01-05,S37000032,45 - 64,All,181,204,-11.3
2020,1,2020-01-05,S37000032,65 - 74,All,147,165,-10.9
2020,1,2020-01-05,S37000032,75 - 84,All,156,186,-16.1
2020,1,2020-01-05,S37000032,85 and over,All,142,134.5,5.6
2020,1,2020-01-05,S37000032,All ages,All,859,926,-7.2
2020,1,2020-01-05,S37000032,All ages,Female,438,479,-8.6
2020,1,2020-01-05,S37000032,All ages,Male,421,447,-5.8
2020,1,2020-01-05,S37000033,15 - 44,All,74,54.5,35.8
2020,1,2020-01-05,S37000033,45 - 64,All,55,56,-1.8
2020,1,2020-01-05,S37000033,65 - 74,All,47,53.5,-12.1
2020,1,2020-01-05,S37000033,75 - 84,All,76,67.5,12.6
2020,1,2020-01-05,S37000033,85 and over,All,61,81,-24.7
2020,1,2020-01-05,S37000033,All ages,All,318,323,-1.5
2020,1,2020-01-05,S37000033,All ages,Female,156,165,-5.5
2020,1,2020-01-05,S37000033,All ages,Male,162,158,2.5
2020,1,2020-01-05,S37000034,Under 5,All,37,39,-5.1
2020,1,2020-01-05,S37000034,5 - 14,All,11,15.5,-29
2020,1,2020-01-05,S37000034,15 - 44,All,313,314,-0.3
2020,1,2020-01-05,S37000034,45 - 64,All,372,370.5,0.4
2020,1,2020-01-05,S37000034,65 - 74,All,190,225.5,-15.7
2020,1,2020-01-05,S37000034,75 - 84,All,216,256,-15.6
2020,1,2020-01-05,S37000034,85 and over,All,168,172.5,-2.6
2020,1,2020-01-05,S37000034,All ages,All,1307,1393,-6.2
2020,1,2020-01-05,S37000034,All ages,Female,659,718.5,-8.3
2020,1,2020-01-05,S37000034,All ages,Male,648,674.5,-3.9
2020,1,2020-01-05,S37000035,Under 5,All,16,29,-44.8
2020,1,2020-01-05,S37000035,5 - 14,All,14,7,100
2020,1,2020-01-05,S37000035,15 - 44,All,152,153.5,-1
2020,1,2020-01-05,S37000035,45 - 64,All,188,199,-5.5
2020,1,2020-01-05,S37000035,65 - 74,All,146,144.5,1
2020,1,2020-01-05,S37000035,75 - 84,All,150,167,-10.2
2020,1,2020-01-05,S37000035,85 and over,All,75,90.5,-17.1
2020,1,2020-01-05,S37000035,All ages,All,741,790.5,-6.3
2020,1,2020-01-05,S37000035,All ages,Female,389,407.5,-4.5
2020,1,2020-01-05,S37000035,All ages,Male,352,383,-8.1
2020,1,2020-01-12,S37000001,Under 5,All,8,13.5,-40.7
2020,1,2020-01-12,S37000001,15 - 44,All,85,95,-10.5
2020,1,2020-01-12,S37000001,45 - 64,All,89,91.5,-2.7
2020,1,2020-01-12,S37000001,65 - 74,All,61,60.5,0.8
2020,1,2020-01-12,S37000001,75 - 84,All,80,89,-10.1
2020,1,2020-01-12,S37000001,85 and over,All,71,81.5,-12.9
2020,1,2020-01-12,S37000001,All ages,All,397,436,-8.9
2020,1,2020-01-12,S37000001,All ages,Female,223,238,-6.3
2020,1,2020-01-12,S37000001,All ages,Male,174,198,-12.1
2020,1,2020-01-12,S37000002,Under 5,All,17,14.5,17.2
2020,1,2020-01-12,S37000002,5 - 14,All,5,9,-44.4
2020,1,2020-01-12,S37000002,15 - 44,All,71,84.5,-16
2020,1,2020-01-12,S37000002,45 - 64,All,86,90.5,-5
2020,1,2020-01-12,S37000002,65 - 74,All,70,73.5,-4.8
2020,1,2020-01-12,S37000002,75 - 84,All,105,102.5,2.4
2020,1,2020-01-12,S37000002,85 and over,All,73,64,14.1
2020,1,2020-01-12,S37000002,All ages,All,427,438.5,-2.6
2020,1,2020-01-12,S37000002,All ages,Female,192,227.5,-15.6
2020,1,2020-01-12,S37000002,All ages,Male,235,211,11.4
2020,1,2020-01-12,S37000003,Under 5,All,10,5.5,81.8
2020,1,2020-01-12,S37000003,15 - 44,All,39,39,0
2020,1,2020-01-12,S37000003,45 - 64,All,39,40.5,-3.7
2020,1,2020-01-12,S37000003,65 - 74,All,27,42.5,-36.5
2020,1,2020-01-12,S37000003,75 - 84,All,63,50,26
2020,1,2020-01-12,S37000003,85 and over,All,42,37.5,12
2020,1,2020-01-12,S37000003,All ages,All,222,218.5,1.6
2020,1,2020-01-12,S37000003,All ages,Female,106,110,-3.6
2020,1,2020-01-12,S37000003,All ages,Male,116,108.5,6.9
2020,1,2020-01-12,S37000004,15 - 44,All,36,36,0
2020,1,2020-01-12,S37000004,45 - 64,All,52,48.5,7.2
2020,1,2020-01-12,S37000004,65 - 74,All,51,43.5,17.2
2020,1,2020-01-12,S37000004,75 - 84,All,49,52.5,-6.7
2020,1,2020-01-12,S37000004,85 and over,All,55,57,-3.5
2020,1,2020-01-12,S37000004,All ages,All,250,244.5,2.2
2020,1,2020-01-12,S37000004,All ages,Female,130,132.5,-1.9
2020,1,2020-01-12,S37000004,All ages,Male,120,112,7.1
2020,1,2020-01-12,S37000005,5 - 14,All,7,6,16.7
2020,1,2020-01-12,S37000005,15 - 44,All,56,50,12
2020,1,2020-01-12,S37000005,45 - 64,All,60,55,9.1
2020,1,2020-01-12,S37000005,65 - 74,All,46,38,21.1
2020,1,2020-01-12,S37000005,75 - 84,All,58,61,-4.9
2020,1,2020-01-12,S37000005,85 and over,All,34,41.5,-18.1
2020,1,2020-01-12,S37000005,All ages,All,265,258,2.7
2020,1,2020-01-12,S37000005,All ages,Female,125,146,-14.4
2020,1,2020-01-12,S37000005,All ages,Male,140,112,25
2020,1,2020-01-12,S37000006,Under 5,All,5,9,-44.4
2020,1,2020-01-12,S37000006,15 - 44,All,50,54.5,-8.3
2020,1,2020-01-12,S37000006,45 - 64,All,72,60.5,19
2020,1,2020-01-12,S37000006,65 - 74,All,75,70.5,6.4
2020,1,2020-01-12,S37000006,75 - 84,All,86,96.5,-10.9
2020,1,2020-01-12,S37000006,85 and over,All,65,71.5,-9.1
2020,1,2020-01-12,S37000006,All ages,All,357,367,-2.7
2020,1,2020-01-12,S37000006,All ages,Female,194,184,5.4
2020,1,2020-01-12,S37000006,All ages,Male,163,183,-10.9
2020,1,2020-01-12,S37000007,Under 5,All,8,11,-27.3
2020,1,2020-01-12,S37000007,5 - 14,All,5,8,-37.5
2020,1,2020-01-12,S37000007,15 - 44,All,90,88.5,1.7
2020,1,2020-01-12,S37000007,45 - 64,All,94,74.5,26.2
2020,1,2020-01-12,S37000007,65 - 74,All,54,54,0
2020,1,2020-01-12,S37000007,75 - 84,All,60,53.5,12.1
2020,1,2020-01-12,S37000007,85 and over,All,50,54,-7.4
2020,1,2020-01-12,S37000007,All ages,All,361,343.5,5.1
2020,1,2020-01-12,S37000007,All ages,Female,179,192,-6.8
2020,1,2020-01-12,S37000007,All ages,Male,182,151.5,20.1
2020,1,2020-01-12,S37000008,Under 5,All,11,7.5,46.7
2020,1,2020-01-12,S37000008,5 - 14,All,5,6,-16.7
2020,1,2020-01-12,S37000008,15 - 44,All,61,58,5.2
2020,1,2020-01-12,S37000008,45 - 64,All,55,75,-26.7
2020,1,2020-01-12,S37000008,65 - 74,All,38,57,-33.3
2020,1,2020-01-12,S37000008,75 - 84,All,66,71,-7
2020,1,2020-01-12,S37000008,85 and over,All,46,36,27.8
2020,1,2020-01-12,S37000008,All ages,All,282,310.5,-9.2
2020,1,2020-01-12,S37000008,All ages,Female,148,157,-5.7
2020,1,2020-01-12,S37000008,All ages,Male,134,153.5,-12.7
2020,1,2020-01-12,S37000009,Under 5,All,6,2,200
2020,1,2020-01-12,S37000009,15 - 44,All,30,25.5,17.6
2020,1,2020-01-12,S37000009,45 - 64,All,25,32,-21.9
2020,1,2020-01-12,S37000009,65 - 74,All,27,25.5,5.9
2020,1,2020-01-12,S37000009,75 - 84,All,41,47,-12.8
2020,1,2020-01-12,S37000009,85 and over,All,39,36.5,6.8
2020,1,2020-01-12,S37000009,All ages,All,169,172,-1.7
2020,1,2020-01-12,S37000009,All ages,Female,84,89.5,-6.1
2020,1,2020-01-12,S37000009,All ages,Male,85,82.5,3
2020,1,2020-01-12,S37000010,Under 5,All,8,6.5,23.1
2020,1,2020-01-12,S37000010,15 - 44,All,36,32.5,10.8
2020,1,2020-01-12,S37000010,45 - 64,All,28,43,-34.9
2020,1,2020-01-12,S37000010,65 - 74,All,24,31.5,-23.8
2020,1,2020-01-12,S37000010,75 - 84,All,43,37.5,14.7
2020,1,2020-01-12,S37000010,85 and over,All,34,28,21.4
2020,1,2020-01-12,S37000010,All ages,All,173,181.5,-4.7
2020,1,2020-01-12,S37000010,All ages,Female,97,89,9
2020,1,2020-01-12,S37000010,All ages,Male,76,92.5,-17.8
2020,1,2020-01-12,S37000011,Under 5,All,6,3.5,71.4
2020,1,2020-01-12,S37000011,15 - 44,All,27,19.5,38.5
2020,1,2020-01-12,S37000011,45 - 64,All,26,46,-43.5
2020,1,2020-01-12,S37000011,65 - 74,All,14,27.5,-49.1
2020,1,2020-01-12,S37000011,75 - 84,All,40,36.5,9.6
2020,1,2020-01-12,S37000011,85 and over,All,39,34.5,13
2020,1,2020-01-12,S37000011,All ages,All,154,169.5,-9.1
2020,1,2020-01-12,S37000011,All ages,Female,90,86,4.7
2020,1,2020-01-12,S37000011,All ages,Male,64,83.5,-23.4
2020,1,2020-01-12,S37000012,Under 5,All,24,30,-20
2020,1,2020-01-12,S37000012,5 - 14,All,18,11.5,56.5
2020,1,2020-01-12,S37000012,15 - 44,All,197,205,-3.9
2020,1,2020-01-12,S37000012,45 - 64,All,188,193,-2.6
2020,1,2020-01-12,S37000012,65 - 74,All,104,101.5,2.5
2020,1,2020-01-12,S37000012,75 - 84,All,146,130.5,11.9
2020,1,2020-01-12,S37000012,85 and over,All,118,131.5,-10.3
2020,1,2020-01-12,S37000012,All ages,All,795,803,-1
2020,1,2020-01-12,S37000012,All ages,Female,421,418.5,0.6
2020,1,2020-01-12,S37000012,All ages,Male,374,384.5,-2.7
2020,1,2020-01-12,S37000013,Under 5,All,7,9,-22.2
2020,1,2020-01-12,S37000013,15 - 44,All,68,65.5,3.8
2020,1,2020-01-12,S37000013,45 - 64,All,84,69,21.7
2020,1,2020-01-12,S37000013,65 - 74,All,46,47,-2.1
2020,1,2020-01-12,S37000013,75 - 84,All,63,69,-8.7
2020,1,2020-01-12,S37000013,85 and over,All,43,49,-12.2
2020,1,2020-01-12,S37000013,All ages,All,314,316.5,-0.8
2020,1,2020-01-12,S37000013,All ages,Female,151,150,0.7
2020,1,2020-01-12,S37000013,All ages,Male,163,166.5,-2.1
2020,1,2020-01-12,S37000016,Under 5,All,22,15.5,41.9
2020,1,2020-01-12,S37000016,5 - 14,All,5,7,-28.6
2020,1,2020-01-12,S37000016,15 - 44,All,92,89,3.4
2020,1,2020-01-12,S37000016,45 - 64,All,111,93,19.4
2020,1,2020-01-12,S37000016,65 - 74,All,94,77,22.1
2020,1,2020-01-12,S37000016,75 - 84,All,133,110.5,20.4
2020,1,2020-01-12,S37000016,85 and over,All,88,77,14.3
2020,1,2020-01-12,S37000016,All ages,All,545,469.5,16.1
2020,1,2020-01-12,S37000016,All ages,Female,292,249.5,17
2020,1,2020-01-12,S37000016,All ages,Male,253,220,15
2020,1,2020-01-12,S37000017,15 - 44,All,44,28.5,54.4
