year,quarter,week_ending,hb,simd_quintile,admission_type,number_admissions,average20182019,percent_variation
2020,1,2020-01-19,S08000016,5,All,13,11,18.2
2020,1,2020-01-19,S08000017,1,All,44,48.5,-9.3
2020,1,2020-01-19,S08000017,2,All,114,136,-16.2
2020,1,2020-01-19,S08000017,3,All,142,168,-15.5
2020,1,2020-01-19,S08000017,4,All,86,58,48.3
2020,1,2020-01-19,S08000017,5,All,31,33.5,-7.5
2020,1,2020-01-19,S08000019,1,All,178,286,-37.8
2020,1,2020-01-19,S08000019,2,All,189,327.5,-42.3
2020,1,2020-01-19,S08000019,3,All,175,263,-33.5
2020,1,2020-01-19,S08000019,4,All,142,220,-35.5
2020,1,2020-01-19,S08000019,5,All,104,190.5,-45.4
2020,1,2020-01-19,S08000020,1,All,104,117.5,-11.5
2020,1,2020-01-19,S08000020,2,All,257,256.5,0.2
2020,1,2020-01-19,S08000020,3,All,322,300,7.3
2020,1,2020-01-19,S08000020,4,All,351,386.5,-9.2
2020,1,2020-01-19,S08000020,5,All,314,292.5,7.4
2020,1,2020-01-19,S08000022,1,All,83,99,-16.2
2020,1,2020-01-19,S08000022,2,All,156,154,1.3
2020,1,2020-01-19,S08000022,3,All,272,284.5,-4.4
2020,1,2020-01-19,S08000022,4,All,197,204.5,-3.7
2020,1,2020-01-19,S08000022,5,All,50,44,13.6
2020,1,2020-01-19,S08000024,1,All,396,361,9.7
2020,1,2020-01-19,S08000024,2,All,667,514.5,29.6
2020,1,2020-01-19,S08000024,3,All,398,366.5,8.6
2020,1,2020-01-19,S08000024,4,All,405,355,14.1
2020,1,2020-01-19,S08000024,5,All,527,451,16.9
2020,1,2020-01-19,S08000025,2,All,10,8.5,17.6
2020,1,2020-01-19,S08000025,3,All,8,9.5,-15.8
2020,1,2020-01-19,S08000025,4,All,29,25,16
2020,1,2020-01-19,S08000026,3,All,10,18,-44.4
2020,1,2020-01-19,S08000026,4,All,14,27.5,-49.1
2020,1,2020-01-19,S08000028,2,All,8,14.5,-44.8
2020,1,2020-01-19,S08000028,3,All,62,59.5,4.2
2020,1,2020-01-19,S08000029,1,All,264,246,7.3
2020,1,2020-01-19,S08000029,2,All,256,224.5,14
2020,1,2020-01-19,S08000029,3,All,166,190,-12.6
2020,1,2020-01-19,S08000029,4,All,163,137.5,18.5
2020,1,2020-01-19,S08000029,5,All,125,105,19
2020,1,2020-01-19,S08000030,1,All,276,272,1.5
2020,1,2020-01-19,S08000030,2,All,263,229.5,14.6
2020,1,2020-01-19,S08000030,3,All,232,257,-9.7
2020,1,2020-01-19,S08000030,4,All,301,326.5,-7.8
2020,1,2020-01-19,S08000030,5,All,221,222.5,-0.7
2020,1,2020-01-19,S08000031,1,All,1654,1640.5,0.8
2020,1,2020-01-19,S08000031,2,All,774,836.5,-7.5
2020,1,2020-01-19,S08000031,3,All,556,568,-2.1
2020,1,2020-01-19,S08000031,4,All,518,485,6.8
2020,1,2020-01-19,S08000031,5,All,559,583.5,-4.2
2020,1,2020-01-19,S08000032,1,All,545,584.5,-6.8
2020,1,2020-01-19,S08000032,2,All,453,455.5,-0.5
2020,1,2020-01-19,S08000032,3,All,286,289,-1
2020,1,2020-01-19,S08000032,4,All,235,221.5,6.1
2020,1,2020-01-19,S08000032,5,All,136,154.5,-12
2020,1,2020-01-19,S92000003,1,All,3923,4125.5,-4.9
2020,1,2020-01-19,S92000003,2,All,3472,3506,-1
2020,1,2020-01-19,S92000003,3,All,2901,3081,-5.8
2020,1,2020-01-19,S92000003,4,All,2646,2648,-0.1
2020,1,2020-01-19,S92000003,5,All,2179,2196,-0.8
2020,1,2020-01-26,S08000015,1,All,375,436.5,-14.1
2020,1,2020-01-26,S08000015,2,All,254,268,-5.2
2020,1,2020-01-26,S08000015,3,All,172,203,-15.3
2020,1,2020-01-26,S08000015,4,All,136,147,-7.5
2020,1,2020-01-26,S08000015,5,All,100,112,-10.7
2020,1,2020-01-26,S08000016,1,All,20,17.5,14.3
2020,1,2020-01-26,S08000016,2,All,62,54,14.8
2020,1,2020-01-26,S08000016,3,All,89,97,-8.2
2020,1,2020-01-26,S08000016,4,All,61,59.5,2.5
2020,1,2020-01-26,S08000016,5,All,10,19,-47.4
2020,1,2020-01-26,S08000017,1,All,37,55,-32.7
