date,daily_cases,cumulative_cases,deaths
2021-04-04,254,219588,7660
2021-04-05,293,219881,7664
2021-04-06,356,220237,7666
2021-04-07,282,220519,7668
2021-04-08,282,220801,7670
2021-04-09,266,221067,7672
2021-04-10,227,221294,7675
2021-04-11,212,221506,7677
2021-04-12,260,221766,7677
2021-04-13,261,222027,7677
2021-04-14,212,222239,7680
2021-04-15,198,222437,7682
2021-04-16,382,222819,7683
2021-04-17,202,223021,7684
2021-04-18,178,223199,7684
2021-04-19,264,223463,7685
2021-04-20,242,223705,7686
2021-04-21,237,223942,7689
2021-04-22,231,224173,7689
2021-04-23,188,224361,7691
2021-04-24,150,224511,7691
2021-04-25,109,224620,7693
2021-04-26,195,224815,7695
2021-04-27,195,225010,7696
2021-04-28,193,225203,7697
2021-04-29,174,225377,7697
2021-04-30,172,225549,7697
2021-05-01,126,225675,7697
2021-05-02,121,225796,7698
2021-05-03,162,225958,7698
2021-05-04,196,226154,7698
2021-05-05,222,226376,7698
2021-05-06,218,226594,7698
2021-05-07,203,226797,7698
2021-05-08,185,226982,7698
2021-05-09,210,227192,7698
2021-05-10,329,227521,7698
2021-05-11,283,227804,7698
2021-05-12,298,228102,7700
2021-05-13,314,228416,7700
2021-05-14,291,228707,7700
2021-05-15,228,228935,7700
2021-05-16,231,229166,7700
2021-05-17,361,229527,7701
2021-05-18,417,229944,7701
2021-05-19,409,230353,7701
2021-05-20,381,230734,7701
2021-05-21,360,231094,7701
2021-05-22,291,231385,7702
2021-05-23,324,231709,7703
2021-05-24,496,232205,7703
2021-05-25,504,232709,7703
2021-05-26,627,233336,7704
2021-05-27,552,233888,7705
2021-05-28,549,234437,7706
2021-05-29,435,234872,7708
2021-05-30,486,235358,7709
2021-05-31,601,235959,7709
2021-06-01,773,236732,7709
2021-06-02,959,237691,7710
2021-06-03,949,238640,7712
2021-06-04,822,239462,7713
2021-06-05,606,240068,7713
2021-06-06,677,240745,7714
2021-06-07,953,241698,7715
2021-06-08,1026,242724,7715
2021-06-09,1056,243780,7717
2021-06-10,1040,244820,7719
2021-06-11,865,245685,7719
2021-06-12,706,246391,7719
2021-06-13,855,247246,7722
2021-06-14,1129,248375,7723
2021-06-15,1279,249654,7729
2021-06-16,1265,250919,7730
2021-06-17,1164,252083,7731
2021-06-18,1231,253314,7734
2021-06-19,997,254311,7736
2021-06-20,1548,255859,7739
2021-06-21,3019,258878,7741
2021-06-22,3243,262121,7745
2021-06-23,2891,265012,7746
2021-06-24,2947,267959,7748
2021-06-25,2619,270578,7749
2021-06-26,2292,272870,7757
2021-06-27,2511,275381,7760
2021-06-28,3922,279303,7763
2021-06-29,3873,283176,7766
2021-06-30,3907,287083,7767
2021-07-01,3429,290512,7769
2021-07-02,3078,293590,7771
2021-07-03,2509,296099,7775
2021-07-04,2407,298506,7781
2021-07-05,3378,301884,7786
2021-07-06,3091,304975,7799
2021-07-07,2896,307871,7804
2021-07-08,2729,310600,7816
2021-07-09,2382,312982,7823
2021-07-10,1812,314794,7831
2021-07-11,1881,316675,7837
2021-07-12,2577,319252,7844
2021-07-13,2444,321696,7853
2021-07-14,2204,323900,7861
2021-07-15,1963,325863,7868
2021-07-16,1749,327612,7873
2021-07-17,1400,329012,7880
2021-07-18,1385,330397,7888
2021-07-19,1908,332305,7897
2021-07-20,1598,333903,7903
2021-07-21,1573,335476,7911
2021-07-22,1378,336854,7920
2021-07-23,1277,338131,7927
2021-07-24,954,339085,7930
2021-07-25,942,340027,7935
2021-07-26,1372,341399,7942
2021-07-27,1353,342752,7950
2021-07-28,1286,344038,7959
2021-07-29,1171,345209,7965
2021-07-30,1034,346243,7972
2021-07-31,769,347012,7978
2021-08-01,873,347885,7988
2021-08-02,1322,349207,7995
2021-08-03,1366,350573,7998
2021-08-04,1292,351865,8004
2021-08-05,1331,353196,8011
2021-08-06,1256,354452,8018
2021-08-07,941,355393,8024
2021-08-08,1040,356433,8030
2021-08-09,1488,357921,8036
2021-08-10,1518,359439,8041
2021-08-11,1567,361006,8044
2021-08-12,1391,362397,8048
2021-08-13,1523,363920,8058
2021-08-14,1471,365391,8064
2021-08-15,1628,367019,8070
2021-08-16,2746,369765,8073
2021-08-17,3362,373127,8077
2021-08-18,3704,376831,8084
2021-08-19,3711,380542,8091
2021-08-20,3422,383964,8098
2021-08-21,3030,386994,8103
2021-08-22,3646,390640,8107
2021-08-23,5518,396158,8114
2021-08-24,5597,401755,8118
2021-08-25,6823,408578,8123
2021-08-26,7223,415801,8128
2021-08-27,6020,421821,8138
2021-08-28,4736,426557,8146
2021-08-29,4431,430988,8154
2021-08-30,6519,437507,8160
2021-08-31,6957,444464,8170
2021-09-01,7491,451955,8178
2021-09-02,7526,459481,8189
2021-09-03,6130,465611,8200
2021-09-04,4986,470597,8210
2021-09-05,4900,475497,8227
2021-09-06,7086,482583,8237
2021-09-07,6658,489241,8255
2021-09-08,6209,495450,8265
2021-09-09,5516,500966,8282
2021-09-10,4757,505723,8307
2021-09-11,3616,509339,8328
2021-09-12,3353,512692,8350
2021-09-13,5053,517745,8371
2021-09-14,4745,522490,8391
2021-09-15,4050,526540,8414
2021-09-16,3555,530095,8430
2021-09-17,3354,533449,8454
2021-09-18,2604,536053,8475
2021-09-19,2781,538834,8503
2021-09-20,3991,542825,8523
2021-09-21,3780,546605,8544
2021-09-22,3488,550093,8575
2021-09-23,3096,553189,8594
2021-09-24,2698,555887,8616
2021-09-25,2125,558012,8637
2021-09-26,2135,560147,8657
2021-09-27,3112,563259,8681
2021-09-28,3175,566434,8697
2021-09-29,2586,569020,8722
2021-09-30,2361,571381,8738
2021-10-01,2040,573421,8757
2021-10-02,1860,575281,8780
2021-10-03,1979,577260,8795
2021-10-04,2945,580205,8809
2021-10-05,2831,583036,8832
2021-10-06,2637,585673,8845
2021-10-07,2594,588267,8864
2021-10-08,2279,590546,8878
2021-10-09,2129,592675,8895
2021-10-10,1879,594554,8909
2021-10-11,2813,597367,8931
2021-10-12,2621,599988,8947
2021-10-13,2631,602619,8966
2021-10-14,2673,605292,8986
2021-10-15,2568,607860,9002
2021-10-16,2149,610009,9020
2021-10-17,2299,612308,9035
2021-10-18,2950,615258,9050
2021-10-19,2764,618022,9059
2021-10-20,2840,620862,9075
2021-10-21,2537,623399,9097
2021-10-22,2444,625843,9113
2021-10-23,2132,627975,9136
2021-10-24,2319,630294,9157
2021-10-25,3296,633590,9165
2021-10-26,2916,636506,9184
2021-10-27,2651,639157,9198
2021-10-28,2497,641654,9218
2021-10-29,2547,644201,9237
2021-10-30,2029,646230,9253
2021-10-31,2071,648301,9269
2021-11-01,3301,651602,9296
2021-11-02,3046,654648,9309
2021-11-03,2983,657631,9325
2021-11-04,2798,660429,9347
2021-11-05,2781,663210,9364
2021-11-06,2226,665436,9381
2021-11-07,2301,667737,9393
2021-11-08,3822,671559,9405
2021-11-09,3456,675015,9411
2021-11-10,3295,678310,9425
2021-11-11,3216,681526,9433
2021-11-12,2856,684382,9450
2021-11-13,2321,686703,9460
2021-11-14,2423,689126,9475
2021-11-15,3642,692768,9494
2021-11-16,3280,696048,9499
2021-11-17,3318,699366,9511
2021-11-18,2992,702358,9520
2021-11-19,2785,705143,9529
2021-11-20,2214,707357,9539
2021-11-21,2175,709532,9548
2021-11-22,3161,712693,9563
2021-11-23,2882,715575,9575
2021-11-24,2896,718471,9581
2021-11-25,2493,720964,9591
2021-11-26,2236,723200,9606
2021-11-27,1884,725084,9619
2021-11-28,2331,727415,9635
2021-11-29,3458,730873,9646
2021-11-30,3295,734168,9649
2021-12-01,3094,737262,9663
2021-12-02,2927,740189,9675
2021-12-03,2641,742830,9682
2021-12-04,2123,744953,9694
2021-12-05,2485,747438,9702
2021-12-06,3765,751203,9715
2021-12-07,3720,754923,9733
2021-12-08,4125,759048,9743
2021-12-09,3964,763012,9752
2021-12-10,3722,766734,9759
2021-12-11,3231,769965,9767
2021-12-12,3328,773293,9775
2021-12-13,5601,778894,9780
2021-12-14,6259,785153,9788
2021-12-15,6847,792000,9794
2021-12-16,6269,798269,9801
2021-12-17,5600,803869,9807
2021-12-18,4920,808789,9814
2021-12-19,5273,814062,9820
2021-12-20,8089,822151,9831
2021-12-21,9735,831886,9840
2021-12-22,10902,842788,9847
2021-12-23,11325,854113,9852
2021-12-24,8943,863056,9857
2021-12-25,4517,867573,9865
2021-12-26,6976,874549,9867
2021-12-27,17292,891841,9876
2021-12-28,18264,910105,9889
2021-12-29,21427,931532,9898
2021-12-30,20167,951699,9908
2021-12-31,16158,967857,9917
2022-01-01,6792,974649,9926
2022-01-02,14298,988947,9933
2022-01-03,17739,1006686,9940
2022-01-04,17859,1024545,9959
2022-01-05,18482,1043027,9969
2022-01-06,10712,1053739,9988
2022-01-07,6462,1060201,9998
2022-01-08,4641,1064842,10012
2022-01-09,4391,1069233,10030
2022-01-10,6392,1075625,10048
2022-01-11,5503,1081128,10062
2022-01-12,4777,1085905,10078
2022-01-13,4514,1090419,10108
2022-01-14,3866,1094285,10126
2022-01-15,3097,1097382,10149
2022-01-16,3290,1100672,10168
2022-01-17,5102,1105774,10186
2022-01-18,4501,1110275,10199
2022-01-19,4105,1114380,10221
2022-01-20,3643,1118023,10235
2022-01-21,3364,1121387,10254
2022-01-22,2801,1124188,10262
2022-01-23,2811,1126999,10277
2022-01-24,4809,1131808,10288
2022-01-25,4232,1136040,10299
2022-01-26,3987,1140027,10306
2022-01-27,3582,1143609,10310
2022-01-28,3238,1146847,10311
2022-01-29,1793,1148640,10311
2022-01-30,132,1148772,10311
