date,country,sex,age_group,daily_positive,cumulative_positive,crude_rate_positive,daily_deaths,cumulative_deaths,crude_rate_deaths,cumulative_negative,crude_rate_negative
2020-03-03,S92000003,Male,25 to 44,2,3,0.423465045077854,0,0,0,158,22.30249237410031
2020-03-03,S92000003,Male,45 to 64,1,3,0.4150640582196519,0,0,0,187,25.872326295691636
2020-03-03,S92000003,Male,60+,0,0,0,0,0,0,113,17.47867756016223
2020-03-03,S92000003,Male,65 to 74,0,0,0,0,0,0,60,21.395027082538448
2020-03-03,S92000003,Male,75 to 84,0,0,0,0,0,0,11,7.359040916267494
2020-03-03,S92000003,Male,85plus,0,0,0,0,0,0,5,10.896569759839602
2020-03-03,S92000003,Male,Total,3,6,0.22512280448984923,0,0,0,582,21.836912035515372
2020-03-03,S92000003,Total,0 to 14,0,0,0,0,0,0,201,23.377801556193955
2020-03-03,S92000003,Total,0 to 59,3,6,0.14787973729657602,0,0,0,914,22.52701331484508
2020-03-03,S92000003,Total,15 to 19,0,0,0,0,0,0,28,9.92485467177088
2020-03-03,S92000003,Total,20 to 24,0,0,0,0,0,0,77,22.530760340009653
2020-03-03,S92000003,Total,25 to 44,2,3,0.2095989324427708,0,0,0,314,21.93802159567667
2020-03-03,S92000003,Total,45 to 64,1,3,0.20067560787986224,0,0,0,372,24.88377537710291
2020-03-03,S92000003,Total,60+,0,1,0.0709900053171514,0,0,0,233,16.540671238896277
2020-03-03,S92000003,Total,65 to 74,0,1,0.170571910558913,0,0,0,116,19.786341624833906
2020-03-03,S92000003,Total,75 to 84,0,0,0,0,0,0,23,6.734874350670267
2020-03-03,S92000003,Total,85plus,0,0,0,0,0,0,16,12.469702519659265
2020-03-03,S92000003,Total,Total,3,7,0.12806439809732895,0,0,0,1147,20.98426637394804
2020-03-04,S92000003,Female,0 to 14,0,0,0,0,0,0,95,22.667134325438013
2020-03-04,S92000003,Female,0 to 59,3,3,0.14715685596434094,0,0,0,497,24.37898580475915
2020-03-04,S92000003,Female,15 to 19,0,0,0,0,0,0,16,11.601516898334458
2020-03-04,S92000003,Female,20 to 24,0,0,0,0,0,0,56,33.243694086777914
2020-03-04,S92000003,Female,25 to 44,2,2,0.27667721729121936,0,0,0,170,23.517563469753647
2020-03-04,S92000003,Female,45 to 64,1,1,0.1295051607806571,0,0,0,206,26.678063120815366
2020-03-04,S92000003,Female,60+,0,1,0.13120828396621648,0,0,0,139,18.237951471304093
2020-03-04,S92000003,Female,65 to 74,0,1,0.32698545568693105,0,0,0,63,20.600083708276657
2020-03-04,S92000003,Female,75 to 84,0,0,0,0,0,0,16,8.332031453418736
2020-03-04,S92000003,Female,85plus,0,0,0,0,0,0,14,16.985138004246284
2020-03-04,S92000003,Female,Total,3,4,0.14281695008690412,0,0,0,636,22.707895063817755
2020-03-04,S92000003,Male,0 to 14,0,0,0,0,0,0,139,31.542090537145917
2020-03-04,S92000003,Male,0 to 59,3,9,0.4458292672052944,0,0,0,529,26.204853594622307
2020-03-04,S92000003,Male,15 to 19,0,0,0,0,0,0,19,13.175504656500724
2020-03-04,S92000003,Male,20 to 24,0,0,0,0,0,0,33,19.041903728750967
2020-03-04,S92000003,Male,25 to 44,2,5,0.7057750751297567,0,0,0,177,24.98443765959339
2020-03-04,S92000003,Male,45 to 64,1,4,0.5534187442928692,0,0,0,209,28.916129389302412
2020-03-04,S92000003,Male,60+,0,0,0,0,0,0,140,21.654998747103644
2020-03-04,S92000003,Male,65 to 74,0,0,0,0,0,0,68,24.247697360210243
2020-03-04,S92000003,Male,75 to 84,0,0,0,0,0,0,19,12.711070673552944
2020-03-04,S92000003,Male,85plus,0,0,0,0,0,0,5,10.896569759839602
2020-03-04,S92000003,Male,Total,3,9,0.33768420673477384,0,0,0,669,25.10119270061819
2020-03-04,S92000003,Total,0 to 14,0,0,0,0,0,0,234,27.215948080345203
2020-03-04,S92000003,Total,0 to 59,6,12,0.29575947459315205,0,0,0,1028,25.336728323480024
2020-03-04,S92000003,Total,15 to 19,0,0,0,0,0,0,35,12.406068339713595
2020-03-04,S92000003,Total,20 to 24,0,0,0,0,0,0,90,26.334654942868426
2020-03-04,S92000003,Total,25 to 44,4,7,0.4890641756997984,0,0,0,348,24.313476163361408
2020-03-04,S92000003,Total,45 to 64,2,5,0.334459346466437,0,0,0,415,27.76012575671427
2020-03-04,S92000003,Total,60+,0,1,0.0709900053171514,0,0,0,279,19.80621148348524
2020-03-04,S92000003,Total,65 to 74,0,1,0.170571910558913,0,0,0,131,22.3449202832176
2020-03-04,S92000003,Total,75 to 84,0,0,0,0,0,0,35,10.248721837976491
2020-03-04,S92000003,Total,85plus,0,0,0,0,0,0,19,14.807771742095376
2020-03-04,S92000003,Total,Total,6,13,0.23783388218075377,0,0,0,1307,23.911452616172703
2020-03-05,S92000003,Female,0 to 14,0,0,0,0,0,0,117,27.916365432381554
2020-03-05,S92000003,Female,0 to 59,1,4,0.19620914128578792,0,0,0,552,27.076861497438735
2020-03-05,S92000003,Female,15 to 19,0,0,0,0,0,0,18,13.051706510626264
2020-03-05,S92000003,Female,20 to 24,1,1,0.5936373944067485,0,0,0,59,35.02460626999816
2020-03-05,S92000003,Female,25 to 44,0,2,0.27667721729121936,0,0,0,187,25.869319816729018
