NHSGeometry;NHSCode;NHS Name;NHSPoint;NHS Region Name Welsh
[[[[-6.220272,56.883758],[-6.220272,56.914587],[-6.104571,56.914587],[-6.104571,56.883758],[-6.220272,56.883758]]],[[[-6.278123,55.989701999999994],[-6.263660476277373,56.07448305074257],[-6.176884239051095,56.10531257054455],[-6.176884239051095,56.05906829084158],[-6.278123,55.989701999999994]]],[[[-6.972333,56.452144999999994],[-6.957870374087592,56.536925847772274],[-6.755392487226278,56.536925847772274],[-6.972333,56.452144999999994]]],[[[-6.683078999999999,56.575463],[-6.495063775547446,56.69107344678218],[-6.451675656934307,56.66795130693069],[-6.581840012773723,56.58317012747524],[-6.683078999999999,56.575463]]],[[[-6.451676,56.945417],[-6.437212950729927,57.03019816460396],[-6.37936212591241,57.061027684405936],[-6.220272357664234,57.00707602475247],[-6.234735063868614,56.95312436509901],[-6.451676,56.945417]]],[[[-5.35251,55.712236],[-5.410361,55.712236],[-5.410361,55.527259],[-5.468211635036496,55.49642955445544],[-5.540525166058394,55.319159815594055],[-5.800853877737227,55.28833029579207],[-5.815316583941606,55.4039409950495],[-5.641764109489051,55.743065712871285],[-5.69961493430657,55.928042831683165],[-5.757465759124088,55.95887235148514],[-6.032257177007299,55.73535833292079],[-6.061182589416059,55.627455013613854],[-6.278123182481752,55.58891811386138],[-6.408287538321169,55.704528813118806],[-6.495063775547446,55.689114053217814],[-6.509526481751825,55.804724752475245],[-6.408287538321169,55.8740911720297],[-6.061182589416059,55.96657973143564],[-5.8587047025547445,56.10531257054455],[-5.714077640510949,56.13614209034653],[-5.656226815693431,56.089897810643556],[-5.598375990875913,56.16697161014851],[-5.656226815693431,56.25946016955445],[-5.757465759124088,56.29799706930692],[-6.3215113010948905,56.27487492945544],[-6.437212950729927,56.30570444925742],[-6.234735063868614,56.39819300866336],[-6.220272357664234,56.452144668316826],[-6.3215113010948905,56.490681568069306],[-6.335974007299271,56.575462747524746],[-6.176884239051095,56.675658686881185],[-6.205809651459854,56.72190296658415],[-5.887630114963504,56.82980628589109],[-5.873167408759125,57.00707602475247],[-6.032257177007299,57.01478340470297],[-6.061182589416059,57.122686724009895],[-6.263660476277373,57.13810148391089],[-6.581840012773723,57.33849336262376],[-6.726467074817519,57.35390812252475],[-6.784317899635036,57.46181144183168],[-6.610765425182482,57.5851295210396],[-6.523989187956205,57.56971476113861],[-6.292585888686132,57.708447600247524],[-6.176884239051095,57.64678856064356],[-5.974406352189781,57.32307860272277],[-5.771928465328468,57.29224908292079],[-5.931018233576642,57.50034834158416],[-5.815316583941606,57.62366642079208],[-5.815316583941606,57.83947305940594],[-5.627301403284672,57.92425423886138],[-5.468211635036496,57.9011320990099],[-5.309121866788321,57.93966899876237],[-5.468211635036496,58.02445017821782],[-5.453748928832117,58.109231357673266],[-5.35250998540146,58.14776825742574],[-5.395898104014599,58.26337895668316],[-5.193420217153285,58.30962323638614],[-5.222345629562044,58.38669703589109],[-5.106643979927007,58.540844634900985],[-4.990942330291971,58.602503674504945],[-4.02194101459854,58.579381534653464],[-3.3277311167883212,58.6718700940594],[-3.05293969890511,58.63333319430693],[-3.03847699270073,58.42523393564356],[-3.1107905237226277,58.340452756188114],[-3.9496274835766423,57.95508375866336],[-3.9496274835766423,57.87800995915841],[-3.8050004215328475,57.81635091955445],[-4.007478308394161,57.63137380074257],[-3.732687,57.623666],[-3.6603733594890517,57.47722620173267],[-3.3855819416058397,57.37703026237623],[-3.443432766423358,57.31537122277227],[-3.4578954726277376,57.16893100371287],[-3.7182241843065693,57.09185720420792],[-3.7905379999999997,56.945417],[-4.585986556569344,56.75273248638614],[-4.6583000875912415,56.66795130693069],[-4.6583,56.482974],[-4.7740017372262775,56.35965610891088],[-4.672762793795621,56.29028968935643],[-4.7016882062043805,56.1823863700495],[-4.600449,56.051361],[-4.614911968978102,55.96657973143564],[-4.875240680656935,55.95116497153465],[-4.889703,55.866384],[-4.947553999999999,55.866384],[-4.947553999999999,55.773894999999996],[-5.04879315510949,55.7199435730198],[-5.077718567518248,55.766187852722766],[-5.236808335766424,55.804724752475245],[-5.35251,55.712236]],[[-5.641763999999999,56.421315],[-5.583913,56.421315],[-5.583913,56.482974],[-5.641763999999999,56.482974],[-5.641763999999999,56.421315]]]];S08000022;Highland;[-4.69856557645571,57.5722196596225];
[[[[-2.344267,55.958872],[-2.6335212189781023,56.051360910891084],[-2.8649245182481753,56.051360910891084],[-3.03847699270073,55.989701871287124],[-3.212029,56.020531],[-3.501284,56.020531],[-3.7905379999999997,55.897213],[-3.732687,55.866384],[-3.732687,55.804725],[-3.4434329999999997,55.773894999999996],[-3.3277311167883212,55.804724752475245],[-3.1107905237226277,55.750773092821774],[-2.575670394160584,55.83555427227722],[-2.344267,55.958872]]]];S08000024;Lothian;[-2.75103071875,55.9386404791151];
[[[[-4.021941,55.465599999999995],[-4.094254545620438,55.34998933539603],[-4.296732432481752,55.303745055693064],[-4.383508669708029,55.195841736386136],[-4.585986556569344,55.14959745668316],[-4.730613618613139,55.04169413737623],[-5.063256,55.033986999999996],[-5.04879315510949,55.118767936881184],[-4.672762793795621,55.504136934405935],[-4.875240680656935,55.65828453341584],[-4.947553999999999,55.773894999999996],[-4.947553999999999,55.866384],[-4.889703,55.866384],[-4.253344,55.681407],[-4.181030782846715,55.59662549381188],[-4.03640372080292,55.5503812141089],[-4.021941,55.465599999999995]]],[[[-5.35251,55.712236],[-5.135569392335767,55.67369929331683],[-5.063255861313869,55.5580885940594],[-5.063255861313869,55.46560003465346],[-5.294659160583942,55.43477051485148],[-5.410361,55.527259],[-5.410361,55.712236],[-5.35251,55.712236]]]];S08000015;Ayrshire and Arran;[-4.4801196,55.49180535];
[[[[-1.3029519999999999,59.843391999999994],[-1.2451014233576645,59.87422136633663],[-1.1727878923357666,60.082320624999994],[-1.07154894890511,60.15168704455445],[-1.1149370675182482,60.2364682240099],[-0.9703100054744525,60.34437154331683],[-1.07154894890511,60.42915272277227],[-1.0570862427007306,60.483104382425736],[-0.796757531021898,60.59100770173267],[-0.840145649635037,60.644959361386135],[-0.7822948248175186,60.73744792079208],[-0.796757531021898,60.822229100247526],[-0.9413845930656937,60.822229100247526],[-1.028160830291971,60.745155300742574],[-1.462042016423358,60.60642246163366],[-1.5922063722627744,60.521641282178216],[-1.4765047226277375,60.398323202970296],[-1.693445315693431,60.29812726361386],[-1.7079080218978104,60.24417560396039],[-1.3752657791970808,60.14397966460396],[-1.3608030729927014,59.935880405940594],[-1.3029519999999999,59.843391999999994]]]];S08000026;Shetland;[-1.29138208321168,60.4027274858557];
[[[[-7.550840999999999,56.945417],[-7.43514,56.945417],[-7.377288999999999,57.007076],[-7.492991,57.007076],[-7.550840999999999,56.945417]]],[[[-7.319438,57.037906],[-7.203736379562044,57.13039410396039],[-7.247124498175182,57.19976052351485],[-7.203736379562044,57.25371218316831],[-7.203736379562044,57.407859782178214],[-7.088034729927008,57.53117786138613],[-7.088034729927008,57.65449594059405],[-7.160348260948906,57.7392771200495],[-7.420676972627738,57.67761808044554],[-7.550841328467154,57.59283690099009],[-7.435139678832117,57.50034834158416],[-7.435139678832117,57.25371218316831],[-7.478527797445256,57.19976052351485],[-7.319438,57.037906]]],[[[-7.088035,57.746984999999995],[-6.8710941368613145,57.75469187995049],[-6.35043671350365,58.032157558168315],[-6.335974007299271,58.17859777722772],[-6.162421532846716,58.33274537623762],[-6.176884239051095,58.479185595297025],[-6.3215113010948905,58.51001511509901],[-7.131422848540146,58.170890397277226],[-7.088034729927008,57.870302579207916],[-7.145885554744526,57.808643539603956],[-7.088035,57.746984999999995]]]];S08000028;Western Isles;[-6.90001954927007,58.0140455402847];
[[[[-2.807074,56.452144999999994],[-2.474431450729927,56.58317012747524],[-2.459968744525548,56.69878082673267],[-2.4021179999999998,56.760439999999996],[-2.619058512773723,56.798976766089105],[-2.70583475,56.90688008539603],[-2.8649245182481753,56.97624650495049],[-3.03847699270073,56.97624650495049],[-3.1107905237226277,56.922294845297024],[-3.3855819416058397,56.88375794554455],[-3.7905379999999997,56.945417],[-4.585986556569344,56.75273248638614],[-4.6583000875912415,56.66795130693069],[-4.6583,56.482974],[-4.36904596350365,56.513803707920786],[-4.1521053704379565,56.475266808168314],[-4.238881607664234,56.3365339690594],[-3.8917766587591247,56.21321588985148],[-3.6892987718978105,56.19780112995049],[-3.674836,56.143848999999996],[-3.400044647810219,56.15155685024752],[-3.284342998175183,56.21321588985148],[-3.3277311167883212,56.29799706930692],[-3.2554175857664234,56.351948728960394],[-2.807074,56.452144999999994]]]];S08000030;Tayside;[-3.65555249310625,56.5600477524752];
[[[[-2.807074,56.452144999999994],[-3.2554175857664234,56.351948728960394],[-3.3277311167883212,56.29799706930692],[-3.284342998175183,56.21321588985148],[-3.400044647810219,56.15155685024752],[-3.674836,56.143848999999996],[-3.674836,56.051361],[-3.501284,56.020531],[-3.212029,56.020531],[-2.966163461678833,56.16697161014851],[-2.590133100364964,56.24404540965346],[-2.590133100364964,56.29028968935643],[-2.7926109872262774,56.39819300866336],[-2.807074,56.452144999999994]]]];S08000029;Fife;[-3.15933363185662,56.22554765];
[[[[-3.7905379999999997,56.945417],[-3.3855819416058397,56.88375794554455],[-3.1107905237226277,56.922294845297024],[-3.03847699270073,56.97624650495049],[-2.8649245182481753,56.97624650495049],[-2.70583475,56.90688008539603],[-2.619058512773723,56.798976766089105],[-2.4021179999999998,56.760439999999996],[-2.1851773266423358,56.89146532549505],[-2.0984010894160585,57.061027684405936],[-1.9971621459854019,57.13039410396039],[-1.9826994397810225,57.2768343230198],[-1.7802215529197083,57.446396681930686],[-1.765758846715329,57.56200738118812],[-1.8380723777372268,57.64678856064356],[-2.0550129708029203,57.71615498019801],[-3.03847699270073,57.68532546039604],[-3.3711192354014603,57.7392771200495],[-3.732687,57.623666],[-3.6603733594890517,57.47722620173267],[-3.3855819416058397,57.37703026237623],[-3.443432766423358,57.31537122277227],[-3.4578954726277376,57.16893100371287],[-3.7182241843065693,57.09185720420792],[-3.7905379999999997,56.945417]]]];S08000020;Grampian;[-2.52200166300237,57.3232713440285];
[[[[-4.137643,56.020531],[-4.021941,56.020531],[-3.7905379999999997,55.897213],[-3.501284,56.020531],[-3.674836,56.051361],[-3.674836,56.143848999999996],[-3.6892987718978105,56.19780112995049],[-3.8917766587591247,56.21321588985148],[-4.238881607664234,56.3365339690594],[-4.1521053704379565,56.475266808168314],[-4.36904596350365,56.513803707920786],[-4.6583,56.482974],[-4.7740017372262775,56.35965610891088],[-4.672762793795621,56.29028968935643],[-4.7016882062043805,56.1823863700495],[-4.600449,56.051361],[-4.354583257299271,55.96657973143564],[-4.137643,56.020531]]]];S08000019;Forth Valley;[-4.43665486711811,56.2825821924505];
[[[[-4.137643,56.020531],[-4.354583257299271,55.96657973143564],[-4.600449,56.051361],[-4.614911968978102,55.96657973143564],[-4.875240680656935,55.95116497153465],[-4.889703,55.866384],[-4.253344,55.681407],[-4.1954934890510955,55.7122361930693],[-4.238881607664234,55.79701737252475],[-4.094254545620438,55.8740911720297],[-4.137643,56.020531]]]];S08000031;Greater Glasgow and Clyde;[-4.36248716395773,55.8478863];
